# Hamamatsu S13360-3050CS SiPM: photon detection efficiency vs wavelength
# units_x: nm
# units_y: frac  (PDE in [0,1])
# source: Hamamatsu S13360-3050CS datasheet, PDE peak ~40% near 450 nm at Vover~3 V (representative)
# status: MANUFACTURER_REPRESENTATIVE  (overvoltage-dependent; UNKNOWN_EXTERNAL for the run settings)
# note: the 40% "bare constant" prototype value is replaced by this wavelength-dependent curve;
#       overvoltage is recorded in run metadata (sipm_overvoltage_V) and scaled via --pde-scale.
# wavelength_nm, pde
300, 0.06
350, 0.18
400, 0.33
450, 0.40
476, 0.38
500, 0.35
550, 0.27
600, 0.18
650, 0.11
700, 0.06
