# knob: attenuation
# channel: cli  target: --attenuation-scale  unit: x attenuation len
# rationale: Y-11 attenuation-length scale; 0.5 high loss - 2.0 low loss.
# base_cli: --particle proton --energy 100 --hit-x 0 --hit-y 0 --theta 0 --phi 0
# default_nevents: 60
# n_replicates: 3
# seed_policy: paired_multi_seed issue_984 seed=SEED_BASE+replicate
# columns: label,seed,nevents,cli_args,env_vars,replicate
label,seed,nevents,cli_args,env_vars,replicate
attenuation=0.5__r0,1000,60,--attenuation-scale 0.5,,0
attenuation=0.75__r0,1000,60,--attenuation-scale 0.75,,0
attenuation=1__r0,1000,60,--attenuation-scale 1,,0
attenuation=1.5__r0,1000,60,--attenuation-scale 1.5,,0
attenuation=2__r0,1000,60,--attenuation-scale 2,,0
attenuation=0.5__r1,1001,60,--attenuation-scale 0.5,,1
attenuation=0.75__r1,1001,60,--attenuation-scale 0.75,,1
attenuation=1__r1,1001,60,--attenuation-scale 1,,1
attenuation=1.5__r1,1001,60,--attenuation-scale 1.5,,1
attenuation=2__r1,1001,60,--attenuation-scale 2,,1
attenuation=0.5__r2,1002,60,--attenuation-scale 0.5,,2
attenuation=0.75__r2,1002,60,--attenuation-scale 0.75,,2
attenuation=1__r2,1002,60,--attenuation-scale 1,,2
attenuation=1.5__r2,1002,60,--attenuation-scale 1.5,,2
attenuation=2__r2,1002,60,--attenuation-scale 2,,2
