model,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_analytic_timewalk_ns,delta_ci_low,delta_ci_high,task,cv_sigma68_ns,train_seconds,n_parameters,alpha,n_estimators,max_depth,min_samples_leaf,learning_rate,hidden,width
gradient_boosted_trees,66,198,1.1266331867345378,0.8344677662812305,1.4061653658765398,1.199628104127195,-0.36800688953513827,-0.6135746866819899,-0.10067717110377321,timing,1.1519412213657336,0.5067451000213623,26.0,,,,,0.03,,
extra_trees,66,198,1.2627576480311067,0.9585917146762609,1.4631811464961533,1.2444049659612806,-0.23188242823856942,-0.5332420663328156,-0.04895858204064145,timing,1.132670462226219,2.315976858139038,26.0,,120.0,14.0,8.0,,,
mlp,66,198,1.266989156130859,1.1012474045432374,1.5627857236805855,1.324698082884912,-0.22765092013881705,-0.4811184738352551,0.10469782097811094,timing,1.2114580938090573,48.69732332229614,1664.0,,,,,,64.0,
gru,66,198,1.3138113048413698,1.0560343429279706,1.5677043904546568,1.3657324794756336,-0.18082877142830633,-0.46768656054049124,0.08863819190591285,timing,1.2582779877270016,7.1489574909210205,1249.0,,,,,,,16.0
attention,66,198,1.3508108158956063,1.0621451018612127,1.621697135186796,1.396854540245428,-0.14382926037406984,-0.47380909506577346,0.1594150969843058,timing,1.276245982843359,8.305153608322144,425.0,,,,,,,8.0
resnet,66,198,1.3596621851944664,1.0850352220071227,1.6346691517507956,1.3825033652911074,-0.13497789107520974,-0.4335727705522027,0.18769368189207117,timing,1.272001521349862,2.899167776107788,537.0,,,,,,,8.0
cnn,66,198,1.3596629463836296,1.0672472076541362,1.6238572443133914,1.3983401278267122,-0.1349771298860465,-0.4692834311582024,0.16481961190256622,timing,1.2599824679763552,2.1533026695251465,337.0,,,,,,,8.0
tcn,66,198,1.3602067720029298,1.0651652070042865,1.6206286366945548,1.3976438599272631,-0.13443330426674627,-0.4707799444265116,0.1640936261411592,timing,1.1925453922368447,2.4663493633270264,337.0,,,,,,,8.0
ridge,66,198,1.4428421669311344,1.188857232450539,1.644802921267909,1.4115887395844882,-0.05179790933854167,-0.33364392685924615,0.1755373361241852,timing,1.3379330183311737,0.036280155181884766,26.0,10.0,,,,,,
analytic_timewalk,66,198,1.494640076269676,1.29766059796626,1.672839431571626,1.6991283591200679,0.0,0.0,0.0,,,,,,,,,,,
s02_ridge_cfd20,66,198,1.77781251968152,1.461755509919847,2.0609348928154603,1.7157724289805303,0.2831724434118439,-0.04072744987227028,0.6284445907720864,,,,,,,,,,,
template_phase,66,198,2.889152765080617,2.639152765080615,3.2771839114883843,2.5766948897254753,1.3945126888109407,1.0712812805472667,1.7456595453683414,,,,,,,,,,,
cfd20,66,198,2.9933861916712807,2.7099706867969497,3.411392372307508,2.7426839288126446,1.4987461154016046,1.1711507459637276,1.913523071081247,,,,,,,,,,,
