pdg,particle,layer1,layer2,n_hits,n_events,sum_edep_MeV,mean_hit_edep_MeV,median_hit_edep_MeV
-11,-11,1,-1,4,4,7.8438487,1.9609622,1.9117676
-11,-11,2,-1,1,1,0.08371282,0.08371282,0.08371282
11,electron,1,-1,756,464,455.98267,0.60315168,0.36308234
11,electron,2,-1,69,30,42.500961,0.61595596,0.16261866
22,gamma,1,-1,414,288,0.04932856,0.00011915111,1.756e-05
22,gamma,2,-1,48,30,0.00557375,0.00011611979,1.756e-05
2112,neutron,1,-1,503,330,28.672191,0.057002367,0.04672778
2112,neutron,2,-1,16,12,0.94975071,0.05935942,0.051484465
2212,proton,1,-1,68744,11623,1172165.2,17.051164,14.675272
2212,proton,2,-1,14149,6413,376962,26.642307,25.314179
1000010020,deuteron,1,-1,30462,13786,1065516.6,34.97855,34.964084
1000010020,deuteron,2,-1,651,639,21099.704,32.411219,36.066242
1000010030,triton,1,-1,147,139,1779.7891,12.107409,7.0505961
1000010030,triton,2,-1,9,9,42.184696,4.6871884,4.3104364
1000020030,helium3,1,-1,218,210,3037.3663,13.932873,7.3614086
1000020030,helium3,2,-1,19,18,170.87196,8.993261,6.0474225
1000020040,alpha,1,-1,4514,1933,26870.158,5.9526269,4.2351786
1000020040,alpha,2,-1,540,211,2534.6103,4.6937227,3.4011855
1000020060,1000020060,1,-1,6,6,67.063377,11.17723,9.0985486
1000030060,1000030060,1,-1,230,229,1774.2908,7.7143077,5.5100892
1000030060,1000030060,2,-1,11,11,54.614283,4.9649348,4.6955209
1000030070,1000030070,1,-1,104,104,528.35135,5.0803015,3.3799106
1000030070,1000030070,2,-1,6,6,13.871597,2.3119329,1.9768863
1000030080,1000030080,1,-1,5,5,29.311804,5.8623607,5.8547631
1000040060,1000040060,1,-1,8,8,81.994317,10.24929,10.303157
1000040070,1000040070,1,-1,85,85,504.40444,5.9341699,4.4241133
1000040070,1000040070,2,-1,7,7,16.831107,2.4044438,2.3768173
1000040090,1000040090,1,-1,29,29,78.289149,2.6996258,2.2858538
1000040090,1000040090,2,-1,2,2,11.040717,5.5203585,5.5203585
1000040100,1000040100,1,-1,5,5,20.223201,4.0446402,2.1780245
1000050080,1000050080,1,-1,13,13,36.290538,2.7915799,1.9104333
1000050080,1000050080,2,-1,3,3,9.9880387,3.3293462,3.1919046
1000050100,1000050100,1,-1,73,73,341.38904,4.6765621,3.2373804
1000050100,1000050100,2,-1,8,8,16.728215,2.0910269,1.3301133
1000050101,1000050101,1,-1,85,85,335.23259,3.9439128,3.0255352
1000050101,1000050101,2,-1,5,5,9.932698,1.9865396,1.8183999
1000050110,1000050110,1,-1,187,187,735.68318,3.9341346,2.4639595
1000050110,1000050110,2,-1,19,19,42.295819,2.2260958,1.3217812
1000050120,1000050120,1,-1,3,3,8.3648536,2.7882845,1.7690686
1000060100,1000060100,1,-1,16,16,75.760083,4.7350052,4.5083612
1000060100,1000060100,2,-1,1,1,0.12546521,0.12546521,0.12546521
1000060110,1000060110,1,-1,281,280,793.7025,2.824564,1.2776751
1000060110,1000060110,2,-1,38,38,60.878231,1.6020587,0.97003247
1000060120,1000060120,1,-1,3335,2968,3036.7046,0.9105561,0.49035662
1000060120,1000060120,2,-1,601,569,426.51103,0.70966894,0.43632917
1000060130,1000060130,1,-1,95,95,155.60125,1.6379079,1.2205971
1000060130,1000060130,2,-1,10,10,9.605062,0.9605062,0.32898866
1000070120,1000070120,1,-1,1,1,0.721819,0.721819,0.721819
1000070120,1000070120,2,-1,1,1,1.0676045,1.0676045,1.0676045
1000070130,1000070130,1,-1,36,36,85.89403,2.3859453,1.9808081
1000070140,1000070140,1,-1,1,1,1.1544093,1.1544093,1.1544093
