heldout_pseudo_run,method,n_test,prevalence,roc_auc,average_precision,brier
0,traditional_topology,20000,0.07705,0.8725136638474681,0.26224716888648936,0.11999313450081943
0,ridge,20000,0.07705,0.9894274695952611,0.9303517779549128,0.0158290114764825
0,gradient_boosted_trees,20000,0.07705,0.9987422886697105,0.9831572200919555,0.008463970442272935
0,mlp,20000,0.07705,0.991575766824763,0.9076415831580747,0.012910049003046339
0,cnn_1d,20000,0.07705,0.10122516115920514,0.042926419251911346,0.23440375167406477
0,deepsets_layer_pool,20000,0.07705,0.1075730421585358,0.04358136569080541,0.1951085446509858
1,traditional_topology,20000,0.07965,0.8672969128566806,0.26379747963335237,0.12419562990081504
1,ridge,20000,0.07965,0.9899200783729792,0.9436079253505483,0.018422642389993544
1,gradient_boosted_trees,20000,0.07965,0.9986413947503733,0.9824165391306667,0.008244006208805107
1,mlp,20000,0.07965,0.9925173121350331,0.897240592492784,0.01779561524200703
1,cnn_1d,20000,0.07965,0.03306482826018964,0.04167678643498443,0.2344559781277615
1,deepsets_layer_pool,20000,0.07965,0.11738673341711245,0.04551373763091872,0.1796118105257348
2,traditional_topology,20000,0.08175,0.8714747920814007,0.27387523782775486,0.12213463360081553
2,ridge,20000,0.08175,0.9919116521837592,0.9469673319016326,0.017058269589411385
2,gradient_boosted_trees,20000,0.08175,0.9986596795693177,0.9850000150924714,0.008865969342864568
2,mlp,20000,0.08175,0.9913085737645818,0.940407228047449,0.010821885298587117
2,cnn_1d,20000,0.08175,0.10463253213173908,0.04587617882685285,0.23811642643732112
2,deepsets_layer_pool,20000,0.08175,0.11596708271201286,0.04670683807816072,0.22439108348370956
