run,group,events,raw_event_selected,sorted_event_selected,raw_selected,sorted_selected,formula_selected,both_selected,sorted_only,raw_only,formula_mismatches,ts_mismatches,sorted_minus_raw,event_sorted_minus_raw,overcount_fraction_of_raw
31,sample_i_calib,39990,27078,28819,27871,30065,30065,27871,2194,0,0,0,2194,1741,0.07871981629650891
32,sample_i_calib,41921,27461,29440,28240,30641,30641,28240,2401,0,0,0,2401,1979,0.08502124645892352
33,sample_i_calib,57173,47911,48513,48737,49818,49818,48737,1081,0,0,0,1081,602,0.022180273714016045
34,sample_i_calib,39765,33500,33838,34118,34760,34760,34118,642,0,0,0,642,338,0.018817046720206343
35,sample_i_calib,27786,11141,12995,11667,13793,13793,11667,2126,0,0,0,2126,1854,0.18222336504671294
36,sample_i_calib,21764,9930,11400,10391,12107,12107,10391,1716,0,0,0,1716,1470,0.1651429121355019
37,sample_i_calib,50513,23174,27177,24537,29337,29337,24537,4800,0,0,0,4800,4003,0.19562293678933854
39,sample_i_calib,30321,13329,15877,14218,17229,17229,14218,3011,0,0,0,3011,2548,0.21177380784920524
40,sample_i_calib,32613,13763,16485,14708,18041,18041,14708,3333,0,0,0,3333,2722,0.22661136796301332
41,sample_i_calib,33997,15140,17880,16146,19428,19428,16146,3282,0,0,0,3282,2740,0.2032701597918989
42,sample_i_calib,33972,17132,19737,18112,21290,21290,18112,3178,0,0,0,3178,2605,0.1754637809187279
44,sample_i_analysis,4294,1912,2251,2038,2463,2463,2038,425,0,0,0,425,339,0.2085377821393523
45,sample_i_analysis,48181,23013,26872,24333,28993,28993,24333,4660,0,0,0,4660,3859,0.19150947273250318
46,sample_i_analysis,1441,677,725,687,736,736,687,49,0,0,0,49,48,0.07132459970887918
47,sample_i_analysis,10970,5161,5537,5276,5687,5687,5276,411,0,0,0,411,376,0.07789992418498863
48,sample_i_analysis,31713,13185,15713,14000,17003,17003,14000,3003,0,0,0,3003,2528,0.2145
49,sample_i_analysis,32354,13937,16488,14815,17875,17875,14815,3060,0,0,0,3060,2551,0.20654741815727304
50,sample_i_analysis,44804,34257,35263,35217,36830,36830,35217,1613,0,0,0,1613,1006,0.04580174347616208
51,sample_i_analysis,20569,14295,15068,14740,15774,15774,14740,1034,0,0,0,1034,773,0.07014925373134329
52,sample_i_analysis,10005,6933,7322,7152,7668,7668,7152,516,0,0,0,516,389,0.07214765100671142
53,sample_i_analysis,39612,31386,32227,32200,33603,33603,32200,1403,0,0,0,1403,841,0.04357142857142857
54,sample_i_analysis,37413,29665,30394,30440,31655,31655,30440,1215,0,0,0,1215,729,0.03991458607095926
55,sample_i_analysis,24416,16841,17769,17387,18686,18686,17387,1299,0,0,0,1299,928,0.07471099097026514
56,sample_i_analysis,51823,38932,40193,40148,42084,42084,40148,1936,0,0,0,1936,1261,0.0482215801534323
57,sample_i_analysis,31284,12939,15389,13833,16792,16792,13833,2959,0,0,0,2959,2450,0.21390876888599725
58,sample_ii_analysis,34141,15920,16301,16781,17533,17533,16781,752,0,0,0,752,381,0.044812585662356234
59,sample_ii_analysis,42303,13863,15178,21377,23852,23852,21377,2475,0,0,0,2475,1315,0.11577864059503204
60,sample_ii_analysis,36074,10140,11339,17029,19397,19397,17029,2368,0,0,0,2368,1199,0.13905690293029538
61,sample_ii_analysis,36535,11287,12489,18965,21438,21438,18965,2473,0,0,0,2473,1202,0.1303981017664118
62,sample_ii_analysis,37584,11912,13141,19089,21438,21438,19089,2349,0,0,0,2349,1229,0.12305516265912306
63,sample_ii_analysis,37030,14781,15627,18817,20360,20360,18817,1543,0,0,0,1543,846,0.08200031886060477
64,sample_ii_calib,35943,12103,12859,14630,15860,15860,14630,1230,0,0,0,1230,756,0.08407382091592618
65,sample_ii_analysis,38424,11904,12633,13038,14137,14137,13038,1099,0,0,0,1099,729,0.0842920693357877
