run,group,stave,raw_selected,sorted_selected,formula_selected,both_selected,sorted_only,raw_only,formula_mismatches,ts_mismatches
31,sample_i_calib,B2,26948,28697,28697,26948,1749,0,0,0
31,sample_i_calib,B4,592,887,887,592,295,0,0,0
31,sample_i_calib,B6,237,351,351,237,114,0,0,0
31,sample_i_calib,B8,94,130,130,94,36,0,0,0
32,sample_i_calib,B2,27316,29310,29310,27316,1994,0,0,0
32,sample_i_calib,B4,605,887,887,605,282,0,0,0
32,sample_i_calib,B6,224,315,315,224,91,0,0,0
32,sample_i_calib,B8,95,129,129,95,34,0,0,0
33,sample_i_calib,B2,47724,48315,48315,47724,591,0,0,0
33,sample_i_calib,B4,559,871,871,559,312,0,0,0
33,sample_i_calib,B6,318,439,439,318,121,0,0,0
33,sample_i_calib,B8,136,193,193,136,57,0,0,0
34,sample_i_calib,B2,33373,33710,33710,33373,337,0,0,0
34,sample_i_calib,B4,412,618,618,412,206,0,0,0
34,sample_i_calib,B6,244,313,313,244,69,0,0,0
34,sample_i_calib,B8,89,119,119,89,30,0,0,0
35,sample_i_calib,B2,11029,12856,12856,11029,1827,0,0,0
35,sample_i_calib,B4,403,605,605,403,202,0,0,0
35,sample_i_calib,B6,163,228,228,163,65,0,0,0
35,sample_i_calib,B8,72,104,104,72,32,0,0,0
36,sample_i_calib,B2,9847,11305,11305,9847,1458,0,0,0
36,sample_i_calib,B4,340,518,518,340,178,0,0,0
36,sample_i_calib,B6,143,195,195,143,52,0,0,0
36,sample_i_calib,B8,61,89,89,61,28,0,0,0
37,sample_i_calib,B2,22956,26941,26941,22956,3985,0,0,0
37,sample_i_calib,B4,997,1546,1546,997,549,0,0,0
37,sample_i_calib,B6,423,615,615,423,192,0,0,0
37,sample_i_calib,B8,161,235,235,161,74,0,0,0
39,sample_i_calib,B2,13174,15719,15719,13174,2545,0,0,0
39,sample_i_calib,B4,663,982,982,663,319,0,0,0
39,sample_i_calib,B6,273,381,381,273,108,0,0,0
39,sample_i_calib,B8,108,147,147,108,39,0,0,0
40,sample_i_calib,B2,13575,16265,16265,13575,2690,0,0,0
40,sample_i_calib,B4,707,1126,1126,707,419,0,0,0
40,sample_i_calib,B6,310,473,473,310,163,0,0,0
40,sample_i_calib,B8,116,177,177,116,61,0,0,0
41,sample_i_calib,B2,14963,17690,17690,14963,2727,0,0,0
41,sample_i_calib,B4,758,1130,1130,758,372,0,0,0
41,sample_i_calib,B6,298,418,418,298,120,0,0,0
41,sample_i_calib,B8,127,190,190,127,63,0,0,0
42,sample_i_calib,B2,16977,19571,19571,16977,2594,0,0,0
42,sample_i_calib,B4,711,1109,1109,711,398,0,0,0
42,sample_i_calib,B6,307,438,438,307,131,0,0,0
42,sample_i_calib,B8,117,172,172,117,55,0,0,0
44,sample_i_analysis,B2,1884,2215,2215,1884,331,0,0,0
44,sample_i_analysis,B4,93,151,151,93,58,0,0,0
44,sample_i_analysis,B6,44,67,67,44,23,0,0,0
44,sample_i_analysis,B8,17,30,30,17,13,0,0,0
45,sample_i_analysis,B2,22786,26619,26619,22786,3833,0,0,0
45,sample_i_analysis,B4,969,1501,1501,969,532,0,0,0
45,sample_i_analysis,B6,401,606,606,401,205,0,0,0
45,sample_i_analysis,B8,177,267,267,177,90,0,0,0
46,sample_i_analysis,B2,675,722,722,675,47,0,0,0
46,sample_i_analysis,B4,7,9,9,7,2,0,0,0
46,sample_i_analysis,B6,3,3,3,3,0,0,0,0
46,sample_i_analysis,B8,2,2,2,2,0,0,0,0
47,sample_i_analysis,B2,5116,5489,5489,5116,373,0,0,0
47,sample_i_analysis,B4,85,108,108,85,23,0,0,0
47,sample_i_analysis,B6,50,60,60,50,10,0,0,0
47,sample_i_analysis,B8,25,30,30,25,5,0,0,0
48,sample_i_analysis,B2,13044,15567,15567,13044,2523,0,0,0
48,sample_i_analysis,B4,599,915,915,599,316,0,0,0
48,sample_i_analysis,B6,245,361,361,245,116,0,0,0
48,sample_i_analysis,B8,112,160,160,112,48,0,0,0
49,sample_i_analysis,B2,13779,16311,16311,13779,2532,0,0,0
49,sample_i_analysis,B4,640,987,987,640,347,0,0,0
49,sample_i_analysis,B6,281,408,408,281,127,0,0,0
49,sample_i_analysis,B8,115,169,169,115,54,0,0,0
50,sample_i_analysis,B2,34088,35078,35078,34088,990,0,0,0
50,sample_i_analysis,B4,659,1076,1076,659,417,0,0,0
50,sample_i_analysis,B6,330,476,476,330,146,0,0,0
50,sample_i_analysis,B8,140,200,200,140,60,0,0,0
51,sample_i_analysis,B2,14200,14970,14970,14200,770,0,0,0
51,sample_i_analysis,B4,303,470,470,303,167,0,0,0
51,sample_i_analysis,B6,177,242,242,177,65,0,0,0
51,sample_i_analysis,B8,60,92,92,60,32,0,0,0
52,sample_i_analysis,B2,6893,7281,7281,6893,388,0,0,0
52,sample_i_analysis,B4,148,227,227,148,79,0,0,0
52,sample_i_analysis,B6,76,108,108,76,32,0,0,0
52,sample_i_analysis,B8,35,52,52,35,17,0,0,0
53,sample_i_analysis,B2,31225,32056,32056,31225,831,0,0,0
53,sample_i_analysis,B4,559,921,921,559,362,0,0,0
53,sample_i_analysis,B6,296,440,440,296,144,0,0,0
53,sample_i_analysis,B8,120,186,186,120,66,0,0,0
54,sample_i_analysis,B2,29493,30223,30223,29493,730,0,0,0
54,sample_i_analysis,B4,536,842,842,536,306,0,0,0
54,sample_i_analysis,B6,298,421,421,298,123,0,0,0
54,sample_i_analysis,B8,113,169,169,113,56,0,0,0
55,sample_i_analysis,B2,16735,17656,17656,16735,921,0,0,0
55,sample_i_analysis,B4,372,612,612,372,240,0,0,0
55,sample_i_analysis,B6,199,293,293,199,94,0,0,0
55,sample_i_analysis,B8,81,125,125,81,44,0,0,0
56,sample_i_analysis,B2,38730,39971,39971,38730,1241,0,0,0
56,sample_i_analysis,B4,825,1282,1282,825,457,0,0,0
56,sample_i_analysis,B6,421,584,584,421,163,0,0,0
56,sample_i_analysis,B8,172,247,247,172,75,0,0,0
57,sample_i_analysis,B2,12774,15212,15212,12774,2438,0,0,0
57,sample_i_analysis,B4,656,985,985,656,329,0,0,0
57,sample_i_analysis,B6,273,415,415,273,142,0,0,0
57,sample_i_analysis,B8,130,180,180,130,50,0,0,0
58,sample_ii_analysis,B2,15791,16137,16137,15791,346,0,0,0
58,sample_ii_analysis,B4,591,865,865,591,274,0,0,0
58,sample_ii_analysis,B6,285,379,379,285,94,0,0,0
58,sample_ii_analysis,B8,114,152,152,114,38,0,0,0
59,sample_ii_analysis,B2,13565,14907,14907,13565,1342,0,0,0
59,sample_ii_analysis,B4,4527,5275,5275,4527,748,0,0,0
59,sample_ii_analysis,B6,2366,2634,2634,2366,268,0,0,0
59,sample_ii_analysis,B8,919,1036,1036,919,117,0,0,0
60,sample_ii_analysis,B2,9873,11081,11081,9873,1208,0,0,0
60,sample_ii_analysis,B4,4040,4762,4762,4040,722,0,0,0
60,sample_ii_analysis,B6,2189,2489,2489,2189,300,0,0,0
60,sample_ii_analysis,B8,927,1065,1065,927,138,0,0,0
61,sample_ii_analysis,B2,11015,12254,12254,11015,1239,0,0,0
61,sample_ii_analysis,B4,4401,5182,5182,4401,781,0,0,0
61,sample_ii_analysis,B6,2490,2807,2807,2490,317,0,0,0
61,sample_ii_analysis,B8,1059,1195,1195,1059,136,0,0,0
62,sample_ii_analysis,B2,11635,12911,12911,11635,1276,0,0,0
62,sample_ii_analysis,B4,4183,4884,4884,4183,701,0,0,0
62,sample_ii_analysis,B6,2342,2603,2603,2342,261,0,0,0
62,sample_ii_analysis,B8,929,1040,1040,929,111,0,0,0
63,sample_ii_analysis,B2,14566,15434,15434,14566,868,0,0,0
63,sample_ii_analysis,B4,2645,3115,3115,2645,470,0,0,0
63,sample_ii_analysis,B6,1153,1290,1290,1153,137,0,0,0
63,sample_ii_analysis,B8,453,521,521,453,68,0,0,0
64,sample_ii_calib,B2,11907,12660,12660,11907,753,0,0,0
64,sample_ii_calib,B4,1689,2029,2029,1689,340,0,0,0
64,sample_ii_calib,B6,763,857,857,763,94,0,0,0
64,sample_ii_calib,B8,271,314,314,271,43,0,0,0
65,sample_ii_analysis,B2,11768,12472,12472,11768,704,0,0,0
65,sample_ii_analysis,B4,842,1115,1115,842,273,0,0,0
65,sample_ii_analysis,B6,323,417,417,323,94,0,0,0
65,sample_ii_analysis,B8,105,133,133,105,28,0,0,0
