heldout_run,n_pulses,traditional_template_live10_ns,traditional_template_live20_ns,empirical_mean_live10_ns,empirical_median_live10_ns,empirical_mean_live20_ns,train_template_weighted_live10_ns,n_test,ml_pred_mean_live10_ns,observed_mean_live10_ns,mae_ns,r2
44,2038,119.71824180400847,98.46363686482388,116.44500840831097,126.88224894609067,110.25266297160839,121.32471004478943,2038,116.88688306427602,116.4450084083111,6.340459178903221,0.8811046043118882
45,24333,122.6893680247759,100.55990523913702,117.98108385990821,127.74893617021277,112.36689736420273,124.98196609633276,24333,118.36812240335917,117.98108385990827,5.995508843862184,0.8739644779123994
46,687,124.5257754243097,102.1580241013822,124.61192662991516,129.64073672806066,117.59591498508257,123.21823368503408,687,123.60298670989006,124.61192662991508,4.682493559306743,0.8647502110569905
47,5276,126.05149737576761,103.22544823178038,125.24775282138434,129.62670808262715,118.56276419363623,126.13478559371028,5276,124.03022594626002,125.2477528213845,4.75551506853036,0.8417694904318826
48,14000,122.42656081010601,100.71752068022853,116.69127358223045,126.3638050542292,109.82413072508734,120.83354040645213,14000,117.06937485069625,116.6912735822305,6.336906889477641,0.8693306676930975
49,14815,123.19633347019185,101.24310633953367,116.53340269291486,126.39363143631435,109.85031123155811,122.62031337190054,14815,117.16205465261903,116.5334026929142,6.446243696999816,0.8655408437524037
50,35217,126.85994574444646,102.81099160798331,128.38748710739378,130.86174496644296,126.5977264804238,128.97602910539769,35217,127.84482877110428,128.38748710739293,2.9167576330754748,0.878093065449321
51,14740,124.10559622654579,100.87051545281204,126.59583246630997,129.95110194601705,124.36788131298576,122.32032191838309,14740,126.42670434178986,126.59583246631,3.312712887951774,0.892695670416195
52,7152,125.21984881414237,101.65639901207504,127.0449363856731,130.1932914355222,124.84694980849189,127.75822744419483,7152,126.8014207630211,127.04493638567341,3.2863542748603387,0.878820064316748
53,32200,127.43600416469366,103.48938230148771,127.62489774874123,129.61053922754897,126.10440085433142,125.4944285243524,32200,127.9094867122013,127.62489774874103,2.64311290833855,0.8907467924399092
54,30440,130.02590368229406,105.42367724224925,127.82838173132689,129.63532058256465,126.33265242777885,123.1693012118506,30440,128.11018581184072,127.82838173132825,2.5981803658749962,0.8911834194686662
55,17387,123.21455937684186,100.25270060346263,126.23611794505145,129.95513666352497,124.05575330480288,123.84659158376648,17387,126.14960525907091,126.23611794505092,3.3594528549080627,0.8895535962543237
56,40148,129.59650229233844,104.84542047335482,128.36461682671134,131.64853179607277,126.34359460891723,124.03439631737739,40148,127.74873790599574,128.36461682671253,3.14112865386807,0.8796734415900963
57,13833,121.99643798642357,100.39621214635426,115.98464604182081,126.08237601569067,109.31870228413989,125.66583969658687,13833,116.50746393472245,115.98464604182047,6.34812034394949,0.8748889713528782
