event_id,pair,method,residual_ns
65:649169:4127:224209,B4-B6,cfd20_reference,-2.585900647948179
65:649169:4127:224209,B4-B8,cfd20_reference,-4.142337899543378
65:649169:4127:224209,B6-B8,cfd20_reference,-1.5564372515951987
65:650188:5110:225228,B4-B6,cfd20_reference,-3.4718381195522454
65:650188:5110:225228,B4-B8,cfd20_reference,-3.194392978091116
65:650188:5110:225228,B6-B8,cfd20_reference,0.2774451414611292
65:651341:6223:226381,B4-B6,cfd20_reference,-2.7373402297769687
65:651341:6223:226381,B4-B8,cfd20_reference,-1.1909022152251083
65:651341:6223:226381,B6-B8,cfd20_reference,1.5464380145518604
65:651631:6497:226671,B4-B6,cfd20_reference,-3.5571820195159987
65:651631:6497:226671,B4-B8,cfd20_reference,-5.417999694628513
65:651631:6497:226671,B6-B8,cfd20_reference,-1.8608176751125143
65:651940:6301:226980,B4-B6,cfd20_reference,-2.7521469616895686
65:651940:6301:226980,B4-B8,cfd20_reference,-3.2707592298180472
65:651940:6301:226980,B6-B8,cfd20_reference,-0.5186122681284786
65:652313:6632:227353,B4-B6,cfd20_reference,-5.608154959557254
65:652313:6632:227353,B4-B8,cfd20_reference,-6.626373635343327
65:652313:6632:227353,B6-B8,cfd20_reference,-1.0182186757860734
65:652429:6743:227469,B4-B6,cfd20_reference,-3.847530759919721
65:652429:6743:227469,B4-B8,cfd20_reference,-5.115793102501826
65:652429:6743:227469,B6-B8,cfd20_reference,-1.268262342582105
65:652612:6917:227652,B4-B6,cfd20_reference,-5.458370641730141
65:652612:6917:227652,B4-B8,cfd20_reference,-4.526300511655677
65:652612:6917:227652,B6-B8,cfd20_reference,0.9320701300744645
65:653933:8154:228973,B4-B6,cfd20_reference,-3.818661347019386
65:653933:8154:228973,B4-B8,cfd20_reference,-2.467240814209106
65:653933:8154:228973,B6-B8,cfd20_reference,1.3514205328102804
65:654599:8777:229639,B4-B6,cfd20_reference,-4.517628399921762
65:654599:8777:229639,B4-B8,cfd20_reference,-4.0371628909340345
65:654599:8777:229639,B6-B8,cfd20_reference,0.4804655089877272
65:655258:9389:230298,B4-B6,cfd20_reference,-6.446467927810396
65:655258:9389:230298,B4-B8,cfd20_reference,-4.51864451641277
65:655258:9389:230298,B6-B8,cfd20_reference,1.9278234113976254
65:655456:9566:230496,B4-B6,cfd20_reference,-5.8229972899729034
65:655456:9566:230496,B4-B8,cfd20_reference,-3.2447442988840365
65:655456:9566:230496,B6-B8,cfd20_reference,2.578252991088867
65:655741:9833:230781,B4-B6,cfd20_reference,-4.363337606837611
65:655741:9833:230781,B4-B8,cfd20_reference,-3.1910225539659507
65:655741:9833:230781,B6-B8,cfd20_reference,1.1723150528716602
65:656000:10073:231040,B4-B6,cfd20_reference,-3.2522584512178696
65:656000:10073:231040,B4-B8,cfd20_reference,-3.1651510284200555
65:656000:10073:231040,B6-B8,cfd20_reference,0.08710742279781414
65:656462:10504:231502,B4-B6,cfd20_reference,-3.5977746806039477
65:656462:10504:231502,B4-B8,cfd20_reference,-4.648922485586169
65:656462:10504:231502,B6-B8,cfd20_reference,-1.0511478049822216
65:657071:11070:232111,B4-B6,cfd20_reference,-4.769341296928339
65:657071:11070:232111,B4-B8,cfd20_reference,-6.794647603234644
65:657071:11070:232111,B6-B8,cfd20_reference,-2.0253063063063053
65:657490:11464:232530,B4-B6,cfd20_reference,-5.130172352293862
65:657490:11464:232530,B4-B8,cfd20_reference,-4.140831767434072
65:657490:11464:232530,B6-B8,cfd20_reference,0.9893405848597894
65:657989:11933:233029,B4-B6,cfd20_reference,-6.654401285935798
65:657989:11933:233029,B4-B8,cfd20_reference,-5.968116519824669
65:657989:11933:233029,B6-B8,cfd20_reference,0.6862847661111289
65:659709:13573:234749,B4-B6,cfd20_reference,-7.446078111714087
65:659709:13573:234749,B4-B8,cfd20_reference,-4.750955262955259
65:659709:13573:234749,B6-B8,cfd20_reference,2.695122848758828
65:660196:14017:235236,B4-B6,cfd20_reference,-6.416564452778353
65:660196:14017:235236,B4-B8,cfd20_reference,-5.377807941833133
65:660196:14017:235236,B6-B8,cfd20_reference,1.0387565109452197
65:660531:14330:235571,B4-B6,cfd20_reference,-5.489202558635412
65:660531:14330:235571,B4-B8,cfd20_reference,-5.719881092977488
65:660531:14330:235571,B6-B8,cfd20_reference,-0.23067853434207564
65:660663:14455:235703,B4-B6,cfd20_reference,-2.9275158571835718
65:660663:14455:235703,B4-B8,cfd20_reference,-2.72718483852767
65:660663:14455:235703,B6-B8,cfd20_reference,0.20033101865590197
65:660707:14496:235747,B4-B6,cfd20_reference,-4.6085878920495915
65:660707:14496:235747,B4-B8,cfd20_reference,-2.249807003658404
65:660707:14496:235747,B6-B8,cfd20_reference,2.3587808883911876
65:662155:15837:237195,B4-B6,cfd20_reference,-4.993090909090917
65:662155:15837:237195,B4-B8,cfd20_reference,-4.146614718614721
65:662155:15837:237195,B6-B8,cfd20_reference,0.8464761904761957
65:662241:15919:237281,B4-B6,cfd20_reference,-5.096218683188624
65:662241:15919:237281,B4-B8,cfd20_reference,-6.570528774479428
65:662241:15919:237281,B6-B8,cfd20_reference,-1.4743100912908034
