heldout_run,stratum,n,injection_brier,injection_auc,mean_probability,observed_injected_fraction
44,amp_1000_2500|s16_large_lowering|p02_early_pathology,183,0.05537793831784342,0.968409586056645,0.4726242684394329,0.4426229508196721
44,amp_1000_2500|s16_no_lowering|p02_broad_late,349,0.06712271627875527,0.959694047223146,0.5630780719475922,0.5558739255014327
44,amp_2500_4500|s16_large_lowering|p02_early_pathology,65,0.06969897629712864,0.960727969348659,0.480555814980985,0.4461538461538462
44,amp_2500_4500|s16_no_lowering|p02_broad_late,816,0.05721962648869069,0.9737764023675749,0.4943126448429739,0.49142156862745096
44,amp_ge_4500|s16_large_lowering|p02_broad_late,42,0.11403745964265158,0.9310344827586208,0.6659628859656583,0.6904761904761905
44,amp_ge_4500|s16_large_lowering|p02_early_pathology,41,0.0736553407649378,0.9688995215311005,0.4951071663896736,0.4634146341463415
44,amp_ge_4500|s16_no_lowering|p02_broad_late,1320,0.053485666729358304,0.972585662629857,0.5197799825125494,0.4962121212121212
45,amp_1000_2500|s16_large_lowering|p02_early_pathology,160,0.04885865957954509,0.9801587301587302,0.4823933668204292,0.4375
45,amp_1000_2500|s16_no_lowering|p02_broad_late,257,0.056566432450331924,0.9707450030284677,0.5251676283329054,0.5058365758754864
45,amp_2500_4500|s16_large_lowering|p02_early_pathology,82,0.07997729179375325,0.9409660107334525,0.507672404315619,0.524390243902439
45,amp_2500_4500|s16_no_lowering|p02_broad_late,747,0.04937284960883043,0.9685971630595356,0.4950839251850158,0.4899598393574297
45,amp_ge_4500|s16_no_lowering|p02_broad_late,1547,0.056466293669448546,0.9669447870807719,0.5053656803648626,0.5003232062055591
46,amp_1000_2500|s16_no_lowering|p02_broad_late,164,0.05968644517507021,0.9752269579935375,0.5480399150389058,0.5914634146341463
46,amp_2500_4500|s16_no_lowering|p02_broad_late,335,0.05068172097735633,0.9783646991730823,0.46792978232022087,0.49850746268656715
46,amp_ge_4500|s16_no_lowering|p02_broad_late,526,0.047941363377822586,0.9779321322624991,0.4815113747538378,0.4847908745247148
47,amp_1000_2500|s16_large_lowering|p02_early_pathology,61,0.051086010422428475,0.9795698924731182,0.4872745429061829,0.5081967213114754
47,amp_1000_2500|s16_no_lowering|p02_broad_late,410,0.0408753672458656,0.9903143666262106,0.48155153887163366,0.5048780487804878
47,amp_2500_4500|s16_no_lowering|p02_broad_late,881,0.054999762643338126,0.9706819236121849,0.4659870626079046,0.49375709421112374
47,amp_ge_4500|s16_no_lowering|p02_broad_late,1507,0.04934418929540197,0.9818632406973591,0.48333964609562347,0.5029860650298607
48,amp_1000_2500|s16_large_lowering|p02_early_pathology,186,0.06900022198566767,0.9598611914401388,0.48818906807388746,0.489247311827957
48,amp_1000_2500|s16_no_lowering|p02_broad_late,423,0.059184989939006796,0.9734455667789002,0.5372633833599718,0.5319148936170213
48,amp_2500_4500|s16_large_lowering|p02_early_pathology,91,0.08515212403473006,0.9289940828402368,0.4689003365111656,0.42857142857142855
48,amp_2500_4500|s16_no_lowering|p02_broad_late,977,0.07064316313002898,0.9580289368840427,0.5233688852235067,0.5138178096212896
48,amp_ge_4500|s16_large_lowering|p02_early_pathology,42,0.0643530656694527,0.9455782312925168,0.490743090537537,0.5
48,amp_ge_4500|s16_no_lowering|p02_broad_late,1113,0.06753907974025664,0.959279133667367,0.5134607013077387,0.4833782569631626
49,amp_1000_2500|s16_large_lowering|p02_early_pathology,194,0.07318901587943011,0.9464285714285715,0.4835970001793495,0.5051546391752577
49,amp_1000_2500|s16_no_lowering|p02_broad_late,322,0.07068861487555989,0.9539369623085528,0.5030996401589309,0.5
49,amp_2500_4500|s16_large_lowering|p02_early_pathology,75,0.07396374158854879,0.9628571428571429,0.47733554511618065,0.4666666666666667
49,amp_2500_4500|s16_no_lowering|p02_broad_late,807,0.06716462440386677,0.957626597458826,0.5268934418278374,0.5179677819083024
49,amp_ge_4500|s16_no_lowering|p02_broad_late,1380,0.059496285408427364,0.9614799690797877,0.5083610231852276,0.4956521739130435
50,amp_1000_2500|s16_no_lowering|p02_broad_late,111,0.03314235716723885,0.9980519480519481,0.47263956391819356,0.4954954954954955
50,amp_2500_4500|s16_no_lowering|p02_broad_late,261,0.04106662793399649,0.9845744680851063,0.4626518440740793,0.45977011494252873
50,amp_ge_4500|s16_large_lowering|p02_broad_late,49,0.03137971867133142,0.95,0.40064606971801814,0.40816326530612246
50,amp_ge_4500|s16_no_lowering|p02_broad_late,2463,0.03629703427574953,0.9867032500382451,0.4920836012033522,0.5030450669914738
51,amp_1000_2500|s16_large_lowering|p02_early_pathology,54,0.02779142505100726,0.9984962406015038,0.3923892815539779,0.35185185185185186
51,amp_1000_2500|s16_no_lowering|p02_broad_late,109,0.0342190850451855,0.9925625422582826,0.5221512580527459,0.5321100917431193
51,amp_2500_4500|s16_no_lowering|p02_broad_late,293,0.03893776211038425,0.9834079045488441,0.5058057412223732,0.5085324232081911
51,amp_ge_4500|s16_no_lowering|p02_broad_late,2412,0.04073740644882657,0.9831934390882489,0.49787510125479956,0.5008291873963516
52,amp_1000_2500|s16_large_lowering|p02_early_pathology,58,0.0374631805007741,0.968936678614098,0.4505716701856061,0.46551724137931033
52,amp_1000_2500|s16_no_lowering|p02_broad_late,114,0.0382867581069615,0.9919950738916256,0.5070692766455793,0.49122807017543857
52,amp_2500_4500|s16_no_lowering|p02_broad_late,289,0.03754251047473036,0.987021072796935,0.5022415081775041,0.4982698961937716
52,amp_ge_4500|s16_no_lowering|p02_broad_late,2401,0.031836786712403,0.986470283750047,0.503134647417578,0.5006247396917951
53,amp_1000_2500|s16_no_lowering|p02_broad_late,75,0.030392785533302102,0.9964438122332859,0.502012474263658,0.5066666666666667
53,amp_2500_4500|s16_no_lowering|p02_broad_late,215,0.01287595974699288,1.0,0.4970153810414133,0.4930232558139535
53,amp_ge_4500|s16_no_lowering|p02_broad_late,2576,0.030526266697537333,0.9888892572644497,0.4973645378137474,0.4988354037267081
54,amp_1000_2500|s16_no_lowering|p02_broad_late,70,0.05293179407465385,0.9820408163265306,0.4939154508236272,0.5
54,amp_2500_4500|s16_no_lowering|p02_broad_late,213,0.023071070685813145,0.9883762200532386,0.5421925240925984,0.539906103286385
54,amp_ge_4500|s16_no_lowering|p02_broad_late,2593,0.028670741357666566,0.9901722796170296,0.4911184319320437,0.4951793289625916
55,amp_1000_2500|s16_large_lowering|p02_early_pathology,67,0.026338672700648387,0.9714795008912657,0.49383489860471425,0.4925373134328358
55,amp_1000_2500|s16_no_lowering|p02_broad_late,107,0.03366191809892734,0.9786713286713287,0.5307050908712704,0.514018691588785
55,amp_2500_4500|s16_no_lowering|p02_broad_late,303,0.053614889066930266,0.9664414809615723,0.5401597821766027,0.5412541254125413
55,amp_ge_4500|s16_no_lowering|p02_broad_late,2383,0.03921054775697197,0.9795611439842209,0.49162893209592146,0.49643306756189676
56,amp_1000_2500|s16_no_lowering|p02_broad_late,101,0.03755857389362937,0.9713478611783695,0.42588638011670443,0.4158415841584158
56,amp_2500_4500|s16_no_lowering|p02_broad_late,287,0.04044731862229265,0.9891156462585033,0.474755864282896,0.5121951219512195
