method,run,event_index,eventno,evt,stave,amplitude_adc,taxon,traditional_score,ml_score,q_template_rmse,pca_recon_mse,ae_recon_mse,isolation_anomaly_score,peak_sample,late_fraction,baseline_mad,saturation_count,secondary_peak,post_peak_min,timing_span_dup
traditional_robust_template,42,31984,799290,14156,B2,9003.0,baseline_excursion,2012.5721,31.232725,0.4394563,0.10213863,0.1661224,0.6440067,5,0.22902526,7341.0,1,0.9603466,0.32033765,5.157401
traditional_robust_template,42,25326,792632,7946,B2,9081.5,baseline_excursion,1766.15,16.497889,0.42981544,0.029659119,0.13094012,0.6118094,2,0.2811615,6442.5,1,0.65886694,0.21664923,0.4248755
traditional_robust_template,42,15089,782391,14806,B2,8639.5,baseline_excursion,1653.3973,16.928087,0.41283575,0.030125298,0.1347822,0.61625713,2,0.29197112,6031.5,1,0.6756757,0.26673996,0.37670445
traditional_robust_template,42,1005,768306,1682,B2,7070.5,baseline_excursion,1264.493,45.274616,0.5269346,0.1811834,0.18326767,0.6480088,2,0.16565777,4612.5,1,0.8215119,-1.2820169,0.8281736
traditional_robust_template,42,31400,798706,13620,B2,7533.5,baseline_excursion,1199.7439,39.627613,0.44639018,0.15986148,0.15832001,0.62584925,4,0.25144818,4377.5,1,0.99495584,0.22068095,1.0396408
traditional_robust_template,42,33597,800903,15650,B2,7194.5,baseline_excursion,1146.6116,39.1422,0.4426626,0.15763655,0.15787448,0.61587125,2,0.24511443,4183.0,1,0.9074293,-1.1075822,1.0443965
traditional_robust_template,42,7189,774490,7434,B2,10260.5,baseline_excursion,1136.7227,24.481483,0.35551137,0.06899301,0.1519179,0.6116251,1,0.3345411,4147.5,1,0.94093853,-0.40422007,2.9158018
traditional_robust_template,42,24541,791847,7211,B2,10066.5,baseline_excursion,1134.5353,25.359816,0.36205313,0.071028866,0.15829132,0.61512774,1,0.3320187,4139.5,1,0.9918542,-0.41121542,3.072713
traditional_robust_template,42,22973,790277,5765,B4,3101.0,baseline_excursion,626.4071,6.677193,0.6527002,0.010976592,0.05252426,0.5656374,3,0.05930903,2286.5,1,0.39471138,-0.5272493,18.0
traditional_robust_template,42,16250,783552,15902,B4,2267.5,baseline_excursion,583.681,13.4945965,1.2460182,0.0069809994,0.130817,0.67772985,3,0.0,2129.0,1,0.0,-1.5173098,1.6139162
traditional_robust_template,42,30312,797618,12602,B4,2077.5,novel_early_pretrigger,492.14838,6.1663766,0.68926543,0.009887129,0.0459791,0.5865496,3,0.0,1796.5,1,0.51672685,-0.90565586,1.6370835
traditional_robust_template,42,11153,778455,11126,B4,2222.0,novel_early_pretrigger,485.75687,4.834817,0.57803243,0.0088494755,0.035945393,0.5498735,3,0.0,1773.5,1,0.6287129,-0.66921693,1.6603174
traditional_robust_template,42,28206,795512,10627,B4,2391.5,novel_early_pretrigger,484.76132,4.893979,0.5368076,0.007954543,0.0390821,0.54411787,3,0.033455465,1770.0,1,0.60945016,-0.5935605,1.6676481
traditional_robust_template,42,28219,795525,10640,B4,1700.5,novel_early_pretrigger,458.94543,9.8726,1.3045026,0.007968091,0.08302231,0.69094646,3,0.0,1674.0,1,0.020876212,-1.8720964,1.603217
traditional_robust_template,42,1599,768900,2228,B4,2016.0,novel_early_pretrigger,450.14392,4.3838024,0.6437554,0.007869808,0.031646177,0.55584216,3,0.0,1643.5,1,0.6686508,-0.85515875,1.6586152
traditional_robust_template,42,21439,788743,4344,B4,2123.0,novel_early_pretrigger,448.88153,4.056049,0.604257,0.007658205,0.029143354,0.5463614,3,0.0,1639.0,1,0.6683938,-0.7512953,1.6672971
