model,fold,sigma68_ns,n_pair_residuals,max_iter,max_leaf_nodes,learning_rate,l2_regularization
hgb_shallow,0,1.8896666896422172,3018,80,15,0.05,0.1
hgb_shallow,1,1.3645629234340046,3534,80,15,0.05,0.1
hgb_shallow,2,1.3327910376640792,4710,80,15,0.05,0.1
hgb_shallow,-1,1.5290068835801005,0,80,15,0.05,0.1
hgb_medium,0,1.9159611671231436,3018,120,31,0.05,0.0
hgb_medium,1,1.4308469009716336,3534,120,31,0.05,0.0
hgb_medium,2,1.405621068927975,4710,120,31,0.05,0.0
hgb_medium,-1,1.5841430456742505,0,120,31,0.05,0.0
hgb_regularized,0,1.8280003445360287,3018,120,31,0.03,1.0
hgb_regularized,1,1.375689736273111,3534,120,31,0.03,1.0
hgb_regularized,2,1.3133060764516615,4710,120,31,0.03,1.0
hgb_regularized,-1,1.5056653857536004,0,120,31,0.03,1.0
