alpha,fold,sigma68_ns,n_pair_residuals
0.01,0,1.9948488399171669,3018
0.01,1,1.3960708104854946,3534
0.01,2,1.4847632385444192,4710
0.01,-1,1.625227629649027,0
0.1,0,1.9945941697703429,3018
0.1,1,1.3960516379977832,3534
0.1,2,1.4846033884061876,4710
0.1,-1,1.625083065391438,0
1.0,0,1.9922194051896955,3018
1.0,1,1.3923105257549202,3534
1.0,2,1.4851848861741306,4710
1.0,-1,1.6232382723729153,0
10.0,0,1.9829611083917782,3018
10.0,1,1.3724500077330601,3534
10.0,2,1.4740626359930944,4710
10.0,-1,1.6098245840393108,0
100.0,0,1.938312214600422,3018
100.0,1,1.3248694982025044,3534
100.0,2,1.4386884563267448,4710
100.0,-1,1.5672900563765573,0
