n_bins,direction,fold,sigma68_ns,n_pair_residuals
4,auto,0,2.1070230093445717,3018
4,auto,1,1.4432963751216092,3534
4,auto,2,1.536717884609652,4710
4,auto,-1,1.695679089691944,0
4,increasing,0,2.100871870167669,3018
4,increasing,1,1.3885919557441895,3534
4,increasing,2,1.3885919557441966,4710
4,increasing,-1,1.6260185938853517,0
4,decreasing,0,2.1070230093445717,3018
4,decreasing,1,1.4432963751216057,3534
4,decreasing,2,1.536717884609652,4710
4,decreasing,-1,1.695679089691943,0
5,auto,0,2.0783800395769854,3018
5,auto,1,1.4309844267961154,3534
5,auto,2,1.4714205322525764,4710
5,auto,-1,1.660261666208559,0
5,increasing,0,2.1196127726421956,3018
5,increasing,1,1.3885919557441824,3534
5,increasing,2,1.394610723199655,4710
5,increasing,-1,1.6342718171953443,0
5,decreasing,0,2.0783800395769854,3018
5,decreasing,1,1.4309844267961154,3534
5,decreasing,2,1.47142053225258,4710
5,decreasing,-1,1.6602616662085603,0
6,auto,0,2.01501354317558,3018
6,auto,1,1.4098978278001557,3534
6,auto,2,1.496057140745604,4710
6,auto,-1,1.6403228372404464,0
6,increasing,0,2.1320763825403084,3018
6,increasing,1,1.388591955744185,3534
6,increasing,2,1.4237430492069834,4710
6,increasing,-1,1.6481371291638256,0
6,decreasing,0,2.01501354317558,3018
6,decreasing,1,1.4098978278001557,3534
6,decreasing,2,1.4960571407456005,4710
6,decreasing,-1,1.6403228372404453,0
8,auto,0,1.9118447089521673,3018
8,auto,1,1.4121397105354978,3534
8,auto,2,1.4309844267961225,4710
8,auto,-1,1.5849896154279293,0
8,increasing,0,2.132167357795037,3018
8,increasing,1,1.405513882540312,3534
8,increasing,2,1.413326382540312,4710
8,increasing,-1,1.650335874291887,0
8,decreasing,0,1.9118447089521673,3018
8,decreasing,1,1.4121397105354943,3534
8,decreasing,2,1.430984426796119,4710
8,decreasing,-1,1.5849896154279268,0
