method,base_method,drift_order,n,pred_mean_ns,target_mean_ns
s02c_binned_timewalk_drift0,s02b_template,0,33,-8.43617769684481,-7.491100103940438
s02c_binned_timewalk_drift0,s02b_template,0,33,-4.176047858190444,-3.740515606911011
s02c_binned_timewalk_drift0,s02b_template,0,33,1.3900518687179655,1.4972759371548385
s02c_binned_timewalk_drift0,s02b_template,0,33,2.543196507619,2.5748002276401616
s02c_binned_timewalk_drift0,s02b_template,0,33,3.413023007062166,3.1908744369925235
s02c_binned_timewalk_drift0,s02b_template,0,33,4.61121000214867,3.9686651090639247
s02c_binned_timewalk_drift1,s02b_template,1,33,-8.09082050700294,-7.491100103940438
s02c_binned_timewalk_drift1,s02b_template,1,33,-3.820174739005911,-3.740515606911011
s02c_binned_timewalk_drift1,s02b_template,1,33,1.2560425074464774,1.598691560380551
s02c_binned_timewalk_drift1,s02b_template,1,33,2.433452590024968,2.500871921779624
s02c_binned_timewalk_drift1,s02b_template,1,33,3.325696500971346,3.163387119627349
s02c_binned_timewalk_drift1,s02b_template,1,33,4.546329199273925,3.9686651090639247
s02c_binned_timewalk_drift2,s02b_template,2,33,-9.03839400798291,-7.491100103940438
s02c_binned_timewalk_drift2,s02b_template,2,33,-4.7913082346298665,-3.740515606911011
s02c_binned_timewalk_drift2,s02b_template,2,33,2.3521336096180625,1.525030651477157
s02c_binned_timewalk_drift2,s02b_template,2,33,3.36253186636803,2.5683425441281718
s02c_binned_timewalk_drift2,s02b_template,2,33,4.087936543420071,3.2396316317443827
s02c_binned_timewalk_drift2,s02b_template,2,33,5.208502307363988,3.8986108835017363
s02c_global_timewalk_drift0,template_phase,0,33,-4.373546846564455,-4.586338363323943
s02c_global_timewalk_drift0,template_phase,0,33,-3.6118038529893672,-4.260580787566357
s02c_global_timewalk_drift0,template_phase,0,33,1.4488566838811252,1.9346373122062523
s02c_global_timewalk_drift0,template_phase,0,33,2.232630276481243,2.2913997075695915
s02c_global_timewalk_drift0,template_phase,0,33,2.5729216920203775,2.495213371141221
s02c_global_timewalk_drift0,template_phase,0,33,2.918480539224521,2.12566875997323
s02c_global_timewalk_drift1,template_phase,1,33,-4.12196798447665,-4.586338363323943
s02c_global_timewalk_drift1,template_phase,1,33,-3.358095591273841,-4.260580787566357
s02c_global_timewalk_drift1,template_phase,1,33,1.355932252042384,1.9346373122062523
s02c_global_timewalk_drift1,template_phase,1,33,2.1364941342691273,2.2913997075695915
s02c_global_timewalk_drift1,template_phase,1,33,2.4704766119515393,2.495213371141221
s02c_global_timewalk_drift1,template_phase,1,33,2.8187080080446756,2.12566875997323
s02c_global_timewalk_drift2,template_phase,2,33,-6.644801208212035,-4.62421715120273
s02c_global_timewalk_drift2,template_phase,2,33,-5.859349164128804,-4.22270199968757
s02c_global_timewalk_drift2,template_phase,2,33,2.231288994316852,2.0054223595025156
s02c_global_timewalk_drift2,template_phase,2,33,2.9650270631903584,2.2689063646098973
s02c_global_timewalk_drift2,template_phase,2,33,3.209282486685736,2.371164091047077
s02c_global_timewalk_drift2,template_phase,2,33,3.586945083576056,2.201426335730805
