method,heldout_run,threshold,clean_efficiency,gross_rejection,n_clean,n_gross
curvature-only traditional,58,4.439667134669805,1.0,,9,0
curvature-only traditional,59,4.44237844635631,0.956989247311828,1.0,93,5
curvature-only traditional,60,4.449431311162106,0.9612403100775194,1.0,129,6
curvature-only traditional,61,4.430242930708881,0.9488636363636364,1.0,176,8
curvature-only traditional,62,4.325593875632121,0.9009009009009009,1.0,111,1
curvature-only traditional,63,4.445089758042814,0.9649122807017544,1.0,57,2
curvature-only traditional,65,4.436277995061675,1.0,,4,0
shape-only RF,58,0.30530339654912875,0.8888888888888888,,9,0
shape-only RF,59,0.30585490265510906,0.956989247311828,0.8,93,5
shape-only RF,60,0.3057488367408372,0.9534883720930233,1.0,129,6
shape-only RF,61,0.30377887971314915,0.9431818181818182,1.0,176,8
shape-only RF,62,0.299361094075994,0.9369369369369369,1.0,111,1
shape-only RF,63,0.3054400711513163,0.9473684210526315,1.0,57,2
shape-only RF,65,0.30561625434799744,1.0,,4,0
