feature,coefficient,train_pulses,heldout_pulses,method,base_method,selector
intercept,0.0,11262,198,s02c_template_timewalk,template_phase,median_first4
B4_intercept,80.09227928577263,11262,198,s02c_template_timewalk,template_phase,median_first4
B4_log_amp,-233.31698745473264,11262,198,s02c_template_timewalk,template_phase,median_first4
B4_log_amp2,118.5271011291462,11262,198,s02c_template_timewalk,template_phase,median_first4
B4_inv_amp,-0.07224037754640722,11262,198,s02c_template_timewalk,template_phase,median_first4
B4_peak_sample,0.5493810269463775,11262,198,s02c_template_timewalk,template_phase,median_first4
B4_area_over_amp,-0.49412937589088235,11262,198,s02c_template_timewalk,template_phase,median_first4
B4_template_sse,-0.33245239365216167,11262,198,s02c_template_timewalk,template_phase,median_first4
B6_intercept,-29.071950099751017,11262,198,s02c_template_timewalk,template_phase,median_first4
B6_log_amp,2.8855689480802944,11262,198,s02c_template_timewalk,template_phase,median_first4
B6_log_amp2,-5.023565914475528,11262,198,s02c_template_timewalk,template_phase,median_first4
B6_inv_amp,-0.8182601177413317,11262,198,s02c_template_timewalk,template_phase,median_first4
B6_peak_sample,0.1987712541929028,11262,198,s02c_template_timewalk,template_phase,median_first4
B6_area_over_amp,-0.06505663772373885,11262,198,s02c_template_timewalk,template_phase,median_first4
B6_template_sse,-0.008832834953659555,11262,198,s02c_template_timewalk,template_phase,median_first4
B8_intercept,-51.020329930157565,11262,198,s02c_template_timewalk,template_phase,median_first4
B8_log_amp,51.726499771701334,11262,198,s02c_template_timewalk,template_phase,median_first4
B8_log_amp2,-34.015777396178905,11262,198,s02c_template_timewalk,template_phase,median_first4
B8_inv_amp,-1.0341780802035898,11262,198,s02c_template_timewalk,template_phase,median_first4
B8_peak_sample,0.7250811091346451,11262,198,s02c_template_timewalk,template_phase,median_first4
B8_area_over_amp,1.1516563964336335,11262,198,s02c_template_timewalk,template_phase,median_first4
B8_template_sse,0.24737859971224185,11262,198,s02c_template_timewalk,template_phase,median_first4
intercept,0.0,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B4_intercept,8.890557155752193,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B4_log_amp,-14.78527477194891,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B4_log_amp2,7.963705057937467,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B4_inv_amp,-1.7509590137756461,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B4_peak_sample,0.5286612958314887,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B4_area_over_amp,-1.3207379414071998,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B4_template_sse,0.1869224182591363,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B6_intercept,-18.912779624919477,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B6_log_amp,46.25358692642362,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B6_log_amp2,-22.75337466864115,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B6_inv_amp,0.7605224158663615,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B6_peak_sample,0.46752181296110085,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B6_area_over_amp,-0.3123350479765532,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B6_template_sse,-0.4734745706610205,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B8_intercept,10.022220885380678,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B8_log_amp,-2.755119538099686,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B8_log_amp2,-2.557369671609443,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B8_inv_amp,0.2264335749360195,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B8_peak_sample,0.3328522397534969,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B8_area_over_amp,0.9457320962064945,13206,270,s02c_template_timewalk,template_phase,dynamic_range
B8_template_sse,0.3822895021535882,13206,270,s02c_template_timewalk,template_phase,dynamic_range
