file,stack,entries,branches,trigger_summary,non_beam_trigger_entries,filename_tag_match
hrda_run_0000.root,A,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty,0,False
hrda_run_0001.root,A,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty,0,False
hrda_run_0002.root,A,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty,0,False
hrda_run_0003.root,A,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty,0,False
hrda_run_0012.root,A,15043,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:15043,0,False
hrda_run_0013.root,A,51109,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:51109,0,False
hrda_run_0014.root,A,3495,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:3495,0,False
hrda_run_0015.root,A,103882,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:103882,0,False
hrda_run_0016.root,A,11984,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:11984,0,False
hrda_run_0017.root,A,5670,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:5670,0,False
hrda_run_0018.root,A,75391,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:75391,0,False
hrda_run_0019.root,A,73816,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:73816,0,False
hrda_run_0020.root,A,57759,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:57759,0,False
hrda_run_0021.root,A,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty,0,False
hrda_run_0022.root,A,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty,0,False
hrda_run_0023.root,A,3815,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:3815,0,False
hrda_run_0024.root,A,24988,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:24988,0,False
hrda_run_0025.root,A,3315,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:3315,0,False
hrda_run_0026.root,A,54079,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:54079,0,False
hrda_run_0027.root,A,34986,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:34986,0,False
hrda_run_0028.root,A,5222,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:5222,0,False
hrda_run_0029.root,A,25873,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:25873,0,False
hrda_run_0030.root,A,5243,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:5243,0,False
hrda_run_0031.root,A,39994,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:39994,0,False
hrda_run_0032.root,A,41913,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:41913,0,False
hrda_run_0033.root,A,57167,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:57167,0,False
hrda_run_0034.root,A,39721,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:39721,0,False
hrda_run_0035.root,A,27764,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:27764,0,False
hrda_run_0036.root,A,21755,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:21755,0,False
hrda_run_0037.root,A,50511,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:50511,0,False
hrda_run_0039.root,A,30336,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:30336,0,False
hrda_run_0040.root,A,32645,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:32645,0,False
hrda_run_0041.root,A,34021,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:34021,0,False
hrda_run_0042.root,A,33976,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:33976,0,False
hrda_run_0043.root,A,13,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:13,0,False
hrda_run_0044.root,A,4299,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:4299,0,False
hrda_run_0045.root,A,48208,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:48208,0,False
hrda_run_0046.root,A,1444,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:1444,0,False
hrda_run_0047.root,A,10982,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:10982,0,False
hrda_run_0048.root,A,31671,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:31671,0,False
hrda_run_0049.root,A,32325,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:32325,0,False
hrda_run_0050.root,A,44824,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:44824,0,False
hrda_run_0051.root,A,20566,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:20566,0,False
hrda_run_0052.root,A,10010,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:10010,0,False
hrda_run_0053.root,A,39621,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:39621,0,False
hrda_run_0054.root,A,37385,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:37385,0,False
hrda_run_0055.root,A,24409,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:24409,0,False
hrda_run_0056.root,A,51829,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:51829,0,False
hrda_run_0057.root,A,31275,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:31275,0,False
hrda_run_0058.root,A,34178,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:34178,0,False
hrda_run_0059.root,A,42314,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:42314,0,False
hrda_run_0060.root,A,36089,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:36089,0,False
hrda_run_0061.root,A,36550,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:36550,0,False
hrda_run_0062.root,A,37589,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:37589,0,False
hrda_run_0063.root,A,37040,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:37040,0,False
hrda_run_0064.root,A,35985,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:35985,0,False
hrda_run_0065.root,A,38429,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:38429,0,False
hrdb_run_0012.root,B,14791,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:14791,0,False
hrdb_run_0013.root,B,50629,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:50629,0,False
hrdb_run_0014.root,B,3479,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:3479,0,False
hrdb_run_0015.root,B,103871,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:103871,0,False
hrdb_run_0016.root,B,11533,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:11533,0,False
hrdb_run_0017.root,B,5648,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:5648,0,False
hrdb_run_0018.root,B,75023,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:75023,0,False
hrdb_run_0019.root,B,73470,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:73470,0,False
hrdb_run_0020.root,B,57388,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:57388,0,False
hrdb_run_0021.root,B,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty,0,False
hrdb_run_0022.root,B,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,empty,0,False
hrdb_run_0023.root,B,3806,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:3806,0,False
hrdb_run_0024.root,B,24908,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:24908,0,False
hrdb_run_0025.root,B,3315,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:3315,0,False
hrdb_run_0026.root,B,53953,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:53953,0,False
hrdb_run_0027.root,B,34979,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:34979,0,False
hrdb_run_0028.root,B,5203,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:5203,0,False
hrdb_run_0029.root,B,25800,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:25800,0,False
hrdb_run_0030.root,B,5265,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:5265,0,False
hrdb_run_0031.root,B,39990,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:39990,0,False
hrdb_run_0032.root,B,41921,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:41921,0,False
hrdb_run_0033.root,B,57173,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:57173,0,False
hrdb_run_0034.root,B,39765,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:39765,0,False
hrdb_run_0035.root,B,27786,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:27786,0,False
hrdb_run_0036.root,B,21764,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,1:21764,0,False
