model,scope,n,pred_sigma_median_ns,abs_error_median_ns,pull_width_sigma68,pull_rms
mlp_analytic_residual,heldout_pulse_target,198,2.146899461746216,1.1381270158695855,0.6941483881389576,0.7715160443381446
mlp_analytic_residual,heldout_sigma_bin,50,1.9730497002601624,1.334440674761911,0.7597176153417307,0.8078511742073629
mlp_analytic_residual,heldout_sigma_bin,49,2.0836946964263916,1.2344144240265749,0.7857961347433935,0.8384438462214642
mlp_analytic_residual,heldout_sigma_bin,49,2.297743082046509,1.1332725920713074,0.715098929636699,0.8013808411359776
mlp_analytic_residual,heldout_sigma_bin,50,3.984757423400879,0.8639332168994187,0.3755704827667717,0.3467442634549686
cnn_analytic_residual,heldout_pulse_target,198,2.3395774364471436,1.179226513161879,0.6382563797923577,0.7238528451422984
cnn_analytic_residual,heldout_sigma_bin,50,2.1899421215057373,1.248762898821635,0.8323818274041748,0.8774244053155841
cnn_analytic_residual,heldout_sigma_bin,49,2.2710189819335938,1.293070536352296,0.7616930642623153,0.7512578093681418
cnn_analytic_residual,heldout_sigma_bin,49,2.489154577255249,1.094204664620463,0.6223864238853797,0.7160746246150868
cnn_analytic_residual,heldout_sigma_bin,50,2.9171676635742188,1.1411102323757163,0.5581023788789532,0.4706100472461858
