split,unit,method,target,metric,ci_low,ci_high,bootstrap_replicates
run,run,traditional,s01_q_template_bin,ami,0.145214943558094,0.16223562913735573,120
run,run,traditional,s01_q_template_bin,purity,0.38401233654073985,0.40757271175455045,120
run,run,ml_autoencoder,s01_q_template_bin,ami,0.12538462295421016,0.14206267616216883,120
run,run,ml_autoencoder,s01_q_template_bin,purity,0.3918501460513171,0.40485403278652293,120
run,run,delta,s01_q_template_bin,ami,-0.025767441813304676,-0.012191957300663435,120
run,run,delta,s01_q_template_bin,purity,-0.007200050377687562,0.012290994903550784,120
run,run,traditional,peak_group,ami,0.46585963926898405,0.5088890484581926,120
run,run,traditional,peak_group,purity,0.7855614574388695,0.8131693508938876,120
run,run,ml_autoencoder,peak_group,ami,0.417289680758312,0.4665275330153949,120
run,run,ml_autoencoder,peak_group,purity,0.780548555778415,0.814575403675551,120
run,run,delta,peak_group,ami,-0.07763265988217032,-0.02421450803268484,120
run,run,delta,peak_group,purity,-0.0193413842257559,0.017454790013137128,120
run,run,traditional,downstream_topology,ami,0.08754440910020059,0.12372756975019215,120
run,run,traditional,downstream_topology,purity,0.6085064891521782,0.6783944485177246,120
run,run,ml_autoencoder,downstream_topology,ami,0.0825571151484148,0.12907358342746064,120
run,run,ml_autoencoder,downstream_topology,purity,0.6451347451837108,0.6988866535561697,120
run,run,delta,downstream_topology,ami,-0.01524676371485025,0.011520341323497,120
run,run,delta,downstream_topology,purity,0.014045797678718205,0.04412759374319851,120
run,run,traditional,dt_label,ami,0.07837442582422009,0.10439419480899505,120
run,run,traditional,dt_label,purity,0.6433125877466536,0.7098639511092402,120
run,run,ml_autoencoder,dt_label,ami,0.08716730185943874,0.10931132982343301,120
run,run,ml_autoencoder,dt_label,purity,0.6442835654961518,0.7115573974105097,120
run,run,delta,dt_label,ami,-0.002554948844862977,0.019289739894170932,120
run,run,delta,dt_label,purity,-0.005965253369577476,0.005994209500465961,120
run,run,traditional,manual_flag,ami,0.6461702852760203,0.7108508973499512,120
run,run,traditional,manual_flag,purity,0.9322792332341562,0.9437490294328132,120
run,run,ml_autoencoder,manual_flag,ami,0.4511297251636569,0.49918716004354813,120
run,run,ml_autoencoder,manual_flag,purity,0.8827310043056328,0.9140338510434982,120
run,run,delta,manual_flag,ami,-0.23516366178936549,-0.1751966987200587,120
run,run,delta,manual_flag,purity,-0.05195509410323188,-0.02747906128599462,120
stave,stave,traditional,s01_q_template_bin,ami,0.1656541355718031,0.17685127236744447,120
stave,stave,traditional,s01_q_template_bin,purity,0.4038621188724696,0.41144058852746185,120
stave,stave,ml_autoencoder,s01_q_template_bin,ami,0.1317697434761844,0.17967412072761407,120
stave,stave,ml_autoencoder,s01_q_template_bin,purity,0.3995864657870636,0.4551444993922711,120
stave,stave,delta,s01_q_template_bin,ami,-0.04072532054468941,0.003399867424644702,120
stave,stave,delta,s01_q_template_bin,purity,-0.00586861641992828,0.04524550837754336,120
stave,stave,traditional,peak_group,ami,0.34442244855857057,0.6129648441212607,120
stave,stave,traditional,peak_group,purity,0.799965410331943,0.8452382726767214,120
stave,stave,ml_autoencoder,peak_group,ami,0.40171345743225795,0.5112763420028915,120
stave,stave,ml_autoencoder,peak_group,purity,0.7554096186545698,0.8165706950892367,120
stave,stave,delta,peak_group,ami,-0.126755780601028,0.0638763192100232,120
stave,stave,delta,peak_group,purity,-0.05899763576851286,-0.013183905480072255,120
stave,stave,traditional,downstream_topology,ami,0.01253482059482444,0.04521933074636951,120
stave,stave,traditional,downstream_topology,purity,0.7844439349936249,0.9127903004639555,120
stave,stave,ml_autoencoder,downstream_topology,ami,0.01570214160234946,0.06068292207501376,120
stave,stave,ml_autoencoder,downstream_topology,purity,0.7857385722766814,0.9124020428881978,120
stave,stave,delta,downstream_topology,ami,-0.00038499958603019097,0.016201865615247613,120
stave,stave,delta,downstream_topology,purity,-0.0007575757575757902,0.0019665376451491745,120
stave,stave,traditional,dt_label,ami,0.03653231863872425,0.11548489407831053,120
stave,stave,traditional,dt_label,purity,0.6382729646035511,0.883555469793452,120
stave,stave,ml_autoencoder,dt_label,ami,0.02409113162915169,0.13469764359051567,120
stave,stave,ml_autoencoder,dt_label,purity,0.6522680741722308,0.8863494949703754,120
stave,stave,delta,dt_label,ami,-0.01244118700957256,0.019220118526413324,120
stave,stave,delta,dt_label,purity,0.0,0.022395801364002987,120
stave,stave,traditional,manual_flag,ami,0.4653699145731126,0.6942278804278513,120
stave,stave,traditional,manual_flag,purity,0.910893278527937,0.9531905859265669,120
stave,stave,ml_autoencoder,manual_flag,ami,0.34141917239876834,0.47302428597076823,120
stave,stave,ml_autoencoder,manual_flag,purity,0.833894632997051,0.941888660541586,120
stave,stave,delta,manual_flag,ami,-0.2807829872817608,-0.09101774825848918,120
stave,stave,delta,manual_flag,purity,-0.08053764838133914,-0.0054677797007024465,120
