method,base_method,shuffle_mode,seed,scope,metric,value,macro_f1,train_rows,heldout_rows,stratum
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,global,7001,overall,balanced_accuracy,0.2726882858853612,0.2045108869451918,82118.0,11998,
,traditional residual PCA+hand,global,7001,heldout_run,balanced_accuracy,0.24359688870986443,,,2635,42
,traditional residual PCA+hand,global,7001,heldout_run,balanced_accuracy,0.2630518292682927,,,2559,57
,traditional residual PCA+hand,global,7001,heldout_run,balanced_accuracy,0.28366742111719934,,,4034,64
,traditional residual PCA+hand,global,7001,heldout_run,balanced_accuracy,0.30102106495804976,,,2770,65
,traditional residual PCA+hand,global,7001,topology,balanced_accuracy,0.24458727385736667,,,6121,single
,traditional residual PCA+hand,global,7001,topology,balanced_accuracy,0.22471634969127074,,,2764,pair
,traditional residual PCA+hand,global,7001,topology,balanced_accuracy,0.2511795122098487,,,1920,triple
,traditional residual PCA+hand,global,7001,topology,balanced_accuracy,0.27576389066183293,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,global,7002,overall,balanced_accuracy,0.26147904695684593,0.2373773208566676,82118.0,11998,
,traditional residual PCA+hand,global,7002,heldout_run,balanced_accuracy,0.23383439496955352,,,2635,42
,traditional residual PCA+hand,global,7002,heldout_run,balanced_accuracy,0.25729985258643795,,,2559,57
,traditional residual PCA+hand,global,7002,heldout_run,balanced_accuracy,0.27212420464309495,,,4034,64
,traditional residual PCA+hand,global,7002,heldout_run,balanced_accuracy,0.30192434681085834,,,2770,65
,traditional residual PCA+hand,global,7002,topology,balanced_accuracy,0.20784641745694016,,,6121,single
,traditional residual PCA+hand,global,7002,topology,balanced_accuracy,0.2116635225364618,,,2764,pair
,traditional residual PCA+hand,global,7002,topology,balanced_accuracy,0.1927091940788344,,,1920,triple
,traditional residual PCA+hand,global,7002,topology,balanced_accuracy,0.22498819219280555,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,global,7003,overall,balanced_accuracy,0.23365073905272876,0.16091128429008192,82118.0,11998,
,traditional residual PCA+hand,global,7003,heldout_run,balanced_accuracy,0.18669166084308542,,,2635,42
,traditional residual PCA+hand,global,7003,heldout_run,balanced_accuracy,0.172849124452783,,,2559,57
,traditional residual PCA+hand,global,7003,heldout_run,balanced_accuracy,0.27530637623545307,,,4034,64
,traditional residual PCA+hand,global,7003,heldout_run,balanced_accuracy,0.25571183600330993,,,2770,65
,traditional residual PCA+hand,global,7003,topology,balanced_accuracy,0.14876630090303003,,,6121,single
,traditional residual PCA+hand,global,7003,topology,balanced_accuracy,0.1774496654458841,,,2764,pair
,traditional residual PCA+hand,global,7003,topology,balanced_accuracy,0.18720878716986897,,,1920,triple
,traditional residual PCA+hand,global,7003,topology,balanced_accuracy,0.2870083005693278,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,global,7004,overall,balanced_accuracy,0.24048753008039003,0.17947656488647143,82118.0,11998,
,traditional residual PCA+hand,global,7004,heldout_run,balanced_accuracy,0.2510591915494814,,,2635,42
,traditional residual PCA+hand,global,7004,heldout_run,balanced_accuracy,0.24000752702581973,,,2559,57
,traditional residual PCA+hand,global,7004,heldout_run,balanced_accuracy,0.22941330831394813,,,4034,64
,traditional residual PCA+hand,global,7004,heldout_run,balanced_accuracy,0.2514998686810641,,,2770,65
,traditional residual PCA+hand,global,7004,topology,balanced_accuracy,0.21150054952231712,,,6121,single
,traditional residual PCA+hand,global,7004,topology,balanced_accuracy,0.2200758252198283,,,2764,pair
,traditional residual PCA+hand,global,7004,topology,balanced_accuracy,0.2549055902610698,,,1920,triple
,traditional residual PCA+hand,global,7004,topology,balanced_accuracy,0.2254045237730518,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,global,7005,overall,balanced_accuracy,0.2621431829228945,0.21946077929232358,82118.0,11998,
