heldout_run,heldout_group,n_scored_events,n_synthetic_train,training_policy,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,shuffled_label_synthetic_auc
44,high_20nA,652,5600,low_current_only_source_run_heldout,46 47,0.9484816546805069,0.9489107153914523,0.09697644093308307,0.06966739746135511,0.5505116259845775
45,high_20nA,1120,5600,low_current_only_source_run_heldout,46 47,0.906569387755102,0.9172834168135555,0.12771831697588093,0.08720657110071613,0.5216275510204081
46,low_2nA,417,5600,low_current_only_source_run_heldout,47,0.9837849911559986,0.98560625386018,0.05565801512759581,0.04431091960634129,0.5524754148832772
47,low_2nA,675,1332,low_current_only_source_run_heldout,46,0.9262461719578571,0.9333672170174051,0.12261860329572045,0.08308496318740166,0.5504938530913466
48,high_20nA,1086,5600,low_current_only_source_run_heldout,46 47,0.9086306122448979,0.9209871655725905,0.12717307131490327,0.08549822603637365,0.4728030612244898
49,high_20nA,1107,5600,low_current_only_source_run_heldout,46 47,0.9069744897959183,0.9146624331442704,0.12905141648629553,0.08703605832369407,0.5712020408163265
50,high_20nA,996,5600,low_current_only_source_run_heldout,46 47,0.9221632653061224,0.9299925967008792,0.12044438429961277,0.08688103862450987,0.44694489795918363
51,high_20nA,903,5600,low_current_only_source_run_heldout,46 47,0.9148897959183673,0.9220399060154354,0.1216127895822454,0.08282148895337597,0.5161653061224489
52,high_20nA,703,5600,low_current_only_source_run_heldout,46 47,0.9409443486379214,0.9444621322229374,0.10481623136231755,0.07522555408819369,0.48776027998616517
53,high_20nA,929,5600,low_current_only_source_run_heldout,46 47,0.9207673469387755,0.9273155008847251,0.12073608112216208,0.08601488570597815,0.4894928571428571
54,high_20nA,927,5600,low_current_only_source_run_heldout,46 47,0.9301153061224489,0.935740776168638,0.1171327442716526,0.08274510026910459,0.4578397959183673
55,high_20nA,950,5600,low_current_only_source_run_heldout,46 47,0.9275602040816326,0.9385134219418946,0.11559214965450124,0.08663635310926007,0.5087255102040816
56,high_20nA,1052,5600,low_current_only_source_run_heldout,46 47,0.9211836734693878,0.928926786630874,0.120604271528063,0.08573222635971793,0.5259908163265306
57,high_20nA,1100,5600,low_current_only_source_run_heldout,46 47,0.8989887755102041,0.9040716910618278,0.13048312919886756,0.09123997395681209,0.6014622448979592
