window,method,timing_tail_frac_abs_gt5ns,timing_tail_frac_abs_gt5ns_ci95,timing_tail_delta_vs_observed,timing_tail_delta_vs_observed_ci95,q_template_shift_vs_observed,q_template_shift_vs_observed_ci95,amp_ratio_median,amp_ratio_median_ci95
s3,gbr_masked,0.7172503547503547,"[0.6019028437778438, 0.8409478021978022]",0.019268719268719283,"[-0.0015873015873015975, 0.04128394878394878]",0.024699415334039736,"[0.01881330500330586, 0.03130081304285367]",1.2889055038937858,"[1.2835613910776251, 1.2949149850725228]"
s3,mlp_masked,0.6948070323070323,"[0.5800366300366301, 0.8194712569712569]",-0.0031746031746031794,"[-0.009523809523809537, 0.0]",0.0049297520374756865,"[0.0, 0.011072596515272105]",1.0714574177609397,"[1.0, 1.146941529661119]"
s3,traditional_template,0.5749644991024302,"[0.4577556351694283, 0.669008214008214]",-0.12301713637920533,"[-0.25271123179528343, 0.005756535131535111]",0.016571697841400983,"[-0.02629884603741462, 0.07076238269190246]",1.1253661390168512,"[1.0, 1.3760984170505537]"
s4,gbr_masked,0.7140757515757515,"[0.6009143071643072, 0.830678893178893]",0.016094116094116102,"[-0.009523809523809554, 0.04090354090354093]",0.028037311587803253,"[0.01993807796714895, 0.035170460567290916]",1.2920271283266473,"[1.2833891200182566, 1.3038583014668872]"
s4,mlp_masked,0.7073833448833449,"[0.5980694980694982, 0.8328419937794937]",0.0094017094017094,"[-0.004761904761904793, 0.032967032967032996]",0.0070691391666193315,"[-0.000701848445498044, 0.017744067935507573]",1.0991515276706918,"[1.0276988335446544, 1.1936090681192193]"
s4,traditional_template,0.636178107606679,"[0.4631725417439703, 0.8062461348175632]",-0.06180352787495646,"[-0.14649054492804492, 0.006436616258044813]",0.14647021129354507,"[0.10200397160803235, 0.1815920703575372]",1.3365747367026493,"[1.0595407552208236, 1.7518732840477222]"
s5,gbr_masked,0.7156630531630531,"[0.6149660409035408, 0.8363032228657229]",0.0176814176814177,"[-0.0031746031746031794, 0.04283404283404287]",0.02426200495859857,"[0.018566320388357184, 0.030349976132156554]",1.2832503749835384,"[1.2753488573111273, 1.2896457967279062]"
s5,mlp_masked,0.7089706464706464,"[0.6089590964590964, 0.8289930555555555]",0.010989010989010997,"[0.0, 0.032967032967032996]",0.00256918502014804,"[-9.656212985539076e-05, 0.006230967367546701]",1.0581820127243995,"[1.013584138349844, 1.1087403448201951]"
s5,traditional_template,0.7052692802692803,"[0.6173168498168498, 0.8238577863577862]",0.00728764478764478,"[-0.03279172029172028, 0.04638352638352636]",0.13507073602911276,"[0.12012038461247011, 0.14874811643448085]",1.8635097488772037,"[1.6920514420193729, 2.0222910914304677]"
s6,gbr_masked,0.7059032934032933,"[0.5954517704517704, 0.8182019107019107]",0.007921657921657934,"[-0.012698412698412717, 0.03389957264957266]",0.025315633061985754,"[0.01653388728775031, 0.03335556726579354]",1.3047143757227138,"[1.2838599985664367, 1.3177982591431256]"
s6,mlp_masked,0.7196164571164572,"[0.6126720126720127, 0.8350010725010725]",0.021634821634821635,"[-0.0038610038610038533, 0.06593406593406594]",0.002118520020004729,"[-0.00027340391333558785, 0.005871265942690321]",1.0770277275281348,"[1.0191117475183693, 1.1474016703288392]"
s6,traditional_template,0.693562931062931,"[0.5825104878229878, 0.8204252466752466]",-0.004418704418704416,"[-0.019047619047619074, 0.005791505791505828]",0.00027584415182732184,"[0.0, 0.0008015038321430816]",1.0,"[1.0, 1.0]"
s7,gbr_masked,0.7048951423951423,"[0.5953638047388048, 0.8233991374616373]",0.006913506913506927,"[-0.01587301587301588, 0.033642708642708616]",0.01278614009117939,"[0.008819152672409777, 0.017409109028673646]",1.194152798401514,"[1.1820401546127197, 1.2081219674007708]"
s7,mlp_masked,0.7279873279873279,"[0.6157062419562419, 0.8486034798534798]",0.0300056925056925,"[-0.005662805662805684, 0.07486263736263736]",0.006324811161740543,"[0.002084964452722748, 0.01170855510364717]",1.1273701751480765,"[1.080217641046942, 1.1675199179489613]"
