heldout_run,stave,traditional_model,increasing,n_train
58,B4,isotonic,True,3747
58,B6,isotonic,True,3747
58,B8,isotonic,True,3747
59,B4,isotonic,True,3057
59,B6,isotonic,True,3057
59,B8,isotonic,True,3057
60,B4,isotonic,True,3012
60,B6,isotonic,True,3012
60,B8,isotonic,True,3012
61,B4,isotonic,True,2887
61,B6,isotonic,True,2887
61,B8,isotonic,True,2887
62,B4,isotonic,True,3013
62,B6,isotonic,True,3013
62,B8,isotonic,True,3013
63,B4,isotonic,True,3450
63,B6,isotonic,True,3450
63,B8,isotonic,True,3450
65,B4,isotonic,True,3754
65,B6,isotonic,True,3754
65,B8,isotonic,True,3754
