alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals,heldout_run
0.01,1.0,0,2.09856667780847,2997,58
0.01,1.0,1,1.3744542267691795,3534,58
0.01,1.0,2,1.4300679865212464,4710,58
0.01,1.0,-1,1.6343629636996322,0,58
0.01,10.0,0,2.106434547777058,2997,58
0.01,10.0,1,1.3886116385150022,3534,58
0.01,10.0,2,1.4380631797425178,4710,58
0.01,10.0,-1,1.644369788678193,0,58
0.01,100.0,0,2.1062560031231587,2997,58
0.01,100.0,1,1.3865326578724206,3534,58
0.01,100.0,2,1.4377797277620363,4710,58
0.01,100.0,-1,1.6435227962525385,0,58
0.01,1000.0,0,2.1059632781934403,2997,58
0.01,1000.0,1,1.3785301180269571,3534,58
0.01,1000.0,2,1.4190538990192167,4710,58
0.01,1000.0,-1,1.6345157650798712,0,58
0.01,10000.0,0,2.107992860357569,2997,58
0.01,10000.0,1,1.366088388104498,3534,58
0.01,10000.0,2,1.3889021443793048,4710,58
0.01,10000.0,-1,1.6209944642804572,0,58
0.1,1.0,0,2.0243387425731094,2997,58
0.1,1.0,1,1.3171581772542487,3534,58
0.1,1.0,2,1.365485645497955,4710,58
0.1,1.0,-1,1.5689941884417709,0,58
0.1,10.0,0,2.0980428314410613,2997,58
0.1,10.0,1,1.3793903901705324,3534,58
0.1,10.0,2,1.4232276928603393,4710,58
0.1,10.0,-1,1.633553638157311,0,58
0.1,100.0,0,2.1048107002503644,2997,58
0.1,100.0,1,1.3903974925666924,3534,58
0.1,100.0,2,1.434650849953462,4710,58
0.1,100.0,-1,1.6432863475901731,0,58
0.1,1000.0,0,2.1067122276135994,2997,58
0.1,1000.0,1,1.3779098744960456,3534,58
0.1,1000.0,2,1.416819198529506,4710,58
0.1,1000.0,-1,1.633813766879717,0,58
0.1,10000.0,0,2.107915182877334,2997,58
0.1,10000.0,1,1.369245821517731,3534,58
0.1,10000.0,2,1.3865408652778393,4710,58
0.1,10000.0,-1,1.6212339565576348,0,58
1.0,1.0,0,1.4356557097799159,2997,58
1.0,1.0,1,1.022097477048686,3534,58
1.0,1.0,2,1.0554821823379543,4710,58
1.0,1.0,-1,1.1710784563888519,0,58
1.0,10.0,0,2.0210380982168346,2997,58
1.0,10.0,1,1.3206999663746046,3534,58
1.0,10.0,2,1.4055542906695808,4710,58
