stratum,taxon,low_n,high_n,match_weight_raw,low_downstream_fraction,high_downstream_fraction,downstream_high_minus_low,odds_ratio,match_weight
baseline_excursion|amp_4_7k|lowering_large|nonsaturated|B2,baseline_excursion,12,542,12,0.0,0.02952029520295203,0.02952029520295203,0.7834757834757835,0.0021145374449339205
novel_early_pretrigger|amp_1_1p5k|lowering_large|nonsaturated|B2,novel_early_pretrigger,53,2298,53,0.0,0.0073977371627502175,0.0073977371627502175,0.8207319745781285,0.00933920704845815
novel_early_pretrigger|amp_1p5_2p5k|lowering_large|nonsaturated|B2,novel_early_pretrigger,45,1821,45,0.022222222222222223,0.018671059857221308,-0.003551162365000915,0.5725874125874125,0.007929515418502203
unassigned_common|amp_4_7k|lowering_none|nonsaturated|B2,unassigned_common,1922,79546,1922,0.005723204994797087,0.00979307570462374,0.004069870709826653,1.6449227983843482,0.3386784140969163
unassigned_common|amp_7_12k|lowering_none|nonsaturated|B2,unassigned_common,1336,94657,1336,0.01347305389221557,0.015751608438889887,0.0022785545466743173,1.1409638454606335,0.23541850220264318
unassigned_common|amp_2p5_4k|lowering_none|nonsaturated|B2,unassigned_common,1159,20688,1159,0.007765314926660914,0.01865815931941222,0.010892844392751306,2.3054886940291253,0.20422907488986783
unassigned_common|amp_1p5_2p5k|lowering_none|nonsaturated|B2,unassigned_common,472,7526,472,0.006355932203389831,0.005314908317831517,-0.0010410238855583136,0.7256776483384377,0.08317180616740089
unassigned_common|amp_1_1p5k|lowering_none|nonsaturated|B2,unassigned_common,230,3575,230,0.008695652173913044,0.0005594405594405594,-0.008136211614472484,0.06394291311039597,0.04052863436123348
unassigned_common|amp_2p5_4k|lowering_none|saturation_proxy|B2,unassigned_common,111,1806,111,0.0,0.01716500553709856,0.01716500553709856,3.9563503238524356,0.019559471365638768
unassigned_common|amp_4_7k|lowering_none|saturation_proxy|B2,unassigned_common,64,2559,64,0.0,0.011332551778038297,0.011332551778038297,1.5038529934795495,0.011277533039647578
unassigned_common|amp_4_7k|lowering_large|nonsaturated|B2,unassigned_common,40,2938,40,0.05,0.07556160653505786,0.02556160653505786,1.2613657279587707,0.007048458149779736
unassigned_common|amp_1p5_2p5k|lowering_none|saturation_proxy|B2,unassigned_common,39,548,39,0.0,0.005474452554744526,0.005474452554744526,0.5068744271310724,0.006872246696035243
unassigned_common|amp_7_12k|lowering_none|saturation_proxy|B2,unassigned_common,34,2185,34,0.0,0.015560640732265447,0.015560640732265447,1.1064373692772485,0.0059911894273127755
unassigned_common|amp_2p5_4k|lowering_large|nonsaturated|B2,unassigned_common,26,1581,26,0.07692307692307693,0.05502846299810247,-0.02189461392497446,0.5737704918032787,0.0045814977973568285
unassigned_common|amp_7_12k|lowering_large|nonsaturated|B2,unassigned_common,25,1252,25,0.12,0.22124600638977635,0.10124600638977635,1.8287325181225744,0.004405286343612335
unassigned_common|amp_4_7k|lowering_mild|nonsaturated|B2,unassigned_common,23,1521,23,0.043478260869565216,0.0381328073635766,-0.005345453505988619,0.5995900239152716,0.004052863436123348
unassigned_common|amp_1p5_2p5k|lowering_mild|nonsaturated|B2,unassigned_common,19,588,19,0.0,0.00510204081632653,0.00510204081632653,0.23313407344150297,0.0033480176211453743
unassigned_common|amp_1_1p5k|lowering_none|saturation_proxy|B2,unassigned_common,18,330,18,0.0,0.0,0.0,0.05597579425113464,0.003171806167400881
unassigned_common|amp_1p5_2p5k|lowering_large|nonsaturated|B2,unassigned_common,18,943,18,0.05555555555555555,0.03499469777306469,-0.020560857782490866,0.4292513271096467,0.003171806167400881
unassigned_common|amp_1_1p5k|lowering_mild|nonsaturated|B2,unassigned_common,17,399,17,0.0,0.002506265664160401,0.002506265664160401,0.13174404015056462,0.0029955947136563878
unassigned_common|amp_2p5_4k|lowering_mild|nonsaturated|B2,unassigned_common,12,882,12,0.08333333333333333,0.035147392290249435,-0.048185941043083894,0.28361714621256606,0.0021145374449339205
