method,base_method,drift_order,mean_cv_sigma68_ns,folds,total_pair_residuals,heldout_run,selector
s02d_binned_timewalk_drift0,s02b_template,0,3.084977709413715,3,11241,58,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,3.1017994939625275,3,11241,58,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,3.1713525325678518,3,11241,58,median_first4
s02d_global_timewalk_drift0,template_phase,0,1.7507014085806671,3,11241,58,median_first4
s02d_global_timewalk_drift1,template_phase,1,1.7546971701463894,3,11241,58,median_first4
s02d_global_timewalk_drift2,template_phase,2,1.9046712394021987,3,11241,58,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,3.2167699820444313,3,9171,59,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,3.28358033733833,3,9171,59,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,3.3854458247997226,3,9171,59,median_first4
s02d_global_timewalk_drift1,template_phase,1,1.6342199985155306,3,9171,59,median_first4
s02d_global_timewalk_drift2,template_phase,2,1.6967739367429895,3,9171,59,median_first4
s02d_global_timewalk_drift0,template_phase,0,1.7597684880736715,3,9171,59,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,2.545029136692311,3,9036,60,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,2.5579295470856858,3,9036,60,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,2.588842046637463,3,9036,60,median_first4
s02d_global_timewalk_drift1,template_phase,1,1.7305368473343927,3,9036,60,median_first4
s02d_global_timewalk_drift0,template_phase,0,1.7339117936218236,3,9036,60,median_first4
s02d_global_timewalk_drift2,template_phase,2,1.7640885378939888,3,9036,60,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,2.938995237812835,3,8661,61,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,2.9571354940103696,3,8661,61,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,2.9941349714337853,3,8661,61,median_first4
s02d_global_timewalk_drift0,template_phase,0,1.6870420306941358,3,8661,61,median_first4
s02d_global_timewalk_drift1,template_phase,1,1.7055600206562846,3,8661,61,median_first4
s02d_global_timewalk_drift2,template_phase,2,1.72763457000129,3,8661,61,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,2.8937626350488768,3,9039,62,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,2.9328286807390924,3,9039,62,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,3.013377859279157,3,9039,62,median_first4
s02d_global_timewalk_drift0,template_phase,0,1.7296391527652377,3,9039,62,median_first4
s02d_global_timewalk_drift1,template_phase,1,1.7844219002819734,3,9039,62,median_first4
s02d_global_timewalk_drift2,template_phase,2,1.8999196971145256,3,9039,62,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,2.898877135819949,3,10350,63,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,2.9225088603162344,3,10350,63,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,2.971099142240521,3,10350,63,median_first4
s02d_global_timewalk_drift0,template_phase,0,1.739880718241281,3,10350,63,median_first4
s02d_global_timewalk_drift1,template_phase,1,1.7758431133447168,3,10350,63,median_first4
s02d_global_timewalk_drift2,template_phase,2,1.8307746583884252,3,10350,63,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,3.102471137745423,3,11262,65,median_first4
s02d_binned_timewalk_drift1,s02b_template,1,3.107712652433483,3,11262,65,median_first4
s02d_binned_timewalk_drift2,s02b_template,2,3.2092274172560487,3,11262,65,median_first4
s02d_global_timewalk_drift0,template_phase,0,1.7465451989461027,3,11262,65,median_first4
s02d_global_timewalk_drift1,template_phase,1,1.7599345287549604,3,11262,65,median_first4
s02d_global_timewalk_drift2,template_phase,2,1.979538038588071,3,11262,65,median_first4
s02d_binned_timewalk_drift0,s02b_template,0,4.595146216099387,3,13206,58,dynamic_range
s02d_binned_timewalk_drift1,s02b_template,1,4.663429253251355,3,13206,58,dynamic_range
s02d_binned_timewalk_drift2,s02b_template,2,5.1565216553344895,3,13206,58,dynamic_range
s02d_global_timewalk_drift0,template_phase,0,1.9295738550918242,3,13206,58,dynamic_range
s02d_global_timewalk_drift1,template_phase,1,1.9375364344553379,3,13206,58,dynamic_range
s02d_global_timewalk_drift2,template_phase,2,2.0738626328237433,3,13206,58,dynamic_range
s02d_binned_timewalk_drift0,s02b_template,0,4.591792643190601,3,10776,59,dynamic_range
s02d_binned_timewalk_drift1,s02b_template,1,4.6922440365297655,3,10776,59,dynamic_range
s02d_binned_timewalk_drift2,s02b_template,2,5.458467984278506,3,10776,59,dynamic_range
s02d_global_timewalk_drift1,template_phase,1,1.899603339013815,3,10776,59,dynamic_range
s02d_global_timewalk_drift2,template_phase,2,1.9336800662447875,3,10776,59,dynamic_range
s02d_global_timewalk_drift0,template_phase,0,1.9629205853322809,3,10776,59,dynamic_range
s02d_binned_timewalk_drift0,s02b_template,0,4.727145308227279,3,10611,60,dynamic_range
s02d_binned_timewalk_drift1,s02b_template,1,4.744127907085264,3,10611,60,dynamic_range
s02d_binned_timewalk_drift2,s02b_template,2,4.82552573271082,3,10611,60,dynamic_range
s02d_global_timewalk_drift1,template_phase,1,1.8716377423565893,3,10611,60,dynamic_range
s02d_global_timewalk_drift0,template_phase,0,1.8779906052369573,3,10611,60,dynamic_range
s02d_global_timewalk_drift2,template_phase,2,1.989666861292626,3,10611,60,dynamic_range
