alpha,fold,sigma68_ns,n_pair_residuals,heldout_run,selector
0.01,0,2.317903300086894,2997,58,median_first4
0.01,1,1.822081181792579,3534,58,median_first4
0.01,2,1.9737524841870246,4710,58,median_first4
0.01,-1,2.037912322022166,0,58,median_first4
0.1,0,2.316836326189676,2997,58,median_first4
0.1,1,1.822183526822591,3534,58,median_first4
0.1,2,1.9749828674135768,4710,58,median_first4
0.1,-1,2.0380009068086147,0,58,median_first4
1.0,0,2.3122373002625762,2997,58,median_first4
1.0,1,1.8220973724501812,3534,58,median_first4
1.0,2,1.9709296084621348,4710,58,median_first4
1.0,-1,2.0350880937249642,0,58,median_first4
10.0,0,2.282656921459415,2997,58,median_first4
10.0,1,1.8139170730178291,3534,58,median_first4
10.0,2,1.9544873107479026,4710,58,median_first4
10.0,-1,2.017020435075049,0,58,median_first4
100.0,0,2.2032395577110995,2997,58,median_first4
100.0,1,1.7975657564404968,3534,58,median_first4
100.0,2,1.8924024085210334,4710,58,median_first4
100.0,-1,1.96440257422421,0,58,median_first4
0.01,0,2.387664701318771,2799,59,median_first4
0.01,1,1.8539900457305334,2841,59,median_first4
0.01,2,1.9081198147405805,3531,59,median_first4
0.01,-1,2.0499248539299617,0,59,median_first4
0.1,0,2.387720201626306,2799,59,median_first4
0.1,1,1.8542186370133604,2841,59,median_first4
0.1,2,1.9073511867285047,3531,59,median_first4
0.1,-1,2.0497633417893906,0,59,median_first4
1.0,0,2.3894069407360177,2799,59,median_first4
1.0,1,1.8510657441266247,2841,59,median_first4
1.0,2,1.9077026729946236,3531,59,median_first4
1.0,-1,2.0493917859524218,0,59,median_first4
10.0,0,2.389768268036413,2799,59,median_first4
10.0,1,1.8408168460220151,2841,59,median_first4
10.0,2,1.89722499622759,3531,59,median_first4
10.0,-1,2.0426033700953394,0,59,median_first4
100.0,0,2.3451061766157046,2799,59,median_first4
100.0,1,1.7872785729383704,2841,59,median_first4
100.0,2,1.8338280263561444,3531,59,median_first4
100.0,-1,1.9887375919700732,0,59,median_first4
0.01,0,2.1624626424591424,2799,60,median_first4
0.01,1,1.8311366052528608,2838,60,median_first4
0.01,2,1.84289646465386,3399,60,median_first4
0.01,-1,1.9454985707886212,0,60,median_first4
