run,median_pulses,dynamic_pulses,dynamic_only_pulses,median_only_pulses,median_B2,dynamic_B2,median_B4,dynamic_B4,median_B6,dynamic_B6,median_B8,dynamic_B8
31,27871,30065,2194,0,26948,28697,592,887,237,351,94,130
32,28240,30641,2401,0,27316,29310,605,887,224,315,95,129
33,48737,49818,1081,0,47724,48315,559,871,318,439,136,193
34,34118,34760,642,0,33373,33710,412,618,244,313,89,119
35,11667,13793,2126,0,11029,12856,403,605,163,228,72,104
36,10391,12107,1716,0,9847,11305,340,518,143,195,61,89
37,24537,29337,4800,0,22956,26941,997,1546,423,615,161,235
39,14218,17229,3011,0,13174,15719,663,982,273,381,108,147
40,14708,18041,3333,0,13575,16265,707,1126,310,473,116,177
41,16146,19428,3282,0,14963,17690,758,1130,298,418,127,190
42,18112,21290,3178,0,16977,19571,711,1109,307,438,117,172
44,2038,2463,425,0,1884,2215,93,151,44,67,17,30
45,24333,28993,4660,0,22786,26619,969,1501,401,606,177,267
46,687,736,49,0,675,722,7,9,3,3,2,2
47,5276,5687,411,0,5116,5489,85,108,50,60,25,30
48,14000,17003,3003,0,13044,15567,599,915,245,361,112,160
49,14815,17875,3060,0,13779,16311,640,987,281,408,115,169
50,35217,36830,1613,0,34088,35078,659,1076,330,476,140,200
51,14740,15774,1034,0,14200,14970,303,470,177,242,60,92
52,7152,7668,516,0,6893,7281,148,227,76,108,35,52
53,32200,33603,1403,0,31225,32056,559,921,296,440,120,186
54,30440,31655,1215,0,29493,30223,536,842,298,421,113,169
55,17387,18686,1299,0,16735,17656,372,612,199,293,81,125
56,40148,42084,1936,0,38730,39971,825,1282,421,584,172,247
57,13833,16792,2959,0,12774,15212,656,985,273,415,130,180
58,16781,17533,752,0,15791,16137,591,865,285,379,114,152
59,21377,23852,2475,0,13565,14907,4527,5275,2366,2634,919,1036
60,17029,19397,2368,0,9873,11081,4040,4762,2189,2489,927,1065
61,18965,21438,2473,0,11015,12254,4401,5182,2490,2807,1059,1195
62,19089,21438,2349,0,11635,12911,4183,4884,2342,2603,929,1040
63,18817,20360,1543,0,14566,15434,2645,3115,1153,1290,453,521
64,14630,15860,1230,0,11907,12660,1689,2029,763,857,271,314
65,13038,14137,1099,0,11768,12472,842,1115,323,417,105,133
