method,alpha,fold,sigma68_ns,n_pair_residuals,shuffled_target,heldout_run
s16e_ml_proxy,0.01,0,2.039484429728192,2997,False,58
s16e_ml_proxy,0.01,1,1.399886622302612,3534,False,58
s16e_ml_proxy,0.01,2,1.4699501387166722,4710,False,58
s16e_ml_proxy,0.01,-1,1.6364403969158257,0,False,58
s16e_ml_proxy,0.1,0,2.0397111339279386,2997,False,58
s16e_ml_proxy,0.1,1,1.396478602851385,3534,False,58
s16e_ml_proxy,0.1,2,1.468544695024181,4710,False,58
s16e_ml_proxy,0.1,-1,1.6349114772678348,0,False,58
s16e_ml_proxy,1.0,0,2.042143214188823,2997,False,58
s16e_ml_proxy,1.0,1,1.3942988933967744,3534,False,58
s16e_ml_proxy,1.0,2,1.4632968702338642,4710,False,58
s16e_ml_proxy,1.0,-1,1.6332463259398207,0,False,58
s16e_ml_proxy,10.0,0,2.0280824871729477,2997,False,58
s16e_ml_proxy,10.0,1,1.3630054225208088,3534,False,58
s16e_ml_proxy,10.0,2,1.4530937441854956,4710,False,58
s16e_ml_proxy,10.0,-1,1.6147272179597507,0,False,58
s16e_ml_proxy,100.0,0,1.978904988917254,2997,False,58
s16e_ml_proxy,100.0,1,1.3051662618265354,3534,False,58
s16e_ml_proxy,100.0,2,1.4055453169074914,4710,False,58
s16e_ml_proxy,100.0,-1,1.5632055225504269,0,False,58
s16e_ml_proxy,0.01,0,2.0502435030062323,2799,False,59
s16e_ml_proxy,0.01,1,1.402421917180488,2841,False,59
s16e_ml_proxy,0.01,2,1.4779562051444928,3531,False,59
s16e_ml_proxy,0.01,-1,1.643540541777071,0,False,59
s16e_ml_proxy,0.1,0,2.0512262120768416,2799,False,59
s16e_ml_proxy,0.1,1,1.4047755758627751,2841,False,59
s16e_ml_proxy,0.1,2,1.4780710999598141,3531,False,59
s16e_ml_proxy,0.1,-1,1.6446909626331436,0,False,59
s16e_ml_proxy,1.0,0,2.0499280169513345,2799,False,59
s16e_ml_proxy,1.0,1,1.392085987879129,2841,False,59
s16e_ml_proxy,1.0,2,1.4719503782019805,3531,False,59
s16e_ml_proxy,1.0,-1,1.6379881276774813,0,False,59
s16e_ml_proxy,10.0,0,2.05051268698404,2799,False,59
s16e_ml_proxy,10.0,1,1.3676861906435263,2841,False,59
s16e_ml_proxy,10.0,2,1.451962351255706,3531,False,59
s16e_ml_proxy,10.0,-1,1.6233870762944242,0,False,59
s16e_ml_proxy,100.0,0,2.0053070030992566,2799,False,59
s16e_ml_proxy,100.0,1,1.3197036283818495,2841,False,59
s16e_ml_proxy,100.0,2,1.390966053152325,3531,False,59
s16e_ml_proxy,100.0,-1,1.5719922282111438,0,False,59
s16e_ml_proxy,0.01,0,2.0638526175862237,2799,False,60
s16e_ml_proxy,0.01,1,1.4026041057001608,2838,False,60
s16e_ml_proxy,0.01,2,1.4459400656195145,3399,False,60
s16e_ml_proxy,0.01,-1,1.6374655963019664,0,False,60
s16e_ml_proxy,0.1,0,2.0583115472572477,2799,False,60
s16e_ml_proxy,0.1,1,1.4046230698634046,2838,False,60
s16e_ml_proxy,0.1,2,1.4381526196171783,3399,False,60
s16e_ml_proxy,0.1,-1,1.6336957455792769,0,False,60
s16e_ml_proxy,1.0,0,2.057784783232138,2799,False,60
s16e_ml_proxy,1.0,1,1.402670888400386,2838,False,60
s16e_ml_proxy,1.0,2,1.4306752416524926,3399,False,60
s16e_ml_proxy,1.0,-1,1.6303769710950056,0,False,60
s16e_ml_proxy,10.0,0,2.0448277997402453,2799,False,60
s16e_ml_proxy,10.0,1,1.3806676642511588,2838,False,60
s16e_ml_proxy,10.0,2,1.4110410379308178,3399,False,60
s16e_ml_proxy,10.0,-1,1.612178833974074,0,False,60
s16e_ml_proxy,100.0,0,2.0121165449066845,2799,False,60
s16e_ml_proxy,100.0,1,1.3131351502877484,2838,False,60
s16e_ml_proxy,100.0,2,1.3553836648544109,3399,False,60
s16e_ml_proxy,100.0,-1,1.560211786682948,0,False,60
s16e_ml_proxy,0.01,0,1.51616131176787,2622,False,61
s16e_ml_proxy,0.01,1,1.6307100692999343,2640,False,61
s16e_ml_proxy,0.01,2,1.645318204030563,3399,False,61
s16e_ml_proxy,0.01,-1,1.5973965283661224,0,False,61
s16e_ml_proxy,0.1,0,1.5139473727187978,2622,False,61
s16e_ml_proxy,0.1,1,1.6315127468520803,2640,False,61
s16e_ml_proxy,0.1,2,1.6441691550559063,3399,False,61
s16e_ml_proxy,0.1,-1,1.5965430915422614,0,False,61
s16e_ml_proxy,1.0,0,1.5102150545354178,2622,False,61
s16e_ml_proxy,1.0,1,1.6285275143701914,2640,False,61
s16e_ml_proxy,1.0,2,1.6266319690959161,3399,False,61
s16e_ml_proxy,1.0,-1,1.588458179333842,0,False,61
s16e_ml_proxy,10.0,0,1.489142076855549,2622,False,61
s16e_ml_proxy,10.0,1,1.614226300729636,2640,False,61
s16e_ml_proxy,10.0,2,1.6008116817090783,3399,False,61
s16e_ml_proxy,10.0,-1,1.5680600197647543,0,False,61
s16e_ml_proxy,100.0,0,1.4126597027569177,2622,False,61
s16e_ml_proxy,100.0,1,1.5492783132644248,2640,False,61
s16e_ml_proxy,100.0,2,1.5486437205708792,3399,False,61
s16e_ml_proxy,100.0,-1,1.5035272455307407,0,False,61
s16e_ml_proxy,0.01,0,2.0912807848650665,2799,False,62
s16e_ml_proxy,0.01,1,1.3639733895975508,2841,False,62
s16e_ml_proxy,0.01,2,1.4796464559839795,3399,False,62
s16e_ml_proxy,0.01,-1,1.6449668768155323,0,False,62
s16e_ml_proxy,0.1,0,2.0912237026606504,2799,False,62
s16e_ml_proxy,0.1,1,1.3610253129461625,2841,False,62
s16e_ml_proxy,0.1,2,1.479143735891041,3399,False,62
s16e_ml_proxy,0.1,-1,1.643797583832618,0,False,62
