heldout_runs,train_runs,n_test_pairs,traditional_robust_width_ns,ml_full_robust_width_ns,ml_full_alpha,ml_no_peak_robust_width_ns,ml_no_peak_alpha,ml_no_tail_robust_width_ns,ml_no_tail_alpha,ml_no_sample_iv_indicator_robust_width_ns,ml_no_sample_iv_indicator_alpha
"58,59","60,61,62,63,64,65",36,1.3285411568621477,0.9652897752350909,0.01,0.9855163275112785,0.01,1.0976223192550312,0.01,0.9609835407309613,0.01
"58,60","59,61,62,63,64,65",36,1.486505303505639,1.0203116967607262,0.01,1.1812728398491332,0.1,1.1641380611072187,0.1,1.0203092171329469,0.01
"58,61","59,60,62,63,64,65",43,1.526151333268568,1.1976908059178604,0.1,1.2294523337881027,0.1,1.3737689176492283,0.1,1.2010859682620136,0.1
"58,62","59,60,61,63,64,65",32,1.4219272221656816,1.075005615648284,0.1,1.1664416310189303,0.1,1.3448060159459785,0.1,1.0753784441188465,0.1
"58,63","59,60,61,62,64,65",53,1.3526447650132791,1.2543196141840478,0.1,1.2642154875499076,0.1,1.3745372562287037,0.1,1.2374020417951619,0.1
"58,65","59,60,61,62,63,64",52,1.6037581789140396,1.3761459891744665,0.1,1.325431983522945,0.1,1.634646152353258,0.1,1.3770769025984833,0.1
"59,60","58,61,62,63,64,65",22,1.1653609447185376,1.0229221976125396,0.01,1.0663342154609685,0.01,0.8995308188858315,0.01,1.0226499336664765,0.01
"59,61","58,60,62,63,64,65",29,1.483540815814919,1.1841209553334757,0.01,1.3611064656011895,0.01,1.180377441382526,0.01,1.1865513186782632,0.01
"59,62","58,60,61,63,64,65",18,1.1465151764689758,1.0880085786542943,0.1,1.1850119181484493,0.1,0.911901288976128,0.1,1.0902133331920898,0.1
"59,63","58,60,61,62,64,65",39,1.4079172196457799,1.2171558419546145,0.01,1.2018036563064365,0.01,1.3347756800149182,0.1,1.2110946817424486,0.01
"59,65","58,60,61,62,63,64",38,1.7158379678076185,1.3783829245289323,0.01,1.308506454574249,0.01,1.4204903620183718,0.01,1.3775056223768942,0.01
"60,61","58,59,62,63,64,65",29,1.3929514470563134,1.201065606967508,0.01,1.2769298430777596,0.1,1.2833584661450699,0.1,1.1945649427854006,0.01
"60,62","58,59,61,63,64,65",18,1.3289971155787157,0.8347913211930924,0.01,1.094162214564186,0.01,1.0015050673465167,0.1,0.8340206377546233,0.01
"60,63","58,59,61,62,64,65",39,1.557902944657846,1.2555728374538269,0.01,1.3126683715477272,0.1,1.3894950578494218,0.1,1.256282817099341,0.01
"60,65","58,59,61,62,63,64",38,1.495247402731831,1.4039294792249957,0.01,1.2920528052910283,0.1,1.5563015811241083,0.1,1.4037898854899915,0.01
"61,62","58,59,60,63,64,65",25,1.5257500475423387,1.217633183858819,0.1,1.4580600908027348,0.1,1.304101412058877,0.1,1.2197393144508308,0.1
"61,63","58,59,60,62,64,65",46,1.5584586029156184,1.4392238571202731,0.1,1.4622257584302938,0.1,1.5599510508297163,0.1,1.4249384418171795,0.1
"61,65","58,59,60,62,63,64",45,1.802858749813136,1.4018552969879365,0.1,1.3708378846735183,0.1,1.5601840238295672,0.01,1.4091295165805917,0.1
"62,63","58,59,60,61,64,65",35,1.5526464089308571,1.3381101891915153,0.1,1.306262797204206,0.1,1.467604518948868,0.1,1.3415759839386618,0.1
"62,65","58,59,60,61,63,64",34,1.7603291398698677,1.4973261324345852,0.1,1.4569605360360767,0.1,1.672915116694568,0.1,1.500279201588627,0.1
"63,65","58,59,60,61,62,64",55,1.6425749673794412,1.3716700079711983,0.1,1.3590390169784285,0.1,1.542186577493207,0.1,1.3806040227871386,0.1
