run,sampled_events,sampled_quiet_fraction,ml_mean_quiet_probability,ml_p95_quiet_probability
12,1000,0.081,0.3668527847809,0.4940362044946887
13,2618,0.10809778456837281,0.37486863490447575,0.5094341863403615
14,1000,0.089,0.38554144638148763,0.5290053272383107
15,5000,0.095,0.3780049437251453,0.5122671289122397
16,1000,0.109,0.3783541500715348,0.5168343432365902
17,1000,0.095,0.4312757772476834,0.5639615392980906
18,3023,0.1184254052265961,0.4237587236301344,0.5597305228530159
19,3000,0.114,0.29245947232180874,0.5460572964354861
20,3000,0.13666666666666666,0.21643279998543552,0.5077211273468492
23,1000,0.373,0.29660339704755556,0.5369565781248609
24,1000,0.383,0.29379383680481086,0.5241850133085063
25,1000,0.466,0.4964858848043736,0.7725676849170762
26,3000,0.37033333333333335,0.4993260965695302,0.7684733220706512
27,2000,0.361,0.4963481805923787,0.7680209163755528
28,1000,0.318,0.31665544118246386,0.5474113369424016
29,1667,0.4379124175164967,0.337217810734576,0.5512924182616648
30,1000,0.326,0.3181849438747988,0.5403498094571687
31,2000,0.278,0.3063519877067383,0.5424972947972918
32,2000,0.2795,0.3126618734407791,0.5478150466347119
33,3000,0.13,0.38632309937841053,0.5802019866147444
34,2000,0.1295,0.3739561668691846,0.5804285931625665
35,2000,0.486,0.3850998878545242,0.5962638791895645
36,1000,0.47,0.379537547587429,0.5889396886563574
37,2426,0.45383347073371805,0.37685136032823957,0.5938170729319661
39,2000,0.476,0.37156314772752275,0.5949189086573109
40,2000,0.525,0.3902447186876123,0.5990626557358626
41,2000,0.466,0.3824621044303582,0.6034600743305696
42,2000,0.435,0.3712526967577439,0.5920528073411985
43,11,0.5454545454545454,0.47203201722180166,0.6354217180331163
44,1000,0.486,0.3840625067223377,0.597811861025577
45,2000,0.432,0.375840990419732,0.5970207166622339
46,1000,0.479,0.3800690705473105,0.5941093932329887
47,1000,0.477,0.3822068983258381,0.5863450316566494
48,2000,0.491,0.38259206914044996,0.5963677032882158
49,2000,0.4965,0.38557950578416106,0.5980356005410221
50,2000,0.183,0.3214337828114667,0.5657040888281888
51,1000,0.24,0.3256776139534788,0.5782277289757096
52,1000,0.232,0.32550750813091417,0.5813502795145428
53,2000,0.1645,0.3469637783355773,0.5785928015349836
54,2000,0.1595,0.3474604881233954,0.5714051614092689
55,1000,0.235,0.3376431631345542,0.5866229484883271
56,3000,0.18433333333333332,0.3189130918033379,0.5776837628319843
57,2000,0.4955,0.3778161147960762,0.5943630276648423
58,2000,0.485,0.43935635874554224,0.5995979710407191
59,2000,0.606,0.39350537967702154,0.583141962358922
60,2000,0.672,0.4097052296307876,0.5898187952146816
61,2000,0.6355,0.41851966582975325,0.5923848281179296
62,2000,0.626,0.4060026610355705,0.5909659492282632
63,2000,0.5475,0.3937129849478081,0.5802661803876302
64,2000,0.6345,0.43263043157709813,0.5966002874034224
65,2000,0.635,0.4206497418391072,0.5910542972400092
