run,event_id,pair,method,family,residual_ns,heldout_run
58,58:391631:10103:2692,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,3.0775885298178594,58
58,58:391631:10103:2692,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.3726652264446955,58
58,58:391631:10103:2692,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-1.704923303373164,58
58,58:391841:10300:2900,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.0603945743508376,58
58,58:391841:10300:2900,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.5439489523769936,58
58,58:391841:10300:2900,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.516445621973844,58
58,58:392066:10514:3123,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,4.122821886912234,58
58,58:392066:10514:3123,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,4.760627541093861,58
58,58:392066:10514:3123,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.6378056541816264,58
58,58:392204:10642:3261,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,3.1855064833030298,58
58,58:392204:10642:3261,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.0386147320008519,58
58,58:392204:10642:3261,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-2.146891751302178,58
58,58:392294:10722:3348,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,4.22548922884944,58
58,58:392294:10722:3348,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,3.0888192970323445,58
58,58:392294:10722:3348,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-1.1366699318170959,58
58,58:392636:11042:3687,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,0.6818938235272469,58
58,58:392636:11042:3687,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.1066158641889103,58
58,58:392636:11042:3687,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.4247220406616634,58
58,58:393248:11615:4294,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.0675545915499782,58
58,58:393248:11615:4294,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.8108179598808931,58
58,58:393248:11615:4294,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.2567366316690851,58
58,58:394656:12923:5698,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.7548504794865636,58
58,58:394656:12923:5698,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.0804505058357492,58
58,58:394656:12923:5698,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-2.835300985322313,58
58,58:394684:12945:5726,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.094915195234833,58
58,58:394684:12945:5726,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.084517285204541,58
58,58:394684:12945:5726,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.010397910030292223,58
58,58:394786:13037:5828,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.0727422834202684,58
58,58:394786:13037:5828,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.9185312460248838,58
58,58:394786:13037:5828,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.15421103739538466,58
58,58:394965:13201:6007,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.0688024093315676,58
58,58:394965:13201:6007,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.3015766168154315,58
58,58:394965:13201:6007,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,1.232774207483864,58
58,58:395467:13673:6509,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,3.2522538466471147,58
58,58:395467:13673:6509,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,3.748020861640555,58
58,58:395467:13673:6509,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.4957670149934401,58
58,58:396978:15063:8018,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.6142628625947921,58
58,58:396978:15063:8018,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.42989412764544,58
58,58:396978:15063:8018,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.18436873494935213,58
58,58:398418:42:9453,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.022343109138042,58
58,58:398418:42:9453,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,0.7186046245711637,58
58,58:398418:42:9453,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-1.3037384845668782,58
58,58:398580:196:9615,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.2365702087077466,58
58,58:398580:196:9615,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.3064804847646627,58
58,58:398580:196:9615,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.06991027605691613,58
58,58:399270:859:10304,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.891819602151557,58
58,58:399270:859:10304,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.093534819706619,58
