run,pair,n_pairs,high_n,low_n,high_tail_fraction,low_tail_fraction,high_sigma68_ns,low_sigma68_ns,median_max_pretrigger_abs_adc_high,median_max_pretrigger_abs_adc_low,median_max_late_abs_adc_high,median_max_late_abs_adc_low,median_max_tail_area_frac_high,median_max_tail_area_frac_low
54,B4-B6,50,1,49,0.0,0.0,0.0,1.468280254357846,1656.0,21.5,1320.5,1706.0,0.41225316455696204,0.45351029881055993
54,B4-B8,50,1,49,0.0,0.02040816326530612,0.0,1.7762253186599954,2468.0,19.0,1320.5,2929.0,0.6337150127226463,0.4736361561287377
54,B6-B8,50,1,49,0.0,0.04081632653061224,0.0,1.3798462618733454,2468.0,17.0,1207.0,2937.5,0.6337150127226463,0.48682066519697115
55,B4-B6,44,1,43,0.0,0.0,0.0,1.063564449599233,2248.5,14.5,743.5,2070.5,0.590808315292522,0.4887423360296769
55,B4-B8,44,1,43,0.0,0.0,0.0,1.8689960997219104,1409.5,18.0,743.5,3190.5,0.5122559942953917,0.5232623005690059
55,B6-B8,44,0,44,,0.0,,1.3991674655875195,,15.5,,3099.75,,0.5013607554894163
56,B4-B6,92,4,88,0.25,0.011363636363636364,10.29324157925923,1.3890866944195472,1356.25,18.0,1244.75,1365.25,0.47044698433149534,0.5030936879614705
56,B4-B8,92,5,87,0.4,0.022988505747126436,7.990078759621916,1.8630391141070837,1703.0,18.5,1316.5,2602.5,0.5970817530552044,0.543053756476684
56,B6-B8,92,3,89,0.0,0.011235955056179775,0.5587150514321936,1.4052712766743631,1703.0,18.5,1189.0,2602.5,0.39180745197870864,0.5596010268268308
57,B4-B6,64,2,62,0.0,0.0,0.07398529850401836,1.6832219177328804,1388.25,21.5,1299.25,1479.75,0.4843664353017498,0.5108076042361156
57,B4-B8,64,2,62,0.0,0.016129032258064516,0.4608397600748724,1.828545336654972,2296.25,16.5,1333.25,2600.75,0.5173460798194274,0.5626671186150201
57,B6-B8,64,2,62,0.0,0.016129032258064516,0.5348250585788905,1.5743473924547342,2296.25,17.5,1091.25,2600.75,0.5079130585745774,0.5720302574278024
