method,heldout_run,threshold,clean_acceptance,injected_rejection,n_clean,n_injected
transparent P02 morphology,58,6.562403334596431,0.972972972972973,0.0,37,37
transparent P02 morphology,59,6.176715387443643,0.9156626506024096,0.08433734939759036,415,415
transparent P02 morphology,60,6.552411679953892,0.9509345794392523,0.04672897196261682,428,428
transparent P02 morphology,61,6.785032690276756,0.9752883031301482,0.023064250411861616,607,607
transparent P02 morphology,62,6.4988976813549,0.9428571428571428,0.05238095238095238,420,420
transparent P02 morphology,63,6.499114855244423,0.9381443298969072,0.061855670103092786,194,194
transparent P02 morphology,65,6.614203681472588,1.0,0.0,54,54
traditional timing/template reference,58,1.75,0.8108108108108109,0.21621621621621623,37,37
traditional timing/template reference,59,2.0,0.9855421686746988,0.01927710843373494,415,415
traditional timing/template reference,60,2.0,0.969626168224299,0.030373831775700934,428,428
traditional timing/template reference,61,1.5,0.8978583196046128,0.20922570016474465,607,607
traditional timing/template reference,62,2.0,0.969047619047619,0.0380952380952381,420,420
traditional timing/template reference,63,1.75,0.9536082474226805,0.061855670103092786,194,194
traditional timing/template reference,65,1.6666666666666667,0.8333333333333334,0.18518518518518517,54,54
shape-only RF P02 morphology,58,0.6041841790916026,0.972972972972973,0.5675675675675675,37,37
shape-only RF P02 morphology,59,0.6085785746112892,0.963855421686747,0.4867469879518072,415,415
shape-only RF P02 morphology,60,0.6141715744833256,0.9789719626168224,0.5350467289719626,428,428
shape-only RF P02 morphology,61,0.5703545676918276,0.8583196046128501,0.6672158154859967,607,607
shape-only RF P02 morphology,62,0.6109218963033245,0.969047619047619,0.5071428571428571,420,420
shape-only RF P02 morphology,63,0.6020547490096585,0.9329896907216495,0.422680412371134,194,194
shape-only RF P02 morphology,65,0.6058728530253671,0.9814814814814815,0.2962962962962963,54,54
