event_index,run,group,eventno,stratum,ref_stave,ref_amp_adc
19,44,high_20nA,36,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1078.5
29,44,high_20nA,74,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1092.5
35,44,high_20nA,93,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1028.0
39,44,high_20nA,102,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1778.5
41,44,high_20nA,107,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1094.0
45,44,high_20nA,113,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1864.5
46,44,high_20nA,114,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1718.0
51,44,high_20nA,123,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1855.0
55,44,high_20nA,129,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1075.0
68,44,high_20nA,154,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2267.0
69,44,high_20nA,157,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2393.0
70,44,high_20nA,158,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1710.0
77,44,high_20nA,180,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1521.5
81,44,high_20nA,195,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1222.0
89,44,high_20nA,218,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2022.5
90,44,high_20nA,219,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1692.0
107,44,high_20nA,265,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1249.0
113,44,high_20nA,274,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2222.5
130,44,high_20nA,307,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2302.0
188,44,high_20nA,423,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2327.5
210,44,high_20nA,480,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1083.0
215,44,high_20nA,490,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2198.5
222,44,high_20nA,511,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2031.5
224,44,high_20nA,514,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1660.5
245,44,high_20nA,556,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2210.0
258,44,high_20nA,592,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2467.0
260,44,high_20nA,595,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1277.5
265,44,high_20nA,603,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2200.0
312,44,high_20nA,699,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1347.5
340,44,high_20nA,775,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1027.0
376,44,high_20nA,845,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1304.0
384,44,high_20nA,861,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1927.0
387,44,high_20nA,870,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1217.5
389,44,high_20nA,873,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1758.0
396,44,high_20nA,894,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2001.5
398,44,high_20nA,899,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1230.5
414,44,high_20nA,938,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1369.5
446,44,high_20nA,1009,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1453.0
471,44,high_20nA,1060,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1872.0
477,44,high_20nA,1075,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1098.5
492,44,high_20nA,1104,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1985.0
506,44,high_20nA,1136,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1027.5
518,44,high_20nA,1166,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1616.0
555,44,high_20nA,1247,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1168.0
572,44,high_20nA,1292,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1239.5
584,44,high_20nA,1317,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1746.5
627,44,high_20nA,1406,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1453.5
635,44,high_20nA,1426,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2464.5
645,44,high_20nA,1448,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1311.5
671,44,high_20nA,1517,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2173.0
683,44,high_20nA,1533,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2479.0
695,44,high_20nA,1560,amp_1000_2500|s16_no_lowering|p02_broad_late,B4,1261.0
697,44,high_20nA,1563,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1321.0
708,44,high_20nA,1582,amp_1000_2500|s16_no_lowering|p02_broad_late,B4,1012.5
740,44,high_20nA,1641,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2092.5
743,44,high_20nA,1649,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2037.5
765,44,high_20nA,1706,amp_1000_2500|s16_no_lowering|p02_broad_late,B4,1529.5
783,44,high_20nA,1747,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1654.0
794,44,high_20nA,1769,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1205.0
798,44,high_20nA,1781,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1252.5
806,44,high_20nA,1796,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2049.5
828,44,high_20nA,1855,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1385.5
861,44,high_20nA,1933,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,2339.0
900,44,high_20nA,2029,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1778.5
930,44,high_20nA,2102,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1706.0
943,44,high_20nA,2133,amp_1000_2500|s16_no_lowering|p02_broad_late,B2,1101.5
