heldout_run,heldout_group,n_scored_events,n_synthetic_train,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,shuffled_label_synthetic_auc
44,high_20nA,420,5600,45 46 47 48 49 50 51 52 53 54 55 56 57,0.9678860467863895,0.976100102837871,0.06368386132021697,0.04460235882779053,0.4232780009451796
45,high_20nA,420,5600,44 46 47 48 49 50 51 52 53 54 55 56 57,0.9883767699009469,0.9888075230588581,0.04550578189793782,0.04480539504481757,0.3881136281520768
46,low_2nA,379,5600,44 45 47 48 49 50 51 52 53 54 55 56 57,0.9849180220195237,0.9873936095257617,0.04834646099176801,0.04095606801409461,0.3720741209021272
47,low_2nA,420,5600,44 45 46 48 49 50 51 52 53 54 55 56 57,0.9848236461242955,0.9882017819611946,0.0498994953129791,0.0437216296655907,0.4907443238185029
48,high_20nA,420,5600,44 45 46 47 49 50 51 52 53 54 55 56 57,0.9864106666666667,0.9865479048123116,0.04981567232383097,0.045850372159390466,0.5093937777777777
49,high_20nA,420,5600,44 45 46 47 48 50 51 52 53 54 55 56 57,0.985386515067298,0.9880932675579137,0.04758109723974344,0.04372647641541554,0.5616517389132408
50,high_20nA,420,5600,44 45 46 47 48 49 51 52 53 54 55 56 57,0.9889494099762082,0.9886359793038353,0.042310403569283866,0.04213533656601551,0.408455985111358
51,high_20nA,420,5600,44 45 46 47 48 49 50 52 53 54 55 56 57,0.9853656095398782,0.9868821582046774,0.047138189623681305,0.0396029156954215,0.3500386056221224
52,high_20nA,420,5600,44 45 46 47 48 49 50 51 53 54 55 56 57,0.9773222446593686,0.9825795766013551,0.05153244491452369,0.04062479977612571,0.5871705282176639
53,high_20nA,420,5600,44 45 46 47 48 49 50 51 52 54 55 56 57,0.9785664819944597,0.9762384278021521,0.05485804658568807,0.04397065724276912,0.4784279778393352
54,high_20nA,420,5600,44 45 46 47 48 49 50 51 52 53 55 56 57,0.985301618835405,0.9858294961270105,0.04998034532211852,0.041281096532311476,0.592841418561572
55,high_20nA,420,5600,44 45 46 47 48 49 50 51 52 53 54 56 57,0.9845673090101696,0.9857998182106612,0.05321142923725471,0.04213935162712208,0.5251226665935692
56,high_20nA,420,5600,44 45 46 47 48 49 50 51 52 53 54 55 57,0.9826117621527779,0.9792008868070369,0.053535643210878,0.044131791198148335,0.5048760308159722
57,high_20nA,420,5600,44 45 46 47 48 49 50 51 52 53 54 55 56,0.9774486058601135,0.9799211101295293,0.05424389879192519,0.04784898282611658,0.5855756734404537
