heldout_run,model,alpha,cv_rmse_pp,max_depth,min_samples_leaf,n_train_runs
44,traditional_weighted_logit_ridge,0.01,12.10344278196222,,,
44,traditional_weighted_logit_ridge,0.1,12.102997913285375,,,
44,traditional_weighted_logit_ridge,1.0,12.098578053257867,,,
44,traditional_weighted_logit_ridge,10.0,12.056756285652579,,,
44,traditional_weighted_logit_ridge,100.0,11.726563211953685,,,
44,extra_trees_rate,,1.3552113516604387,2.0,2.0,
44,extra_trees_rate,,1.3784656895752039,2.0,4.0,
44,extra_trees_rate,,1.0495278701585424,3.0,2.0,
44,extra_trees_rate,,1.3712903485501635,3.0,4.0,
44,selected,100.0,,3.0,2.0,20.0
45,traditional_weighted_logit_ridge,0.01,12.462231426116062,,,
45,traditional_weighted_logit_ridge,0.1,12.461470965491204,,,
45,traditional_weighted_logit_ridge,1.0,12.453894374792265,,,
45,traditional_weighted_logit_ridge,10.0,12.379641063477612,,,
45,traditional_weighted_logit_ridge,100.0,11.595764746055146,,,
45,extra_trees_rate,,1.1412228402529005,2.0,2.0,
45,extra_trees_rate,,1.2082890346089128,2.0,4.0,
45,extra_trees_rate,,0.8511736181026208,3.0,2.0,
45,extra_trees_rate,,1.2073212686320058,3.0,4.0,
45,selected,100.0,,3.0,2.0,20.0
46,traditional_weighted_logit_ridge,0.01,1.9251093839934876,,,
46,traditional_weighted_logit_ridge,0.1,1.9239368795629888,,,
46,traditional_weighted_logit_ridge,1.0,1.912401553942171,,,
46,traditional_weighted_logit_ridge,10.0,1.8133246916166559,,,
46,traditional_weighted_logit_ridge,100.0,1.430190776779595,,,
46,extra_trees_rate,,1.264385376875836,2.0,2.0,
46,extra_trees_rate,,1.0536764376836247,2.0,4.0,
46,extra_trees_rate,,0.9241134509407707,3.0,2.0,
46,extra_trees_rate,,1.0544137362664456,3.0,4.0,
46,selected,100.0,,3.0,2.0,20.0
47,traditional_weighted_logit_ridge,0.01,1.8971272318544878,,,
47,traditional_weighted_logit_ridge,0.1,1.895925268665034,,,
47,traditional_weighted_logit_ridge,1.0,1.8840990003753322,,,
47,traditional_weighted_logit_ridge,10.0,1.7824362382963836,,,
47,traditional_weighted_logit_ridge,100.0,1.3877246788754733,,,
47,extra_trees_rate,,1.2273175316941527,2.0,2.0,
47,extra_trees_rate,,1.0123747834588215,2.0,4.0,
47,extra_trees_rate,,0.8532155432741656,3.0,2.0,
47,extra_trees_rate,,1.0019799179125055,3.0,4.0,
47,selected,100.0,,3.0,2.0,20.0
48,traditional_weighted_logit_ridge,0.01,11.191639910948908,,,
48,traditional_weighted_logit_ridge,0.1,11.190387580116319,,,
48,traditional_weighted_logit_ridge,1.0,11.17800554714377,,,
48,traditional_weighted_logit_ridge,10.0,11.066633136193445,,,
48,traditional_weighted_logit_ridge,100.0,10.476727587772745,,,
48,extra_trees_rate,,1.3037031214519907,2.0,2.0,
48,extra_trees_rate,,1.2080710830512396,2.0,4.0,
48,extra_trees_rate,,1.0577102614344647,3.0,2.0,
48,extra_trees_rate,,1.1930154407453708,3.0,4.0,
48,selected,100.0,,3.0,2.0,20.0
49,traditional_weighted_logit_ridge,0.01,11.11106222081867,,,
49,traditional_weighted_logit_ridge,0.1,11.10967320973026,,,
49,traditional_weighted_logit_ridge,1.0,11.095963422112295,,,
49,traditional_weighted_logit_ridge,10.0,10.974419931785825,,,
49,traditional_weighted_logit_ridge,100.0,10.358504285701278,,,
