window,method,res68_abs_frac,res68_abs_frac_ci95,bias_median_frac,bias_median_frac_ci95,frac_within10,frac_within10_ci95
s3,gbr_masked,0.14755550892880134,"[0.14557205544763535, 0.14891104267951238]",0.018991493027897332,"[0.003981107676027244, 0.03249477654874386]",0.4619598548375959,"[0.4521109706262744, 0.47110258277406364]"
s3,mlp_masked,0.1435319724678752,"[0.14124646815100364, 0.14609012163863325]",0.006896166835526558,"[-0.004219574503481181, 0.01726095087598079]",0.47396386047616046,"[0.46263436513480977, 0.4841090584400921]"
s3,observed_ceiling,0.2672980067152556,"[0.25839135432926796, 0.2769612120580415]",-0.20748288924500793,"[-0.21877663360882604, -0.19701844689932835]",0.1701976729187975,"[0.15438433687950098, 0.185099011775726]"
s3,traditional_template,10.54867623963192,"[4.969503391738532, 17.968519737048176]",0.6024315788758468,"[-0.061495968739542675, 1.5079916310595571]",0.09189939548731826,"[0.08375595968561364, 0.10082489661177707]"
s4,gbr_masked,0.14597469444607514,"[0.14396290140656973, 0.14781781853247455]",0.01857566157062952,"[0.002005667531172261, 0.031075616984705446]",0.4665100521612847,"[0.45921654962336395, 0.4765593137209217]"
s4,mlp_masked,0.14365714002238086,"[0.140883332791306, 0.14701080150552437]",0.01038799052784593,"[0.0009677639196981176, 0.021096549197480444]",0.4753382620261902,"[0.46230159279005384, 0.48949606629729464]"
s4,observed_ceiling,0.2672980067152556,"[0.25861088719089953, 0.2765042489528457]",-0.20748288924500793,"[-0.2193223486472453, -0.19767783529091373]",0.1701976729187975,"[0.1525740569452792, 0.18605634616226985]"
s4,traditional_template,1.626118897332489,"[0.8976078801767173, 2.437025454337986]",-0.024611397700087283,"[-0.08009606643882372, 0.03434119171239529]",0.11695134709084086,"[0.10785246903009969, 0.12515025121557316]"
s5,gbr_masked,0.14056802127598325,"[0.13772993420955723, 0.14265372149911154]",0.02012058625545684,"[0.004507067650059889, 0.03418750036021436]",0.4834265824855544,"[0.4754393864475266, 0.4930863216655086]"
s5,mlp_masked,0.13976463605288147,"[0.13517486724456837, 0.144061138973626]",0.017058790394449425,"[0.004878582972505544, 0.02857385466522187]",0.502562331025977,"[0.48646814744507355, 0.518989883317318]"
