method,sigma68_ns,ci_low,ci_high,delta_vs_cfd20_ns,delta_ci_low,delta_ci_high,n_events,n_pair_residuals,full_rms_ns,heldout_run,train_runs,timing_train_rows,timing_eval_rows,unsup_train_rows,uses_amplitude_bin_feature
strict CFD20,3.304723900556563,3.052504254973972,3.570972008593382,0.0,0.0,0.0,68,204,3.9307744540837968,42,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666,204,164586,False
strict traditional hand-shape ridge,1.7037579941749572,1.5463901954200243,1.9877027428444634,-1.600965906381606,-1.908009187189367,-1.224955106468259,68,204,2.6578544662144528,42,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666,204,164586,False
strict ML AE latent ridge,1.7574221671199797,1.4716179277412584,2.047081481670202,-1.5473017334365835,-1.968155377504924,-1.1508870597360048,68,204,2.5380001155652763,42,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666,204,164586,False
strict ML event-shuffled target,1.8015663706684086,1.6101025042962438,2.220339002398251,-1.5031575298881545,-1.8745417038587318,-0.9869483374152903,68,204,2.5381662180145566,42,"31,32,33,34,35,36,37,39,40,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",15666,204,164586,False
strict CFD20,3.2647569361400595,2.8074177966710887,3.631068121927978,0.0,0.0,0.0,64,192,4.01342665699288,57,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678,192,164662,False
strict traditional hand-shape ridge,2.015414061248308,1.787278245106935,2.239282997556031,-1.2493428748917514,-1.7666620209999346,-0.5860380549348843,64,192,2.679485423580029,57,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678,192,164662,False
strict ML AE latent ridge,2.026705978803634,1.7733108739964503,2.2470200591543676,-1.2380509573364256,-1.7074130427089,-0.6774377921335657,64,192,2.698727725479365,57,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678,192,164662,False
strict ML event-shuffled target,2.044531386557369,1.826311636357719,2.3270049413905483,-1.2202255495826906,-1.7388268012656154,-0.5343350872834585,64,192,2.6822223076835967,57,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678,192,164662,False
strict CFD20,3.1468037098479296,2.9770222406996485,3.3280249573849128,0.0,0.0,0.0,210,630,6.883883817243844,64,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240,630,162998,False
strict traditional hand-shape ridge,2.0043403324651705,1.8259034931361706,2.130096790820363,-1.142463377382759,-1.4410888407926286,-0.9020112043872486,210,630,5.702641479244249,64,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240,630,162998,False
strict ML AE latent ridge,1.9803883528709425,1.8571748773548016,2.0824740222232365,-1.166415356976987,-1.420893131626965,-0.9609003609413207,210,630,5.316579936265591,64,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240,630,162998,False
strict ML event-shuffled target,2.1321667140722274,1.9840321781082155,2.2865564964537617,-1.0146369957757022,-1.268554263434083,-0.7144132821218975,210,630,5.836095673019008,64,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240,630,162998,False
strict CFD20,2.9933860619640313,2.6767496727683966,3.4050693957060005,0.0,0.0,0.0,66,198,4.11882377956662,65,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672,198,164451,False
strict traditional hand-shape ridge,1.9578198898410795,1.7230740007457768,2.185717739891768,-1.0355661721229519,-1.5774787612592085,-0.6023142009675493,66,198,2.282621162657016,65,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672,198,164451,False
strict ML AE latent ridge,1.9414932040596002,1.609643288324774,2.1467012525442875,-1.051892857904431,-1.6286769914599781,-0.6385226862775965,66,198,2.319634034083475,65,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672,198,164451,False
strict ML event-shuffled target,1.9221455609066798,1.7735172050029058,2.2410171970880586,-1.0712405010573516,-1.6464172355322844,-0.5679167571564319,66,198,2.281572095434331,65,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672,198,164451,False
