alpha,fold,sigma68_ns,heldout_run,model,candidate,n_features
0.01,0,2.153176443334025,42,S02 ML ridge,,
0.01,1,1.9487414475464928,42,S02 ML ridge,,
0.01,2,1.9570875582403644,42,S02 ML ridge,,
0.01,-1,2.0196684830402942,42,S02 ML ridge,,
0.1,0,2.154475844064505,42,S02 ML ridge,,
0.1,1,1.9485125738535216,42,S02 ML ridge,,
0.1,2,1.9571842479765005,42,S02 ML ridge,,
0.1,-1,2.020057555298176,42,S02 ML ridge,,
1.0,0,2.147481657895337,42,S02 ML ridge,,
1.0,1,1.9446712552510872,42,S02 ML ridge,,
1.0,2,1.9591669187202099,42,S02 ML ridge,,
1.0,-1,2.017106610622211,42,S02 ML ridge,,
10.0,0,2.119524930069628,42,S02 ML ridge,,
10.0,1,1.9355820932720256,42,S02 ML ridge,,
10.0,2,1.96399265298081,42,S02 ML ridge,,
10.0,-1,2.0063665587741544,42,S02 ML ridge,,
100.0,0,2.110761128986454,42,S02 ML ridge,,
100.0,1,1.8983688137286876,42,S02 ML ridge,,
100.0,2,1.942108184272671,42,S02 ML ridge,,
100.0,-1,1.9837460423292708,42,S02 ML ridge,,
0.0,0,1.695624840501692,42,S03 analytic timewalk,amp_only,6.0
0.0,1,1.4032595965002237,42,S03 analytic timewalk,amp_only,6.0
0.0,2,1.3965071576463872,42,S03 analytic timewalk,amp_only,6.0
0.0,-1,1.4984638648827675,42,S03 analytic timewalk,amp_only,6.0
0.01,0,1.6982910133596303,42,S03 analytic timewalk,amp_only,6.0
0.01,1,1.4039246640284784,42,S03 analytic timewalk,amp_only,6.0
0.01,2,1.3962689866701221,42,S03 analytic timewalk,amp_only,6.0
0.01,-1,1.49949488801941,42,S03 analytic timewalk,amp_only,6.0
0.1,0,1.7160975936538592,42,S03 analytic timewalk,amp_only,6.0
0.1,1,1.4059014436409611,42,S03 analytic timewalk,amp_only,6.0
0.1,2,1.4014988467498974,42,S03 analytic timewalk,amp_only,6.0
0.1,-1,1.5078326280149057,42,S03 analytic timewalk,amp_only,6.0
1.0,0,1.7576561795121524,42,S03 analytic timewalk,amp_only,6.0
1.0,1,1.4238015041955165,42,S03 analytic timewalk,amp_only,6.0
1.0,2,1.4364292880956644,42,S03 analytic timewalk,amp_only,6.0
1.0,-1,1.5392956572677778,42,S03 analytic timewalk,amp_only,6.0
10.0,0,1.7754730101323741,42,S03 analytic timewalk,amp_only,6.0
10.0,1,1.4305198829790073,42,S03 analytic timewalk,amp_only,6.0
10.0,2,1.4574752003994695,42,S03 analytic timewalk,amp_only,6.0
10.0,-1,1.5544893645036169,42,S03 analytic timewalk,amp_only,6.0
100.0,0,1.7433230098708203,42,S03 analytic timewalk,amp_only,6.0
100.0,1,1.4051205054414728,42,S03 analytic timewalk,amp_only,6.0
100.0,2,1.4313050438788237,42,S03 analytic timewalk,amp_only,6.0
100.0,-1,1.5265828530637056,42,S03 analytic timewalk,amp_only,6.0
0.0,0,1.7420185542006024,42,S03 analytic timewalk,amp_rise_shape,14.0
0.0,1,1.4426689243996944,42,S03 analytic timewalk,amp_rise_shape,14.0
0.0,2,1.4565353415377533,42,S03 analytic timewalk,amp_rise_shape,14.0
0.0,-1,1.5470742733793499,42,S03 analytic timewalk,amp_rise_shape,14.0
0.01,0,1.742190242221664,42,S03 analytic timewalk,amp_rise_shape,14.0
0.01,1,1.4425405464432852,42,S03 analytic timewalk,amp_rise_shape,14.0
0.01,2,1.456844723822203,42,S03 analytic timewalk,amp_rise_shape,14.0
0.01,-1,1.5471918374957176,42,S03 analytic timewalk,amp_rise_shape,14.0
0.1,0,1.7467232961443657,42,S03 analytic timewalk,amp_rise_shape,14.0
0.1,1,1.4436945040411153,42,S03 analytic timewalk,amp_rise_shape,14.0
0.1,2,1.4603256871372723,42,S03 analytic timewalk,amp_rise_shape,14.0
0.1,-1,1.5502478291075843,42,S03 analytic timewalk,amp_rise_shape,14.0
1.0,0,1.770710838708509,42,S03 analytic timewalk,amp_rise_shape,14.0
1.0,1,1.4569919357237273,42,S03 analytic timewalk,amp_rise_shape,14.0
1.0,2,1.4858246608168748,42,S03 analytic timewalk,amp_rise_shape,14.0
1.0,-1,1.5711758117497039,42,S03 analytic timewalk,amp_rise_shape,14.0
10.0,0,1.7860461594210904,42,S03 analytic timewalk,amp_rise_shape,14.0
10.0,1,1.4624978029092066,42,S03 analytic timewalk,amp_rise_shape,14.0
10.0,2,1.5019538943281745,42,S03 analytic timewalk,amp_rise_shape,14.0
10.0,-1,1.5834992855528238,42,S03 analytic timewalk,amp_rise_shape,14.0
100.0,0,1.7649203497919628,42,S03 analytic timewalk,amp_rise_shape,14.0
100.0,1,1.4590452692779259,42,S03 analytic timewalk,amp_rise_shape,14.0
100.0,2,1.4920779452642319,42,S03 analytic timewalk,amp_rise_shape,14.0
100.0,-1,1.5720145214447065,42,S03 analytic timewalk,amp_rise_shape,14.0
0.0,0,1.8661445972037514,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,1,1.3984336819059844,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,2,1.4413305370193863,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,-1,1.5686362720430405,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,0,1.8708038462823013,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,1,1.3912343749698557,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,2,1.4487375717530806,42,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
