candidate,alpha,fold,sigma68_ns,n_pair_residuals,n_features
amp_only,0.0,0,1.29711038383236,1266,6
amp_only,0.0,1,1.306310908552891,1257,6
amp_only,0.0,2,1.3690887814594326,1257,6
amp_only,0.0,-1,1.3241700246148946,0,6
amp_only,0.01,0,1.2998377727510486,1266,6
amp_only,0.01,1,1.307625357534031,1257,6
amp_only,0.01,2,1.3723359094933791,1257,6
amp_only,0.01,-1,1.3265996799261528,0,6
amp_only,0.1,0,1.310365419037869,1266,6
amp_only,0.1,1,1.321725853235956,1257,6
amp_only,0.1,2,1.3888017608576535,1257,6
amp_only,0.1,-1,1.3402976777104927,0,6
amp_only,1.0,0,1.321594453855367,1266,6
amp_only,1.0,1,1.3532341545021562,1257,6
amp_only,1.0,2,1.4257295219109236,1257,6
amp_only,1.0,-1,1.3668527100894823,0,6
amp_only,10.0,0,1.3211399135983106,1266,6
amp_only,10.0,1,1.3562983631749723,1257,6
amp_only,10.0,2,1.4257948355970929,1257,6
amp_only,10.0,-1,1.3677443707901251,0,6
amp_only,100.0,0,1.263973893939918,1266,6
amp_only,100.0,1,1.3058269573178642,1257,6
amp_only,100.0,2,1.3748433615035112,1257,6
amp_only,100.0,-1,1.3148814042537644,0,6
amp_rise_shape,0.0,0,1.31522375512736,1266,14
amp_rise_shape,0.0,1,1.3296550423957219,1257,14
amp_rise_shape,0.0,2,1.3920830393506365,1257,14
amp_rise_shape,0.0,-1,1.3456539456245729,0,14
amp_rise_shape,0.01,0,1.3163473703492514,1266,14
amp_rise_shape,0.01,1,1.3298365164573762,1257,14
amp_rise_shape,0.01,2,1.395170528496383,1257,14
amp_rise_shape,0.01,-1,1.347118138434337,0,14
amp_rise_shape,0.1,0,1.323529869407533,1266,14
amp_rise_shape,0.1,1,1.3424351302861774,1257,14
amp_rise_shape,0.1,2,1.4040934958573046,1257,14
amp_rise_shape,0.1,-1,1.3566861651836717,0,14
amp_rise_shape,1.0,0,1.3371393218520295,1266,14
amp_rise_shape,1.0,1,1.3676309819872585,1257,14
amp_rise_shape,1.0,2,1.4348311845319006,1257,14
amp_rise_shape,1.0,-1,1.3798671627903962,0,14
amp_rise_shape,10.0,0,1.3321047611365258,1266,14
amp_rise_shape,10.0,1,1.3766731904166638,1257,14
amp_rise_shape,10.0,2,1.437179891012663,1257,14
amp_rise_shape,10.0,-1,1.381985947521951,0,14
amp_rise_shape,100.0,0,1.2754401545243317,1266,14
amp_rise_shape,100.0,1,1.324055672270097,1257,14
amp_rise_shape,100.0,2,1.3815638844125262,1257,14
amp_rise_shape,100.0,-1,1.3270199037356516,0,14
amp_rise_shape_by_stave,0.0,0,1.4168309631251828,1266,47
amp_rise_shape_by_stave,0.0,1,1.4918157879446998,1257,47
amp_rise_shape_by_stave,0.0,2,1.39113059326242,1257,47
amp_rise_shape_by_stave,0.0,-1,1.4332591147774343,0,47
amp_rise_shape_by_stave,0.01,0,1.3830061104792348,1266,47
amp_rise_shape_by_stave,0.01,1,1.509880770129612,1257,47
amp_rise_shape_by_stave,0.01,2,1.3952667007460038,1257,47
amp_rise_shape_by_stave,0.01,-1,1.4293845271182837,0,47
amp_rise_shape_by_stave,0.1,0,1.3895111463380243,1266,47
amp_rise_shape_by_stave,0.1,1,1.5266554048191303,1257,47
amp_rise_shape_by_stave,0.1,2,1.388973200001999,1257,47
amp_rise_shape_by_stave,0.1,-1,1.4350465837197177,0,47
amp_rise_shape_by_stave,1.0,0,1.378012894881265,1266,47
amp_rise_shape_by_stave,1.0,1,1.513027918410741,1257,47
amp_rise_shape_by_stave,1.0,2,1.386767658583373,1257,47
amp_rise_shape_by_stave,1.0,-1,1.425936157291793,0,47
amp_rise_shape_by_stave,10.0,0,1.362382182104829,1266,47
amp_rise_shape_by_stave,10.0,1,1.5029289685180354,1257,47
amp_rise_shape_by_stave,10.0,2,1.3929023889357859,1257,47
amp_rise_shape_by_stave,10.0,-1,1.419404513186217,0,47
amp_rise_shape_by_stave,100.0,0,1.328839041457587,1266,47
amp_rise_shape_by_stave,100.0,1,1.467421325349053,1257,47
amp_rise_shape_by_stave,100.0,2,1.4058913495753436,1257,47
amp_rise_shape_by_stave,100.0,-1,1.4007172387939946,0,47
