run,sample,raw_events,events_b2_terminal_like,events_b2_penetrating_like,events_downstream_0,events_downstream_1,events_downstream_2,events_downstream_3,events_kept_for_rows
31,sample_i_train,39990,25688,155,39280,544,119,47,166
32,sample_i_train,41921,25975,134,41191,576,114,40,154
33,sample_i_train,57173,46858,186,56413,566,135,59,194
34,sample_i_train,39765,32772,143,39223,389,103,50,153
35,sample_i_train,27786,10090,115,27307,356,87,36,123
36,sample_i_train,21764,9037,104,21358,290,94,22,116
37,sample_i_train,50513,20614,286,49328,872,230,83,313
39,sample_i_train,30321,11635,187,29555,554,146,66,212
40,sample_i_train,32613,11990,212,31781,601,161,70,231
41,sample_i_train,33997,13263,207,33106,668,154,69,223
42,sample_i_train,33972,15367,213,33136,605,163,68,231
44,sample_i_train,4294,1669,26,4178,85,24,7,31
45,sample_i_train,48181,20410,273,47034,841,212,94,306
46,sample_i_train,1441,644,1,1431,9,0,1,1
47,sample_i_train,10970,4888,22,10845,99,17,9,26
48,sample_i_train,31713,11642,171,31005,518,132,58,190
49,sample_i_train,32354,12229,198,31584,560,154,56,210
50,sample_i_train,44804,32985,205,43950,639,155,60,215
51,sample_i_train,20569,13608,100,20169,294,72,34,106
52,sample_i_train,10005,6616,48,9819,135,29,22,51
53,sample_i_train,39612,30249,175,38885,538,130,59,189
54,sample_i_train,37413,28645,173,36697,535,131,50,181
55,sample_i_train,24416,15974,117,23937,350,85,44,129
56,sample_i_train,51823,37298,261,50773,774,184,92,276
57,sample_i_train,31284,11273,199,30508,557,155,64,219
58,sample_ii_heldout,34141,14952,200,33431,503,134,73,73
59,sample_ii_heldout,42303,8343,2148,37481,2595,1464,763,763
60,sample_ii_heldout,36074,5409,2017,31810,2180,1276,808,808
61,sample_ii_heldout,36535,6161,2306,31897,2259,1446,933,933
62,sample_ii_heldout,37584,6942,2141,33156,2209,1412,807,807
63,sample_ii_heldout,37030,11306,1030,34225,1729,706,370,370
65,sample_ii_heldout,38424,10309,248,37486,672,200,66,66
