method,n,pred_mean_ns,target_mean_ns
analytic_timewalk,1729,-4.011787802512326,-3.8438593618042676
analytic_timewalk,1726,-3.8651334452171473,-4.065475132445778
analytic_timewalk,1727,-0.15770742733996393,-0.38929966923088755
analytic_timewalk,1728,1.8197752323901963,2.1075910828801403
analytic_timewalk,1726,1.923566458057341,2.0610074301354677
analytic_timewalk,1727,2.02106783859583,2.052871682127969
analytic_timewalk,1727,2.241981244391984,2.079234414161241
s03b_binned_timewalk,4030,-3.9242526527235855,-3.9401335460238376
s03b_binned_timewalk,4030,1.463576431961289,2.342112412110053
s03b_binned_timewalk,4030,2.460676220762264,1.5980211339136345
ml_ridge_on_template_phase,1728,-4.145743589518468,-3.969680893464619
ml_ridge_on_template_phase,1727,-3.9397274913143012,-3.9374257853237484
ml_ridge_on_template_phase,1727,-0.2882296121532021,-0.8622658770899638
ml_ridge_on_template_phase,1727,1.6810771968081009,1.750266808848332
ml_ridge_on_template_phase,1727,1.8136414801086689,2.016998814774042
ml_ridge_on_template_phase,1727,1.9566720669825248,2.6105219769373016
ml_ridge_on_template_phase,1727,2.2654803310113745,2.3938835545617785
