feature,importance
width_half,0.3592893013837797
post_peak_min,0.17762102919017686
area_norm,0.1663729326650725
pca_00,0.09105309080113785
late_fraction,0.053790464151918266
pca_02,0.02887155429754353
secondary_sep,0.025412653953642714
q_template_rmse,0.02495379758942358
pca_03,0.01373650850823153
amplitude_adc,0.012734870730222324
pca_01,0.011272204485065926
early_fraction,0.008752974066186537
secondary_peak,0.007072136962296352
pca_04,0.00517486750950733
baseline_mad,0.0049201988385496305
pca_05,0.004803266932307597
peak_sample,0.0024006676793620453
timing_span_dup,0.0010516209203066144
undershoot_area,0.0007152482793462908
saturation_count,6.110559227214414e-07
