feature,importance
area_norm,0.2754192785119163
post_peak_min,0.25073450425310695
pca_00,0.14335031346605417
late_fraction,0.06964586610828997
pca_02,0.060302956316041156
secondary_sep,0.042693392891660256
pca_03,0.0339628220149285
pca_01,0.027602642340225685
amplitude_adc,0.020791441676109676
early_fraction,0.017881838213488196
baseline_mad,0.013018861351184156
secondary_peak,0.012836786412597521
pca_05,0.012609052740656716
pca_04,0.009806675989415129
peak_sample,0.006499587994491097
timing_span_dup,0.0015399862803919624
undershoot_area,0.0012723459532950055
saturation_count,3.164748614756199e-05
