method,current_stratum,saturation_bin,n,n_runs,q_template_mse,tail_mse,live10_abs_error_ns,live20_abs_error_ns
ml_et_tail_surrogate,high_20nA,boundary,1383,12,0.020824123173499565,0.030268536970552977,6.789587852494577,7.049891540130152
traditional_empirical_template,high_20nA,boundary,1383,12,0.028586323853835662,0.04149923486903428,16.0882140274765,16.39190166305134
ml_et_tail_surrogate,high_20nA,saturated_proxy,665,12,0.026400674690398362,0.036169868729126226,4.69172932330827,4.69172932330827
traditional_empirical_template,high_20nA,saturated_proxy,665,12,0.03616951448631947,0.05028911535816961,14.165413533834586,14.165413533834586
ml_et_tail_surrogate,high_20nA,unsaturated,9505,12,0.19814011450576122,0.3255199453544028,34.16838899162406,33.3536386380942
traditional_empirical_template,high_20nA,unsaturated,9505,12,0.23585883446443953,0.38012122884904814,32.41379310344828,26.26454911345589
ml_et_tail_surrogate,low_2nA,boundary,188,2,0.019763103443138252,0.03226188251765817,4.308510638297872,4.308510638297872
traditional_empirical_template,low_2nA,boundary,188,2,0.026860514614496622,0.04210569296257226,13.670212765957446,13.670212765957446
ml_et_tail_surrogate,low_2nA,saturated_proxy,81,2,0.01767095412312315,0.02446814106662185,2.7160493827160495,2.7160493827160495
traditional_empirical_template,low_2nA,saturated_proxy,81,2,0.022506376920073828,0.03138819088469349,5.925925925925926,5.925925925925926
ml_et_tail_surrogate,low_2nA,unsaturated,707,2,0.15242193291377218,0.19415977122704617,19.65166908563135,22.119013062409287
traditional_empirical_template,low_2nA,unsaturated,707,2,0.18749912774314434,0.24388208497317485,18.664731494920176,13.62844702467344
ml_et_tail_surrogate,sample_ii,boundary,960,7,0.033774149772427604,0.048587677474466504,13.427083333333334,13.416666666666666
traditional_empirical_template,sample_ii,boundary,960,7,0.04197291148795621,0.06112537172745282,21.114583333333332,21.208333333333332
ml_et_tail_surrogate,sample_ii,saturated_proxy,344,7,0.048425017935103454,0.07651657175048678,10.755813953488373,10.755813953488373
traditional_empirical_template,sample_ii,saturated_proxy,344,7,0.06293930114314643,0.09802134127570625,19.941860465116278,19.941860465116278
ml_et_tail_surrogate,sample_ii,unsaturated,7129,7,0.11084460646478897,0.17313018328689808,25.588151927437643,24.848356009070294
traditional_empirical_template,sample_ii,unsaturated,7129,7,0.13305449234319988,0.2040773816219918,24.63718820861678,19.121315192743765
