heldout_run,stave,forbidden_heldout_target_median_ns,n_heldout_pulses
58,B4,-3.4412522769824676,73
58,B6,2.261978833401031,73
58,B8,1.2319368337961691,73
59,B4,-4.843692157021941,763
59,B6,3.045659841625479,763
59,B8,1.7434540066723656,763
60,B4,-3.5286699881695505,808
60,B6,2.3807601085831678,808
60,B8,1.002753117671947,808
61,B4,-2.81431850316892,933
61,B6,2.173271184213121,933
61,B8,1.0230978838736036,933
62,B4,-4.00607052510049,807
62,B6,2.6314650645731206,807
62,B8,1.4406156544304025,807
63,B4,-4.275035850992126,370
63,B6,2.974458849086517,370
63,B8,1.471917663523481,370
65,B4,-4.211956681573177,66
65,B6,2.4635632738528273,66
65,B8,1.6715356660926517,66
