candidate,alpha,fold,sigma68_ns,n_pair_residuals,n_features
amp_only,0.0,0,1.297110383832166,1266,6
amp_only,0.0,1,1.3063109085528093,1257,6
amp_only,0.0,2,1.3690887814594006,1257,6
amp_only,0.0,-1,1.3241700246147918,0,6
amp_only,0.01,0,1.2998377727511425,1266,6
amp_only,0.01,1,1.307625357534068,1257,6
amp_only,0.01,2,1.3723359094934895,1257,6
amp_only,0.01,-1,1.3265996799262332,0,6
amp_only,0.1,0,1.3103654190378697,1266,6
amp_only,0.1,1,1.3217258532359606,1257,6
amp_only,0.1,2,1.3888017608576884,1257,6
amp_only,0.1,-1,1.340297677710506,0,6
amp_only,1.0,0,1.3215944538553428,1266,6
amp_only,1.0,1,1.3532341545021271,1257,6
amp_only,1.0,2,1.4257295219109438,1257,6
amp_only,1.0,-1,1.3668527100894714,0,6
amp_only,10.0,0,1.3211399135983029,1266,6
amp_only,10.0,1,1.3562983631749654,1257,6
amp_only,10.0,2,1.425794835597082,1257,6
amp_only,10.0,-1,1.367744370790117,0,6
amp_only,100.0,0,1.2639738939399159,1266,6
amp_only,100.0,1,1.30582695731785,1257,6
amp_only,100.0,2,1.3748433615035067,1257,6
amp_only,100.0,-1,1.3148814042537575,0,6
amp_rise_shape,0.0,0,1.315223755127316,1266,14
amp_rise_shape,0.0,1,1.32965504239568,1257,14
amp_rise_shape,0.0,2,1.3920830393505292,1257,14
amp_rise_shape,0.0,-1,1.3456539456245087,0,14
amp_rise_shape,0.01,0,1.31634737034965,1266,14
amp_rise_shape,0.01,1,1.3298365164573427,1257,14
amp_rise_shape,0.01,2,1.3951705284964855,1257,14
amp_rise_shape,0.01,-1,1.347118138434493,0,14
amp_rise_shape,0.1,0,1.3235298694076014,1266,14
amp_rise_shape,0.1,1,1.342435130286073,1257,14
amp_rise_shape,0.1,2,1.4040934958572142,1257,14
amp_rise_shape,0.1,-1,1.3566861651836295,0,14
amp_rise_shape,1.0,0,1.3371393218520338,1266,14
amp_rise_shape,1.0,1,1.3676309819872448,1257,14
amp_rise_shape,1.0,2,1.434831184531914,1257,14
amp_rise_shape,1.0,-1,1.3798671627903973,0,14
amp_rise_shape,10.0,0,1.3321047611365187,1266,14
amp_rise_shape,10.0,1,1.3766731904166667,1257,14
amp_rise_shape,10.0,2,1.4371798910126694,1257,14
amp_rise_shape,10.0,-1,1.3819859475219516,0,14
amp_rise_shape,100.0,0,1.2754401545243297,1266,14
amp_rise_shape,100.0,1,1.3240556722700898,1257,14
amp_rise_shape,100.0,2,1.3815638844125155,1257,14
amp_rise_shape,100.0,-1,1.3270199037356452,0,14
amp_rise_shape_by_stave,0.0,0,1.4168309631253477,1266,47
amp_rise_shape_by_stave,0.0,1,1.4918157879450873,1257,47
amp_rise_shape_by_stave,0.0,2,1.3911305932624523,1257,47
amp_rise_shape_by_stave,0.0,-1,1.433259114777629,0,47
amp_rise_shape_by_stave,0.01,0,1.383006110465156,1266,47
amp_rise_shape_by_stave,0.01,1,1.50988077013516,1257,47
amp_rise_shape_by_stave,0.01,2,1.395266700746793,1257,47
amp_rise_shape_by_stave,0.01,-1,1.4293845271157029,0,47
amp_rise_shape_by_stave,0.1,0,1.3895111463381549,1266,47
amp_rise_shape_by_stave,0.1,1,1.5266554048173884,1257,47
amp_rise_shape_by_stave,0.1,2,1.3889732000021107,1257,47
amp_rise_shape_by_stave,0.1,-1,1.435046583719218,0,47
amp_rise_shape_by_stave,1.0,0,1.3780128948813188,1266,47
amp_rise_shape_by_stave,1.0,1,1.5130279184103588,1257,47
amp_rise_shape_by_stave,1.0,2,1.3867676585834232,1257,47
amp_rise_shape_by_stave,1.0,-1,1.4259361572917004,0,47
amp_rise_shape_by_stave,10.0,0,1.3623821821051045,1266,47
amp_rise_shape_by_stave,10.0,1,1.502928968518208,1257,47
amp_rise_shape_by_stave,10.0,2,1.392902388935696,1257,47
amp_rise_shape_by_stave,10.0,-1,1.4194045131863362,0,47
amp_rise_shape_by_stave,100.0,0,1.3288390414575983,1266,47
amp_rise_shape_by_stave,100.0,1,1.467421325349053,1257,47
amp_rise_shape_by_stave,100.0,2,1.4058913495753342,1257,47
amp_rise_shape_by_stave,100.0,-1,1.4007172387939952,0,47
