method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
le500,2.0,train,3780,-1.761403408866407,4.201941171831707,7.359358048075032,0.22275132275132276,183.84296158072712,2.0848315264263175
le500,2.0,heldout,11460,-1.35492878917281,4.170837794171913,6.876937236648311,0.212478184991274,236.45573163986998,1.247900819988181
le500,4.0,train,3780,-1.5368001206486,4.18446567555759,7.352974005631026,0.2216931216931217,258.4171709935668,2.0901621216200845
le500,4.0,heldout,11460,-1.1298286863513258,4.166180594403964,6.871495447423604,0.21099476439790577,219.15658462215612,1.44761907755841
cfd10,2.0,train,3780,-2.9358636302274483,3.294072921041683,8.482840830730375,0.047619047619047616,285.6150403023178,8.38910274476315
cfd10,2.0,heldout,11460,-2.725694780440474,3.2320895006567385,6.792371007694486,0.045724258289703314,284.93942580174854,22.0517979404195
cfd10,4.0,train,3780,-2.6924729644319534,3.2679347735877933,8.472820301567555,0.04470899470899471,265.4175572918628,8.424441876904698
cfd10,4.0,heldout,11460,-2.491612656966714,3.2068011257160705,6.781323358060387,0.04493891797556719,260.422510783255,21.765752428710698
cfd20,2.0,train,3780,-3.0697652191181746,3.158892646034846,6.790939385407397,0.06904761904761905,308.7528182896904,8.028239027012669
cfd20,2.0,heldout,11460,-2.8019233458297848,3.1502666141199165,6.204310730057545,0.05794066317626527,258.365562453316,17.565782752818208
cfd20,4.0,train,3780,-2.810860537108759,3.121643600867044,6.779722612643844,0.06481481481481481,277.23114167847416,6.819987852561757
cfd20,4.0,heldout,11460,-2.5696770798547632,3.125467245440881,6.193072865128246,0.054537521815008726,265.4641386828137,16.183181276792713
cfd30,2.0,train,3780,-2.9833430349139825,3.20926205871021,6.7038292906575325,0.10052910052910052,289.87409405244347,7.017113716447767
cfd30,2.0,heldout,11460,-2.6952107328290147,3.2484140353373503,6.284273952004644,0.08979057591623037,271.21816829567933,16.81280216293402
cfd30,4.0,train,3780,-2.720912804179058,3.183760862591922,6.693395976837221,0.09656084656084656,290.2877722704153,6.350949451929869
cfd30,4.0,heldout,11460,-2.4522180266943465,3.2280755428412706,6.274137068831163,0.08534031413612565,302.9084259787761,15.679181437330051
cfd40,2.0,train,3780,-2.6948043003005466,3.3585290557275087,5.832940937877921,0.11825396825396825,257.92070395370064,5.747055231116992
cfd40,2.0,heldout,11460,-2.4606702624577323,3.4101433018411615,6.37125805237633,0.11465968586387434,206.74237693468982,11.680306989238487
cfd40,4.0,train,3780,-2.4512259866875326,3.3390961901524077,5.822452095894896,0.1126984126984127,212.31754555539308,5.566425023442848
cfd40,4.0,heldout,11460,-2.2285991055686303,3.395384810422322,6.362424568384906,0.11169284467713787,239.0402237597924,10.805951507746915
cfd50,2.0,train,3780,-2.3931234492588125,3.533703227355767,5.968095574719126,0.13835978835978835,1.8868929316458258,2.514963765169601
cfd50,2.0,heldout,11460,-2.14115857504175,3.598928452149569,6.925068880183607,0.14467713787085515,170.24506191869793,7.7065696454382895
cfd50,4.0,train,3780,-2.156178631260495,3.5288828388366897,5.958944357379659,0.13544973544973546,2.1464401713448056,2.4778785495376905
cfd50,4.0,heldout,11460,-1.8936468132530813,3.584719153225212,6.91822900733479,0.1411867364746946,197.62923239727888,7.283220176708792
template_phase,2.0,train,3780,-3.5918860564567794,1.7959430282283932,2.8957174567554,0.05052910052910053,0.08538378612362635,68.1176968190473
template_phase,2.0,heldout,11460,-3.5918860564567794,2.0459430282283897,3.362029308566705,0.09973821989528796,0.7818054072769713,229.84693486535772
template_phase,4.0,train,3780,-3.4358860564567735,1.7179430282283903,2.8722261383436494,0.05052910052910053,264.9747696628035,98.5932349666857
template_phase,4.0,heldout,11460,-3.4358860564567735,1.9679430282283938,3.3438459097628135,0.09973821989528796,0.03973284344264307,279.71813711429263
of_1_9,2.0,train,3780,-2.8661974449818146,4.9819764631084835,6.139496567908725,0.30317460317460315,0.8050884701111636,6.913227592273303
of_1_9,2.0,heldout,11460,-6.976678980482053,5.612826324393944,6.356779123342341,0.37783595113438045,1.5662090937885333,1.4908868160479152
of_1_9,4.0,train,3780,-2.6604789101663044,4.979231634661625,6.119047407782211,0.3037037037037037,0.7813866576871878,6.382646680113277
of_1_9,4.0,heldout,11460,-6.784283546445874,5.582703150707188,6.328469410850973,0.37521815008726006,1.5616841231997278,1.928440961749403
of_2_10,2.0,train,3780,-3.207349748586367,5.149910707938013,6.216865900242852,0.2851851851851852,0.9109657132536056,5.7558884211573345
of_2_10,2.0,heldout,11460,-7.033922072503911,5.535890852262066,6.38568844900772,0.36535776614310644,1.5150521499406133,1.9561600912662296
of_2_10,4.0,train,3780,-3.030060988692206,5.117382310536872,6.196296223422373,0.2857142857142857,0.9635151020171303,4.949374310315307
of_2_10,4.0,heldout,11460,-6.859516763127623,5.504736425283368,6.356911823303838,0.36265270506108205,1.5022236476117812,1.7432705916874924
of_3_11,2.0,train,3780,-3.1212326711840888,4.732223395892892,6.010557676337391,0.29417989417989415,0.7991295988164847,5.846661055687857
of_3_11,2.0,heldout,11460,-6.951526665150364,5.469806643344033,6.352158336544151,0.3668411867364747,1.6241585857057261,2.5744131353798467
of_3_11,4.0,train,3780,-2.8908721814190415,4.722754818572553,5.988808083872884,0.29788359788359786,0.7633569235980769,6.278218802227979
of_3_11,4.0,heldout,11460,-6.777011952335968,5.456088417647649,6.32385319980275,0.36640488656195463,1.6526959546726872,2.4144920249625326
of_4_12,2.0,train,3780,-4.061773030156161,4.496710141684657,5.689206003427444,0.25,0.599055720970447,3.451306939019635
of_4_12,2.0,heldout,11460,-6.4728518971008775,5.241289835803209,6.19446248584061,0.3405759162303665,3.445230050256955,4.086221902678146
