topology,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95
A1A3,a_mult_median,1342,-0.0008685996480808104,0.26363565649975945,0.40741401110104747,0.28688524590163933,0.646795827123696,"[-0.02526740792662038, 0.026232366460611823]","[0.2541017452997524, 0.2744938095025254]","[0.3483433263254868, 0.4912054687916676]"
A1A3,topology_median,1342,-0.0008685996480808104,0.26363565649975945,0.40741401110104747,0.28688524590163933,0.646795827123696,"[-0.023864464415836773, 0.02708696766728824]","[0.25408946922046727, 0.27305966590561265]","[0.34592240972119703, 0.4814027256100194]"
A1A3,topology_b_charge_ridge,1342,-0.02091697388167916,0.26738640314048795,0.39460811914316535,0.29210134128166915,0.6363636363636364,"[-0.040300712888279557, -0.003118696145842088]","[0.2606110218780793, 0.27319383414450915]","[0.3362640461489173, 0.4769904913453559]"
A1A3,waveform_extra_trees,1342,-0.022994976224316534,0.2698293315096782,0.3960581713400679,0.2846497764530551,0.6326378539493294,"[-0.04675879217134636, -0.0037640106567531774]","[0.2606449587869361, 0.27842452755280905]","[0.3377606689104163, 0.47721903393471]"
A1A3,waveform_hgb,1342,-0.0247383970817388,0.26849713988895557,0.39213856511055467,0.28315946348733234,0.6363636363636364,"[-0.04933682966582055, -0.0018776698100149527]","[0.2592201438947308, 0.2773134919021932]","[0.33572840568893364, 0.47076135037922107]"
A1A3,shuffled_target_extra_trees,1342,-0.027440353042347335,0.27168599108191727,0.3942944288787912,0.28614008941877794,0.6445603576751118,"[-0.04934489213921522, -0.003414635267263055]","[0.2557999586055473, 0.2806146115650155]","[0.3342890630364941, 0.4661309663848526]"
A1_only,a_mult_median,149,0.29129194050501556,0.7249711000132568,1.9203320281932064,0.20134228187919462,0.3825503355704698,"[0.1961361106694228, 0.4438311059461553]","[0.5500777596916838, 0.9023620058102817]","[1.255582992538345, 2.4685870820573346]"
A1_only,topology_median,149,0.013187478381182982,0.4906745484400657,1.4172986733588109,0.15436241610738255,0.4161073825503356,"[-0.10096994752742884, 0.12547106000579766]","[0.3847539888279849, 0.584092126405999]","[0.9037682147809118, 1.8888157916776709]"
A1_only,topology_b_charge_ridge,149,-0.09943456252767936,0.4855234763891133,1.2554902730707491,0.12751677852348994,0.31543624161073824,"[-0.20917255593286985, 0.058799173797364726]","[0.3808816812363628, 0.5907470969585983]","[0.8531253516289312, 1.6697979055219296]"
A1_only,waveform_extra_trees,149,-0.0872740660184018,0.49101605868806913,1.2502879609797661,0.1476510067114094,0.30201342281879195,"[-0.16875115385331965, 0.0581938666856632]","[0.42446298907045604, 0.5709959703993064]","[0.788666062593394, 1.7005662013532234]"
A1_only,waveform_hgb,149,-0.05089345347192499,0.4883773117295142,1.2780653433774198,0.16778523489932887,0.4228187919463087,"[-0.140321040708133, 0.06118988367414119]","[0.457162716250366, 0.5742467208271607]","[0.7833010780708101, 1.7199471016212964]"
A1_only,shuffled_target_extra_trees,149,-0.12384361281018201,0.4965308682606267,1.371680850069945,0.09395973154362416,0.35570469798657717,"[-0.17355897599028933, 0.0787027866187068]","[0.4217770015086783, 0.5603474142216426]","[0.856527830501568, 1.8607054880343792]"
A3_only,a_mult_median,2564,-0.02010685236060745,0.3987342919220161,0.5969462105637499,0.15522620904836193,0.41887675507020283,"[-0.050518879789398494, 0.022362189947300704]","[0.3850998843889381, 0.41220312332596415]","[0.5202137784258868, 0.7146496227430422]"
A3_only,topology_median,2564,0.0024275107993557005,0.3990838606044035,0.6144047492407423,0.1622464898595944,0.42745709828393136,"[-0.027570943698575663, 0.03736428306771968]","[0.3851138800794051, 0.4145159451138394]","[0.5400530253694477, 0.7437639365260128]"
A3_only,topology_b_charge_ridge,2564,-0.053614637911436155,0.39599869177781705,0.5705185435304697,0.15327613104524182,0.40678627145085805,"[-0.08620362236970787, -0.021798240878873533]","[0.3857119972948841, 0.409116562775884]","[0.4958767143802437, 0.6852558232283454]"
A3_only,waveform_extra_trees,2564,-0.053487866004539586,0.3933682402848834,0.568316433813265,0.15600624024961,0.4075663026521061,"[-0.08559174570957262, -0.020471225298850503]","[0.3823176114718592, 0.4049040375571206]","[0.49323441129350076, 0.6774098394547496]"
A3_only,waveform_hgb,2564,-0.05783241072994537,0.39848606087799937,0.5729469321427355,0.15288611544461778,0.4001560062402496,"[-0.08464921415724501, -0.022741368140740886]","[0.38808459810622803, 0.41188815015724983]","[0.4977338780526094, 0.6899465572640681]"
A3_only,shuffled_target_extra_trees,2564,-0.049665094402176105,0.3991873636873863,0.5697261608861427,0.15366614664586584,0.3970358814352574,"[-0.07900545735202777, -0.022507118784455996]","[0.3871798431972045, 0.4097529218064626]","[0.49441035766585745, 0.6920182769224903]"
