target,method,metric,value
adaptive_lowering,multilabel_logistic,auc,0.9831105487687757
adaptive_lowering,multilabel_logistic,average_precision,0.7119658592020633
adaptive_lowering,multilabel_logistic,ece,0.005495060288463232
adaptive_lowering,shuffled_axis_sentinel,auc,0.41980987316780477
broad_template_mismatch,multilabel_logistic,auc,0.7969161366003852
broad_template_mismatch,multilabel_logistic,average_precision,0.0012823471409906628
broad_template_mismatch,multilabel_logistic,ece,2.7342671533207185e-05
broad_template_mismatch,shuffled_axis_sentinel,auc,0.4862870172207339
charge_transfer_error,multilabel_logistic,auc,0.8771608264071858
charge_transfer_error,multilabel_logistic,average_precision,0.34985122457557216
charge_transfer_error,multilabel_logistic,ece,0.0021174941153355134
charge_transfer_error,shuffled_axis_sentinel,auc,0.3938851719969812
delayed_peak,multilabel_logistic,auc,0.7760096116661523
delayed_peak,multilabel_logistic,average_precision,0.09731533971986107
delayed_peak,multilabel_logistic,ece,0.0012713038587318555
delayed_peak,shuffled_axis_sentinel,auc,0.4806673329031729
early_pretrigger_activity,multilabel_logistic,auc,0.7943692358621005
early_pretrigger_activity,multilabel_logistic,average_precision,0.6643879317565275
early_pretrigger_activity,multilabel_logistic,ece,0.0021194572369346017
early_pretrigger_activity,shuffled_axis_sentinel,auc,0.3645044495290564
high_amplitude,multilabel_logistic,auc,0.8857428500104795
high_amplitude,multilabel_logistic,average_precision,0.6687044887638075
high_amplitude,multilabel_logistic,ece,0.03449950065873661
high_amplitude,shuffled_axis_sentinel,auc,0.2732991807251544
pileup_score,multilabel_logistic,auc,0.8513173598979478
pileup_score,multilabel_logistic,average_precision,0.8225891810847566
pileup_score,multilabel_logistic,ece,0.0038521335937196305
pileup_score,shuffled_axis_sentinel,auc,0.46978421866564324
saturation_boundary,multilabel_logistic,auc,0.8813301388248768
saturation_boundary,multilabel_logistic,average_precision,0.12443504077642843
saturation_boundary,multilabel_logistic,ece,0.00044818549597617813
saturation_boundary,shuffled_axis_sentinel,auc,0.43746699420768037
timing_tail,multilabel_logistic,auc,0.5820281708679487
timing_tail,multilabel_logistic,average_precision,0.058603512190238634
timing_tail,multilabel_logistic,ece,0.00022279503588539418
timing_tail,shuffled_axis_sentinel,auc,0.24120037117765614
