mode,ablation,method,res68_abs_frac,delta_res68_vs_full,run_block_delta_res68_ci95,affected_rows,replaced_atoms
grouped_retrain,baseline_s0_3_removed,strong_huber_charge,0.028956498931922505,0.016271699309345612,"[0.015373039623096281, 0.01782673342433075]",640482,2561928
grouped_retrain,baseline_s0_3_removed,ml_hgb,0.3813969791223178,-0.010513728005146716,"[-0.010513728005146716, 0.0025582827125588126]",640482,2561928
grouped_retrain,baseline_s0_3_removed,ml_extra_trees,0.008239800110673932,0.0011015484349335422,"[0.0009119292921532275, 0.0013206568184707893]",640482,2561928
grouped_retrain,early_peak_s4_6_removed,strong_huber_charge,0.10205605052241247,0.08937125089983558,"[0.08382762782365984, 0.09451018158032715]",640482,1921446
grouped_retrain,early_peak_s4_6_removed,ml_hgb,0.4030904816358835,0.011179774508419005,"[0.0012006399003509083, 0.05190126864813299]",640482,1921446
grouped_retrain,early_peak_s4_6_removed,ml_extra_trees,0.01658661335832735,0.009448361682586962,"[0.008037611964268762, 0.010786568952079207]",640482,1921446
grouped_retrain,peak_core_s7_10_removed,strong_huber_charge,0.05026700688492916,0.03758220726235227,"[0.031057684936843966, 0.04208384234614061]",640482,2561928
grouped_retrain,peak_core_s7_10_removed,ml_hgb,0.40810508793513317,0.016194380807668662,"[-0.0008543175547180426, 0.03233917854988094]",640482,2561928
grouped_retrain,peak_core_s7_10_removed,ml_extra_trees,0.012927735880197326,0.005789484204456936,"[0.004157041485648686, 0.007288205977308636]",640482,2561928
grouped_retrain,post_peak_tail_s11_17_removed,strong_huber_charge,0.056061127854510694,0.0433763282319338,"[0.04274622057899927, 0.0436110763324931]",640482,4483374
grouped_retrain,post_peak_tail_s11_17_removed,ml_hgb,0.4155429586722679,0.023632251544803418,"[0.0047604710644587045, 0.04679037220295218]",640482,4483374
grouped_retrain,post_peak_tail_s11_17_removed,ml_extra_trees,0.021672986388760786,0.014534734713020397,"[0.011237324605326355, 0.017738483828348747]",640482,4483374
grouped_retrain,saturation_boundary_atoms_removed,strong_huber_charge,0.042535565072930645,0.029850765450353752,"[0.023572488272750994, 0.03744069841767814]",183300,692100
grouped_retrain,saturation_boundary_atoms_removed,ml_hgb,0.38988360967034574,-0.002027097457118765,"[-0.002027097457118765, -0.0012674115537884]",183300,692100
grouped_retrain,saturation_boundary_atoms_removed,ml_extra_trees,0.008041523382449641,0.0009032717067092516,"[0.00025704241826955253, 0.0015287331705072325]",183300,692100
frozen_occlusion,baseline_s0_3_removed,ml_hgb,0.3980848153535383,0.006174108226073782,"[0.0038014485628161676, 0.018902629620555278]",640482,2561928
frozen_occlusion,baseline_s0_3_removed,ml_extra_trees,0.008338566774288946,0.001200315098548556,"[0.0008178875336623684, 0.0016092292115524216]",640482,2561928
frozen_permutation,baseline_s0_3_removed,ml_hgb,0.3625802584382201,-0.029330448689244393,"[-0.06038405008552683, -0.00958261397996435]",640482,2561928
frozen_permutation,baseline_s0_3_removed,ml_extra_trees,0.0457314604166798,0.03859320874093941,"[0.03459409456038946, 0.04292199378347501]",640482,2561928
frozen_occlusion,early_peak_s4_6_removed,ml_hgb,0.4675309150599108,0.07562020793244628,"[0.0266799684565735, 0.15296028532946232]",640482,1921446
frozen_occlusion,early_peak_s4_6_removed,ml_extra_trees,0.37682771472580284,0.36968946305006245,"[0.21338088994532128, 0.47862201731210713]",640482,1921446
frozen_permutation,early_peak_s4_6_removed,ml_hgb,0.4055096730285656,0.013598965901101101,"[0.013354546603074835, 0.04429142555244786]",640482,1921446
frozen_permutation,early_peak_s4_6_removed,ml_extra_trees,0.2020146939952309,0.1948764423194905,"[0.16366154027716434, 0.26419064293996086]",640482,1921446
frozen_occlusion,peak_core_s7_10_removed,ml_hgb,0.8590929759621496,0.4671822688346851,"[0.32716477136413824, 0.5486418710526249]",640482,2561928
frozen_occlusion,peak_core_s7_10_removed,ml_extra_trees,0.5821276610484962,0.5749894093727559,"[0.35678115736567234, 0.7981096917853168]",640482,2561928
frozen_permutation,peak_core_s7_10_removed,ml_hgb,0.6253909036160022,0.23348019648853774,"[0.21473427679604828, 0.3082746166910016]",640482,2561928
frozen_permutation,peak_core_s7_10_removed,ml_extra_trees,0.34765168946767816,0.34051343779193777,"[0.2603580501660347, 0.47587626462434063]",640482,2561928
frozen_occlusion,post_peak_tail_s11_17_removed,ml_hgb,0.772447257027771,0.38053654990030644,"[0.1395909255311994, 0.5714324125025843]",640482,4483374
frozen_occlusion,post_peak_tail_s11_17_removed,ml_extra_trees,0.9227252427731008,0.9155869910973604,"[0.6033200888875756, 1.177115868129457]",640482,4483374
frozen_permutation,post_peak_tail_s11_17_removed,ml_hgb,0.6184606646076871,0.2265499574802226,"[0.20229836216971742, 0.3588443610372502]",640482,4483374
frozen_permutation,post_peak_tail_s11_17_removed,ml_extra_trees,0.4439738730365553,0.4368356213608149,"[0.3945777081592503, 0.5143921850371156]",640482,4483374
