run,stave,n_all_three_downstream_pulses
31,B4,47
31,B6,47
31,B8,47
32,B4,40
32,B6,40
32,B8,40
33,B4,59
33,B6,59
33,B8,59
34,B4,50
34,B6,50
34,B8,50
35,B4,36
35,B6,36
35,B8,36
36,B4,22
36,B6,22
36,B8,22
37,B4,83
37,B6,83
37,B8,83
39,B4,66
39,B6,66
39,B8,66
40,B4,70
40,B6,70
40,B8,70
41,B4,69
41,B6,69
41,B8,69
42,B4,68
42,B6,68
42,B8,68
44,B4,7
44,B6,7
44,B8,7
45,B4,94
45,B6,94
45,B8,94
46,B4,1
46,B6,1
46,B8,1
47,B4,9
47,B6,9
47,B8,9
48,B4,58
48,B6,58
48,B8,58
49,B4,56
49,B6,56
49,B8,56
50,B4,60
50,B6,60
50,B8,60
51,B4,34
51,B6,34
51,B8,34
52,B4,22
52,B6,22
52,B8,22
53,B4,59
53,B6,59
53,B8,59
54,B4,50
54,B6,50
54,B8,50
55,B4,44
55,B6,44
55,B8,44
56,B4,92
56,B6,92
56,B8,92
57,B4,64
57,B6,64
57,B8,64
58,B4,73
58,B6,73
58,B8,73
59,B4,763
59,B6,763
59,B8,763
60,B4,808
60,B6,808
60,B8,808
61,B4,933
61,B6,933
61,B8,933
62,B4,807
62,B6,807
62,B8,807
63,B4,370
63,B6,370
63,B8,370
64,B4,210
64,B6,210
64,B8,210
65,B4,66
65,B6,66
65,B8,66
