model,kind,feature_groups,train_rows,eval_rows,fit_predict_sec,fold
ridge,ridge,"amplitude,stave,shape,saturation,current",4830,27087,0.07,holdout_sample_i
extra_trees,extra_trees,"amplitude,stave,shape,saturation,current",4830,27087,0.33,holdout_sample_i
shuffled_target_extra_trees,extra_trees_shuffled,"amplitude,stave,shape,saturation,current",4830,27087,0.22,holdout_sample_i
family_label_sentinel,extra_trees,"current,run_family",4830,27087,0.22,holdout_sample_i
knockout_no_amplitude,extra_trees,"stave,shape,saturation,current",4830,27087,0.33,holdout_sample_i
knockout_no_shape,extra_trees,"amplitude,stave,saturation,current",4830,27087,0.22,holdout_sample_i
knockout_no_stave,extra_trees,"amplitude,shape,saturation,current",4830,27087,0.32,holdout_sample_i
knockout_no_current,extra_trees,"amplitude,stave,shape,saturation",4830,27087,0.32,holdout_sample_i
ridge,ridge,"amplitude,stave,shape,saturation,current",40625,22603,0.02,holdout_sample_ii
extra_trees,extra_trees,"amplitude,stave,shape,saturation,current",40625,22603,1.23,holdout_sample_ii
shuffled_target_extra_trees,extra_trees_shuffled,"amplitude,stave,shape,saturation,current",40625,22603,1.34,holdout_sample_ii
family_label_sentinel,extra_trees,"current,run_family",40625,22603,0.22,holdout_sample_ii
knockout_no_amplitude,extra_trees,"stave,shape,saturation,current",40625,22603,0.94,holdout_sample_ii
knockout_no_shape,extra_trees,"amplitude,stave,saturation,current",40625,22603,0.73,holdout_sample_ii
knockout_no_stave,extra_trees,"amplitude,shape,saturation,current",40625,22603,1.13,holdout_sample_ii
knockout_no_current,extra_trees,"amplitude,stave,shape,saturation",40625,22603,1.15,holdout_sample_ii
