label_source,group,label,n,group_rate,downstream_rate,median_log_p04_charge
p09a,high_20nA,baseline_excursion,1745,0.007353715838934659,0.026934097421203437,7.820247734769121
p09a,high_20nA,dropout,264,0.0011125392444004299,0.003787878787878788,7.810031636306871
p09a,high_20nA,novel_broad_template_mismatch,882,0.003716892475610527,0.481859410430839,10.998199293468659
p09a,high_20nA,novel_delayed_peak,1427,0.006013611749088687,0.5143658023826209,9.707012822317921
p09a,high_20nA,novel_early_pretrigger,4790,0.020185844623780525,0.04801670146137787,6.96268020609989
p09a,high_20nA,pileup_or_long_tail,269,0.0011336100634231653,0.6096654275092936,9.736828122520052
p09a,high_20nA,saturation,13,5.478412945911207e-05,0.07692307692307693,11.19967822101162
p09a,high_20nA,unassigned_common,227905,0.9604290018753029,0.02776156731971655,10.733469438569495
p09a,low_2nA,baseline_excursion,39,0.006680369989722507,0.02564102564102564,7.631285200402925
p09a,low_2nA,dropout,6,0.0010277492291880781,0.0,7.782352789972616
p09a,low_2nA,novel_broad_template_mismatch,3,0.0005138746145940391,0.3333333333333333,10.976056078715326
p09a,low_2nA,novel_delayed_peak,14,0.002398081534772182,0.5714285714285714,9.335873764012605
p09a,low_2nA,novel_early_pretrigger,112,0.019184652278177457,0.026785714285714284,6.9725504629572495
p09a,low_2nA,pileup_or_long_tail,5,0.0008564576909900651,0.4,10.050106362320609
p09a,low_2nA,unassigned_common,5659,0.9693388146625557,0.021205159922247748,10.466179763169793
p09b,high_20nA,baseline_excursion,2106,0.008875028972376157,0.033713200379867046,7.792370813208826
p09b,high_20nA,dropout,4416,0.01860974736087992,0.0396286231884058,6.889611764905675
p09b,high_20nA,novel_broad_template_mismatch,328,0.0013822457278914431,0.5274390243902439,10.93973114061077
p09b,high_20nA,novel_delayed_peak,1212,0.005107566531111064,0.5750825082508251,9.501137630213156
p09b,high_20nA,novel_early_pretrigger,13,5.478412945911207e-05,0.3076923076923077,9.967616593390638
p09b,high_20nA,pileup_or_long_tail,1298,0.005469984618302113,0.3713405238828968,10.10091198559745
p09b,high_20nA,saturation,19,8.006911228639457e-05,0.10526315789473684,11.184312068993089
p09b,high_20nA,unassigned_common,227903,0.9604205735476938,0.02775303528255442,10.733496088594551
p09b,low_2nA,baseline_excursion,46,0.0078794107571086,0.021739130434782608,7.672523613952323
p09b,low_2nA,dropout,104,0.017814319972593355,0.028846153846153848,6.872915538993423
p09b,low_2nA,novel_broad_template_mismatch,1,0.00017129153819801302,0.0,10.88100507782618
p09b,low_2nA,novel_delayed_peak,12,0.0020554984583761563,0.5833333333333334,9.272186288413296
p09b,low_2nA,pileup_or_long_tail,16,0.0027406646111682084,0.25,9.32839258217367
p09b,low_2nA,unassigned_common,5659,0.9693388146625557,0.021205159922247748,10.466179763169793
