accepted_n,accepted_fraction,bias_median_frac,model_energy_proxy_res68,p04b_charge_propagated_energy_res68,combined_energy_proxy_res68,depth_order_violation_rate,geometry,method,uncertainty_threshold,accepted_fraction_ci95,bias_median_frac_ci95,model_energy_proxy_res68_ci95,p04b_charge_propagated_energy_res68_ci95,combined_energy_proxy_res68_ci95,depth_order_violation_rate_ci95,clears_10pct_point,clears_10pct_ci95_high
81863,0.24594414334298728,-0.02019092055545066,0.023846142511117486,0.03719522214739048,0.04418283674974087,0.0,center_4cm,traditional_depth_charge_lookup,0.05,"[0.17403449460585393, 0.3372580310120774]","[-0.020818014111374978, -0.019469006898794907]","[0.023465848940966125, 0.02407485105709592]","[0.03573231299170173, 0.03862368919447152]","[0.042920293216260785, 0.04525773808326159]","[0.0, 0.0]",True,True
118373,0.3556325333781981,-0.018573549284482845,0.02319223463506776,0.04939700131398626,0.05457053679580215,0.0,center_4cm,traditional_depth_charge_lookup,0.075,"[0.2683523950296907, 0.4804747001473966]","[-0.019391438860139273, -0.01790397726682772]","[0.02275937164945771, 0.02373026253218156]","[0.04848338634295121, 0.05028348240491182]","[0.05389489774001511, 0.05512177116706213]","[0.0, 0.0]",True,True
129240,0.38828067729801835,-0.018103688927403355,0.022797704913742955,0.05377850043699193,0.05841115012209262,0.0,center_4cm,traditional_depth_charge_lookup,0.1,"[0.2748846403243159, 0.5423144281793438]","[-0.018714667956845083, -0.017330952165284397]","[0.022234611451387203, 0.023413213711543184]","[0.05177757074573072, 0.05508038324683493]","[0.056827004778327375, 0.059409314231212026]","[0.0, 0.0]",True,True
136607,0.41041363729225,-0.01783691117138367,0.022560871776804013,0.05685309616832959,0.061165901278855725,0.0,center_4cm,traditional_depth_charge_lookup,0.125,"[0.31408472577074087, 0.5554492431185213]","[-0.01847865609011121, -0.017095792364860668]","[0.021831187694573716, 0.023238353192500835]","[0.054902295499414416, 0.059313988610948554]","[0.05958877770379128, 0.06325180583195604]","[0.0, 0.0]",True,True
142597,0.4284096234963287,-0.01766066713805692,0.02238274035622335,0.05977024285839144,0.0638237338080843,0.0,center_4cm,traditional_depth_charge_lookup,0.15,"[0.3239977874662944, 0.5656881852819398]","[-0.018210929426557807, -0.01687550271918166]","[0.02167615490284833, 0.023037566702420065]","[0.05703982301551729, 0.06228310190333661]","[0.06151564579078043, 0.0659860443522801]","[0.0, 0.0]",True,True
154872,0.46528787569249996,-0.01731995027664248,0.022061366385255347,0.06531795882861458,0.06894301728471901,0.0,center_4cm,traditional_depth_charge_lookup,0.2,"[0.36386747550510995, 0.6095590448876735]","[-0.017863051020381267, -0.016679171272151527]","[0.021336826245129812, 0.022825828706828828]","[0.06184803199918959, 0.06895439484169638]","[0.0659230809670384, 0.0721968905172897]","[0.0, 0.0]",True,True
242509,0.7285790681744438,-0.015054018032855629,0.021699483574999547,0.2142588291233216,0.21535485470431912,0.0,center_4cm,traditional_depth_charge_lookup,0.25,"[0.6759706404089276, 0.7829213420793193]","[-0.016520202299346302, -0.012559508425447044]","[0.020814983443044954, 0.02244571166734712]","[0.14928661543392763, 0.22508519073663483]","[0.15096219126016341, 0.2261064863577736]","[0.0, 0.0]",False,False
332852,1.0,-0.012252491228007263,0.021189225434905763,0.2453239537857069,0.24623733586843186,0.0,center_4cm,traditional_depth_charge_lookup,0.3,"[1.0, 1.0]","[-0.015700143047104303, -0.009152219939323372]","[0.01980868911303281, 0.022467593659126726]","[0.2174622642613623, 0.25075699816165636]","[0.21864035025811487, 0.25155181869321325]","[0.0, 0.0]",False,False
332852,1.0,-0.012252491228007263,0.021189225434905763,0.2453239537857069,0.24623733586843186,0.0,center_4cm,traditional_depth_charge_lookup,0.4,"[1.0, 1.0]","[-0.015404541109265327, -0.00968027043278145]","[0.019890788292073195, 0.02240168545436916]","[0.22555973409763622, 0.2505485986817766]","[0.22665904092471464, 0.25135416010225736]","[0.0, 0.0]",False,False
332852,1.0,-0.012252491228007263,0.021189225434905763,0.2453239537857069,0.24623733586843186,0.0,center_4cm,traditional_depth_charge_lookup,1.0,"[1.0, 1.0]","[-0.015387717853140373, -0.00878551294830969]","[0.019766314397954433, 0.022208393440013484]","[0.22798372079455295, 0.2511475267081373]","[0.22905406759243382, 0.25194053676899525]","[0.0, 0.0]",False,False
