strata_definition,metric,value,ci_low,ci_high,n_strata,bootstrap_unit,n_bootstrap
uncorrected,downstream_high_minus_low,0.006762658473460766,0.005317175251374912,0.008703785744006888,9,run_within_current_group,500
uncorrected,integral_charge_median_log_shift,0.030170483153793753,0.0078602163716489,0.03800069076861041,9,run_within_current_group,500
uncorrected,template_charge_median_log_shift,0.034639997561126394,0.012036483494887201,0.044094292578631226,9,run_within_current_group,500
uncorrected,p04_duplicate_charge_median_log_shift,0.047643517262430234,0.024363185126007537,0.05831707629228744,9,run_within_current_group,500
uncorrected,uncorrected_charge_median_log_shift,0.047643517262430234,0.02391884563494039,0.058812067061441854,9,run_within_current_group,500
uncorrected_plus_p09a_taxon,downstream_high_minus_low,0.004122451926345003,0.0020887630813532223,0.006101207058320035,11,run_within_current_group,500
uncorrected_plus_p09a_taxon,integral_charge_median_log_shift,0.03363315210108103,0.009733164509082737,0.04117891419242855,11,run_within_current_group,500
uncorrected_plus_p09a_taxon,template_charge_median_log_shift,0.02911196831768051,0.0018465446606584905,0.03690589093243694,11,run_within_current_group,500
uncorrected_plus_p09a_taxon,p04_duplicate_charge_median_log_shift,0.04811280451520242,0.02277814128656073,0.05990821073515262,11,run_within_current_group,500
uncorrected_plus_p09a_taxon,uncorrected_plus_p09a_taxon_charge_median_log_shift,0.04811280451520242,0.02495399764649369,0.05912933076533173,11,run_within_current_group,500
