run,weak_label_name,n
31,penetrating_like,1
31,terminal_b2_like,1
32,penetrating_like,5
32,terminal_b2_like,5
34,penetrating_like,2
34,terminal_b2_like,2
35,penetrating_like,2
35,terminal_b2_like,2
36,penetrating_like,2
36,terminal_b2_like,2
37,penetrating_like,5
37,terminal_b2_like,5
39,penetrating_like,2
39,terminal_b2_like,2
40,penetrating_like,4
40,terminal_b2_like,4
41,penetrating_like,4
41,terminal_b2_like,4
42,penetrating_like,6
42,terminal_b2_like,6
45,penetrating_like,2
45,terminal_b2_like,2
48,penetrating_like,3
48,terminal_b2_like,3
49,penetrating_like,6
49,terminal_b2_like,6
50,penetrating_like,3
50,terminal_b2_like,3
51,penetrating_like,2
51,terminal_b2_like,2
53,penetrating_like,1
53,terminal_b2_like,1
54,penetrating_like,2
54,terminal_b2_like,2
55,penetrating_like,3
55,terminal_b2_like,3
56,penetrating_like,4
56,terminal_b2_like,4
57,penetrating_like,5
57,terminal_b2_like,5
58,penetrating_like,7
58,terminal_b2_like,7
59,penetrating_like,5
59,terminal_b2_like,5
60,penetrating_like,13
60,terminal_b2_like,13
61,penetrating_like,13
61,terminal_b2_like,13
62,penetrating_like,10
62,terminal_b2_like,10
63,penetrating_like,6
63,terminal_b2_like,6
64,penetrating_like,6
64,terminal_b2_like,6
65,penetrating_like,3
65,terminal_b2_like,3
