heldout_run,target,label,n_pulses,n_uncensored,censored_fraction,naive_last_above_mean_ns,observable_end_mean_ns,km_restricted_mean_ns,km_tau_ns,km_survival_at_tau,weibull_shape,weibull_scale_ns,censored_weibull_mean_ns,censored_weibull_median_ns,weibull_ok,uncensored_tail_excess_over_km_ns
44,5pct,5%,2038,240,0.8822374877330716,118.86404668112759,129.13391910507264,155.62172200548272,170.0,0.8194196659932956,1.0,1009.3538630964084,1009.3538630964084,699.6307843925645,True,853.7321410909257
44,10pct,10%,2038,452,0.7782139352306182,116.4450084083111,129.13391910507264,145.81510928601148,170.0,0.57656686604504,1.0,525.0330246728718,525.0330246728718,363.92516075286125,True,379.2179153868603
44,20pct,20%,2038,822,0.5966633954857703,110.25266297160844,129.13391910507264,133.40449130619675,170.0,0.4930830235786773,1.0,273.3514928991947,273.3514928991947,189.4728166049287,True,139.94700159299794
44,noise_floor,noise floor,2038,277,0.8640824337585868,111.29289849663299,129.13391910507264,131.5620598200402,147.52973095184262,0.8473315388861825,1.0,829.9300562192361,829.9300562192361,575.2636785303204,True,698.3679963991959
45,5pct,5%,24333,2683,0.8897382155919944,120.02028987642905,129.5945306194529,152.50846930048087,170.0,0.5640946894578162,1.0,1088.5030613567455,1088.5030613567455,754.4928280102973,True,935.9945920562647
45,10pct,10%,24333,4842,0.8010109727530514,117.98108385990827,129.5945306194529,147.56396078637874,170.0,0.5848343752964986,1.0,592.9024604919761,592.9024604919761,410.9686688370676,True,445.3384997055973
45,20pct,20%,24333,8887,0.6347758188468335,112.36689736420286,129.5945306194529,133.8448003293816,170.0,0.32812941631394105,1.0,307.6655467317597,307.6655467317597,213.25750627255334,True,173.82074640237812
45,noise_floor,noise floor,24333,3111,0.8721489335470349,112.24730668487848,129.5945306194529,137.66181633700543,170.0,0.1698739430178325,1.0,890.5403735482197,890.5403735482197,617.2755490997489,True,752.8785572112142
46,5pct,5%,687,30,0.9563318777292577,127.71236331113778,131.7589426415599,146.7085384247515,151.1366051891216,0.9040111104294145,1.0,2924.613119858389,2924.613119858389,2027.1873382584677,True,2777.9045814336373
46,10pct,10%,687,133,0.8064046579330422,124.61192662991508,131.7589426415599,138.18258188789645,148.73814955640051,0.7116289856873529,1.0,643.6721323064036,643.6721323064036,446.15952371319173,True,505.4895504185071
46,20pct,20%,687,272,0.604075691411936,117.59591498508247,131.7589426415599,127.06581400070628,146.98772535481396,0.5797324839580242,1.0,297.0161529402635,297.0161529402635,205.87590899130515,True,169.95033893955724
46,noise_floor,noise floor,687,37,0.9461426491994177,124.34991789629062,131.7589426415599,140.5684826730489,146.98772535481396,0.9454392113754941,1.0,2321.667851379236,2321.667851379236,1609.2575253801833,True,2181.099368706187
47,5pct,5%,5276,250,0.9526156178923427,127.9031735946976,131.70719179030033,163.5532899349454,170.0,0.8933099566460926,1.0,2699.2685755504986,2699.2685755504986,1870.9904027168877,True,2535.715285615553
47,10pct,10%,5276,907,0.8280894617134192,125.2477528213845,131.70719179030033,155.33821393410653,170.0,0.7498413389406974,1.0,728.5635544637538,728.5635544637538,505.0017736352831,True,573.2253405296473
47,20pct,20%,5276,1951,0.6302122820318423,118.5627641936362,131.70719179030033,133.95236936701315,160.0,0.0,1.0,320.6238564365067,320.6238564365067,222.23952210922127,True,186.67148706949354
