candidate,alpha,fold,sigma68_ns,n_pair_residuals,n_features,heldout_run
amp_only,0.0,0,2.1121381469353757,2997,6,58
amp_only,0.0,1,1.3627183983694213,3534,6,58
amp_only,0.0,2,1.3750005998962982,4710,6,58
amp_only,0.0,-1,1.6166190484003649,0,6,58
amp_only,0.01,0,2.1094853336862256,2997,6,58
amp_only,0.01,1,1.3629660442030622,3534,6,58
amp_only,0.01,2,1.375433424927048,4710,6,58
amp_only,0.01,-1,1.6159616009387785,0,6,58
amp_only,0.1,0,2.1069396537927316,2997,6,58
amp_only,0.1,1,1.3633954870649796,3534,6,58
amp_only,0.1,2,1.3747899597288828,4710,6,58
amp_only,0.1,-1,1.6150417001955315,0,6,58
amp_only,1.0,0,2.1109655096414413,2997,6,58
amp_only,1.0,1,1.379677454793276,3534,6,58
amp_only,1.0,2,1.4203893932851956,4710,6,58
amp_only,1.0,-1,1.6370107859066376,0,6,58
amp_only,10.0,0,2.1008577099035497,2997,6,58
amp_only,10.0,1,1.374014550682853,3534,6,58
amp_only,10.0,2,1.4439956764566717,4710,6,58
amp_only,10.0,-1,1.639622645681025,0,6,58
amp_only,100.0,0,2.070948021628114,2997,6,58
amp_only,100.0,1,1.312389246288859,3534,6,58
amp_only,100.0,2,1.3992276237939008,4710,6,58
amp_only,100.0,-1,1.5941882972369579,0,6,58
amp_only,0.0,0,2.145891561717157,2799,6,59
amp_only,0.0,1,1.300727513175709,2841,6,59
amp_only,0.0,2,1.3682426836911943,3531,6,59
amp_only,0.0,-1,1.60495391952802,0,6,59
amp_only,0.01,0,2.14626500525599,2799,6,59
amp_only,0.01,1,1.3002476530224107,2841,6,59
amp_only,0.01,2,1.3678350489949167,3531,6,59
amp_only,0.01,-1,1.604782569091106,0,6,59
amp_only,0.1,0,2.15034423535877,2799,6,59
amp_only,0.1,1,1.2996153293910724,2841,6,59
amp_only,0.1,2,1.3815909529799035,3531,6,59
amp_only,0.1,-1,1.6105168392432485,0,6,59
amp_only,1.0,0,2.1505174583369633,2799,6,59
amp_only,1.0,1,1.3238059394372022,2841,6,59
amp_only,1.0,2,1.419722046200014,3531,6,59
amp_only,1.0,-1,1.6313484813247265,0,6,59
amp_only,10.0,0,2.1475321340408993,2799,6,59
amp_only,10.0,1,1.3254012267218442,2841,6,59
amp_only,10.0,2,1.4197120465813695,3531,6,59
amp_only,10.0,-1,1.6308818024480376,0,6,59
amp_only,100.0,0,2.1124370044005816,2799,6,59
amp_only,100.0,1,1.253061653665808,2841,6,59
amp_only,100.0,2,1.3556723993018678,3531,6,59
amp_only,100.0,-1,1.5737236857894192,0,6,59
amp_only,0.0,0,2.09154520452328,2799,6,60
amp_only,0.0,1,1.3251335649892184,2838,6,60
amp_only,0.0,2,1.3640696444962463,3399,6,60
amp_only,0.0,-1,1.5935828046695815,0,6,60
amp_only,0.01,0,2.0916881270484726,2799,6,60
amp_only,0.01,1,1.3248178910903077,2838,6,60
amp_only,0.01,2,1.366222031430433,3399,6,60
amp_only,0.01,-1,1.5942426831897378,0,6,60
amp_only,0.1,0,2.0957227368716276,2799,6,60
amp_only,0.1,1,1.324634530131757,2838,6,60
amp_only,0.1,2,1.3739827076990951,3399,6,60
amp_only,0.1,-1,1.5981133249008266,0,6,60
amp_only,1.0,0,2.0992318496587488,2799,6,60
amp_only,1.0,1,1.398629798765025,2838,6,60
amp_only,1.0,2,1.3868133826123592,3399,6,60
amp_only,1.0,-1,1.6282250103453777,0,6,60
amp_only,10.0,0,2.098821915218444,2799,6,60
amp_only,10.0,1,1.3996736322083763,2838,6,60
amp_only,10.0,2,1.3882158760616123,3399,6,60
amp_only,10.0,-1,1.6289038078294775,0,6,60
amp_only,100.0,0,2.0828542318326826,2799,6,60
amp_only,100.0,1,1.3318548624978486,2838,6,60
amp_only,100.0,2,1.3083076177833302,3399,6,60
amp_only,100.0,-1,1.5743389040379538,0,6,60
amp_only,0.0,0,1.4772577033133407,2622,6,61
amp_only,0.0,1,1.5310107712930519,2640,6,61
