threshold_definition,live_time_source,failure_definition,ml_minus_traditional_rmax_mhz,ml_minus_traditional_rmax_ci95_low_mhz,ml_minus_traditional_rmax_ci95_high_mhz,ml_minus_traditional_timing_rms_ns,ml_minus_traditional_charge_bias_fraction,ml_minus_traditional_charge_res68_fraction,ml_minus_traditional_failure_rate,traditional_dominant_limit,ml_dominant_limit
10pct,censored_exponential,combined_planning,0.0,-0.19561287821722126,0.19561287821722126,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,censored_exponential,sigma68_8ns_charge_res68_12pct,0.0,-0.19561287821722126,0.19561287821722126,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,censored_exponential,timing_bias1ns_charge_bias20pct,0.0,-0.19561287821722126,0.19561287821722126,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,censored_exponential,timing_bias2ns_charge_bias20pct,0.0,-0.19561287821722126,0.19561287821722126,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,ml_ipcw_aft,combined_planning,0.0,-0.14734841219127315,0.14734841219127315,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,ml_ipcw_aft,sigma68_8ns_charge_res68_12pct,0.0,-0.14734841219127315,0.14734841219127315,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,ml_ipcw_aft,timing_bias1ns_charge_bias20pct,0.0,-0.14734841219127315,0.14734841219127315,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,ml_ipcw_aft,timing_bias2ns_charge_bias20pct,0.0,-0.14734841219127315,0.14734841219127315,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,template_exponential_cross,combined_planning,0.0,-0.07228446374944975,0.07228446374944975,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,template_exponential_cross,sigma68_8ns_charge_res68_12pct,0.0,-0.07228446374944975,0.07228446374944975,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,template_exponential_cross,timing_bias1ns_charge_bias20pct,0.0,-0.07228446374944975,0.07228446374944975,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
10pct,template_exponential_cross,timing_bias2ns_charge_bias20pct,0.0,-0.07228446374944975,0.07228446374944975,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
20pct,censored_exponential,combined_planning,0.0,-0.39851162620537856,0.39851162620537856,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
20pct,censored_exponential,sigma68_8ns_charge_res68_12pct,0.0,-0.39851162620537856,0.39851162620537856,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
20pct,censored_exponential,timing_bias1ns_charge_bias20pct,0.0,-0.39851162620537856,0.39851162620537856,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
20pct,censored_exponential,timing_bias2ns_charge_bias20pct,0.0,-0.39851162620537856,0.39851162620537856,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
20pct,ml_ipcw_aft,combined_planning,0.0,-0.37377604299320133,0.37377604299320133,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
20pct,ml_ipcw_aft,sigma68_8ns_charge_res68_12pct,0.0,-0.37377604299320133,0.37377604299320133,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
20pct,ml_ipcw_aft,timing_bias1ns_charge_bias20pct,0.0,-0.37377604299320133,0.37377604299320133,-4.4184415560121,0.0222756407510123,-0.015272713846791894,0.1516666666666667,live_time,live_time
