method,comparison,metric,delta,ci95,n_pairs
peak_calibrated,dynamic_only_minus_matched_control,bias_median_frac,-0.04832178337061194,"[-0.28802578916725735, 0.35294895838978085]",3715
peak_calibrated,dynamic_only_minus_matched_control,res68_abs_frac,-0.32376507236390784,"[-0.5494799228937344, -0.042399417656971264]",3715
peak_calibrated,dynamic_only_minus_matched_control,full_rms_frac,-4.6291993936476405,"[-5.97839401379323, -0.3615938238570515]",3715
peak_calibrated,dynamic_only_minus_matched_control,within_10pct,-0.042530282637954234,"[-0.05950095969289828, -0.031457939647710854]",3715
peak_calibrated,dynamic_only_minus_matched_control,within_25pct,-0.0915208613728129,"[-0.13125, -0.07119700695706381]",3715
integral_calibrated,dynamic_only_minus_matched_control,bias_median_frac,-0.3250021912657647,"[-0.3723860640898579, -0.31051708318517635]",3715
integral_calibrated,dynamic_only_minus_matched_control,res68_abs_frac,0.2835598415457941,"[0.22138027054800477, 0.31101164477004933]",3715
integral_calibrated,dynamic_only_minus_matched_control,full_rms_frac,-0.1793832923120442,"[-0.4614407867851784, -0.03741978325078362]",3715
integral_calibrated,dynamic_only_minus_matched_control,within_10pct,-0.09205921938088829,"[-0.11355218855218854, -0.03909548944337812]",3715
integral_calibrated,dynamic_only_minus_matched_control,within_25pct,-0.2810228802153432,"[-0.33278151889263, -0.15882917466410745]",3715
adaptive_template_charge,dynamic_only_minus_matched_control,bias_median_frac,-0.08426172179234961,"[-0.6312455292093093, 0.36926052106232216]",3715
adaptive_template_charge,dynamic_only_minus_matched_control,res68_abs_frac,-0.4530228396975218,"[-0.5421225558884281, -0.22089859730927738]",3715
adaptive_template_charge,dynamic_only_minus_matched_control,full_rms_frac,-1.481744042338347,"[-5.607912854102459, 7.1739217891211755]",3715
adaptive_template_charge,dynamic_only_minus_matched_control,within_10pct,0.0775235531628533,"[0.05253119001919387, 0.08967154471790331]",3715
adaptive_template_charge,dynamic_only_minus_matched_control,within_25pct,0.18061911170928668,"[0.11443138195777351, 0.20859521137298914]",3715
strong_traditional_huber,dynamic_only_minus_matched_control,bias_median_frac,-0.3732486058037324,"[-0.40166126434855043, -0.2001930144177087]",3715
strong_traditional_huber,dynamic_only_minus_matched_control,res68_abs_frac,0.19759823623144201,"[0.11849277810643451, 0.2703812205371547]",3715
strong_traditional_huber,dynamic_only_minus_matched_control,full_rms_frac,-0.14198709816097033,"[-0.3679208065131373, 0.415463070883672]",3715
