heldout_run,n_train,n_test,tail_target,positive_rate_train,positive_rate_test,traditional_auc,ml_auc,traditional_brier,ml_brier,traditional_log_loss,ml_log_loss,ml_ece,traditional_ece
44,80000,1912,20pct,0.812575,0.6019874476987448,0.6254933435017942,0.6495665655528928,0.2418972578856032,0.20987023484804113,0.7042827215828907,0.634473944150223,0.09628949823402154,0.16046620464754816
45,80000,23013,20pct,0.8273,0.6399860948159736,0.6547742372900247,0.7042843317422474,0.21738655775602653,0.2025562365285212,0.6496283465507884,0.5976249940005042,0.12977502860401238,0.13379700968188396
46,80000,677,20pct,0.8104625,0.6070901033973413,0.5724393099537164,0.6578078407698078,0.2716206130255208,0.2227423440626159,0.7830950323635629,0.6328171562029501,0.057222915173227855,0.20599905453870368
47,80000,5161,20pct,0.8157,0.6337919007944197,0.5735215190733381,0.636016444010941,0.2613571102699947,0.21937600150040695,0.7602909724866527,0.6298800040894529,0.07494937081896884,0.19086236349771057
48,80000,13185,20pct,0.8231625,0.5652635570724308,0.6071752369746901,0.6683852561420258,0.26848648901353367,0.2127912902067145,0.7772716398939805,0.6160462730364207,0.06042400920586502,0.2002973169076539
49,80000,13937,20pct,0.8235625,0.5749443926239506,0.6097188519533543,0.6698255274409336,0.26072505217494046,0.21061194130472288,0.7594848153094651,0.6121681827728949,0.07478363503686734,0.18927774702347758
50,80000,34257,20pct,0.7932625,0.9032314563446887,0.6463090287252763,0.7045103995964619,0.08497448284614512,0.1909609622217248,0.31941406356030744,0.5786237344732359,0.34328522127016464,0.085583047741252
51,80000,14295,20pct,0.8036375,0.8687653025533403,0.6824973590057604,0.7394388988191455,0.09772088562023606,0.19123733317305036,0.3471283105682902,0.5775298279358272,0.31713165276012445,0.05347916762977878
52,80000,6933,20pct,0.8067,0.8727823453050627,0.6649466870976893,0.7480926486167649,0.09797383534523275,0.19028620330975954,0.34931348525071676,0.5782663361009873,0.31885422574025524,0.05306867685516432
53,80000,31386,20pct,0.793975,0.9136876314280252,0.6510496107065271,0.7252374955160835,0.07754057935737647,0.19299813871386168,0.30025411558200094,0.583266500951857,0.3602743406410878,0.09707104934289176
54,80000,29665,20pct,0.79505,0.9158604415978425,0.6555819356242173,0.7112992477757928,0.07615957276930138,0.19298143332257114,0.2963057378628133,0.5817764707874739,0.36058673602450303,0.09842057715723558
55,80000,16841,20pct,0.8063125,0.865091146606496,0.6911015931714938,0.7450430757376989,0.09942354680702124,0.1926425487612126,0.35075539977212455,0.5823857782257558,0.3164512139442084,0.04948873323602267
56,80000,38932,20pct,0.7953875,0.8908353025788555,0.6491689535510877,0.7172912817973046,0.09238305066705031,0.18949598985715388,0.336252995353724,0.5765472839723472,0.32943299437630646,0.07347180388804579
57,80000,12939,20pct,0.8249375,0.5706005100857872,0.6110244459598048,0.6641742329853758,0.262794838716959,0.21123591349143606,0.7639547036700944,0.6129400179271007,0.06677878604521092,0.19678820187890428
